Country,iso,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max
Benin,BEN,1.2590843972599386,0.7362754949319245,0.5454876106478942,1.1888620050731082,0.5944790166109053,1.9266570515011128,-1.3129754427549116,5.609266030261952
Burkina Faso,BFA,4.038623731531878,2.0671264137948335,0.23985959288823305,3.938252442132633,2.1577801378605903,5.952445043313361,-3.7161297145374204,14.78579238166406
Bangladesh,BGD,9.673539537479344,6.432425027759281,0.6310554686982596,9.040082032804253,3.81769075342743,15.438403989053246,-11.418713949576809,51.41914294031157
Bulgaria,BGR,-0.14107609544220867,0.3842356953667063,-0.06468694136156938,-0.138141630515343,-0.49219557434050687,0.21264513741197316,-2.5931245923397195,1.8367458029463921
The Bahamas,BHS,0.07676527105074825,0.04457557197747061,0.49482156247371234,0.07324746515798963,0.03599879590772328,0.11726025780751317,-0.06833369895131486,0.35308098674481364
Bosnia and Herzegovina,BIH,-0.07222393426004352,0.11486215461459004,-0.2300710281995823,-0.07051680046690345,-0.1759308084118451,0.03436745973226893,-0.8502766778518995,0.46237931251615333
Belarus,BLR,-0.7917085158257283,0.6228463628079527,-0.6388451538946202,-0.7490306130365598,-1.3399598387116043,-0.22103731220279002,-6.834172783851704,1.451744790720215
Belize,BLZ,0.04453130158549782,0.02478266253131671,0.38188847317015434,0.04290547097363775,0.021829024339884397,0.06725062022526476,-0.03874366999179561,0.1848919273788424
Bolivia,BOL,1.190424968705388,0.9388402634593833,0.5375866100035094,1.1148281273736838,0.3197130321054587,2.0417281158171443,-1.9764196209254308,6.928059900786568
Brazil,BRA,22.16396258487226,14.268677225338886,0.5337725015150228,21.060166115656873,9.062026572963978,35.05338529489761,-25.03056205514656,114.08593168575983
Brunei,BRN,0.2338210517734727,0.1292850021057513,0.44629641832781797,0.22461887889849946,0.11598617379974825,0.35126802636112375,-0.19206955937381856,1.0196709478675612
Bhutan,BTN,0.13070995817670475,0.1281781586261614,0.5965200963669242,0.12112004776990529,0.010585315670516683,0.24423935609329994,-0.35650673320520043,1.009183609924097
Botswana,BWA,0.46906589764477585,0.2947504428141182,0.37977724022183446,0.4528669341682889,0.19586409246527664,0.7386824642039794,-0.5531120196265554,2.1958371027165637
Central African Republic,CAF,0.35032775363561885,0.19415947679253817,0.3364687263223039,0.33928118848458455,0.17248185083864523,0.5284542992039027,-0.3375812506983869,1.4329943069896023
Canada,CAN,-8.364204229308077,6.05235811134351,-0.6486270216509782,-7.938995326186536,-13.767881271720958,-2.833852342328486,-67.29855150392063,13.622795698624419
Switzerland,CHE,-1.1303118780926669,1.0018007015883383,-0.5475675984031396,-1.0692201576849487,-2.0173750400443344,-0.1972313809222608,-10.054391592144585,2.6270276894444446
Chile,CHL,-0.5744983353163957,0.9698432464110934,-0.2009682933259633,-0.5603853522211792,-1.444808906720368,0.32123801938027746,-7.355315866191127,4.496800850093562
China,CHN,55.70091642216895,80.4766600773867,0.38168099886603174,52.09028997930098,-22.56919713542586,128.36043893183964,-257.4127055520757,572.2897645308814
Ivory Coast,CIV,3.9247784912273787,2.253043678162024,0.5446049146413041,3.716081119569058,1.8932903346448728,5.961338418069667,-3.9620769774899176,17.3266681029325
Cameroon,CMR,2.719596899594626,1.5777597392659122,0.44174551007968454,2.6049326497984406,1.2785732037555269,4.1566562243654355,-2.802826351230789,12.073074858882059
Democratic Republic of the Congo,COD,7.875493055901388,4.5728599089486135,0.36371005113770294,7.5918335280475535,3.680027559976997,12.064779159744111,-7.966744289474932,33.177627652400595
Republic of the Congo,COG,1.011364139233551,0.5757646359483037,0.41674897439849623,0.9708358610340815,0.4852967421108203,1.537423066329709,-0.9947695249642167,4.3631671850393685
Colombia,COL,5.9566521894673485,3.9996561888241384,0.4685023359332462,5.702437914699474,2.2403167356892313,9.58901005206989,-7.419057435415882,31.358787346522536
Comoros,COM,0.05702154944463868,0.03341022398572673,0.5525907747590522,0.054041292985996595,0.02678225273909476,0.08707937073571041,-0.053419747544186026,0.26316360549882295
Cabo Verde,CPV,0.02516906832395848,0.017691842469260418,0.6785484425132409,0.023409546447783293,0.008952585152363407,0.041100025365452875,-0.03557660221240427,0.15082460236853779
