Country,iso,Fabc_mf_mean,Fabc_mf_std,Fabc_mf_skew,Fabc_mf_median,Fabc_mf_q17,Fabc_mf_q83,Fabc_mf_min,Fabc_mf_max
Djibouti,DJI,-0.00012713350515118022,1.582583906844188e-05,-0.9328553666074623,-0.000125489530390089,-0.000140805956493806,-0.00011206838817282,-0.00017816511290773003,-9.584838817282e-05
Denmark,DNK,-0.009726780069252833,0.0012578023835452656,-0.1347608581729597,-0.00981013684803916,-0.01082407684803916,-0.00833359245116972,-0.01486512648574445,-0.004640133062222955
Dominican Republic,DOM,-0.005588759319436235,0.002962349239231958,0.12252849909434635,-0.00565755466768925,-0.008026758436526631,-0.0029710640363296583,-0.018249940670923014,0.0052073113482652734
Algeria,DZA,-0.04100585973056418,0.003638968777479674,0.21422741235695159,-0.04112300386159932,-0.04500600121414023,-0.03738298361148907,-0.04948736364636569,-0.03217255888624348
Ecuador,ECU,-0.0038026977580950167,0.009691962555089454,-0.203803143762122,-0.0035793934686354266,-0.012650758695856308,0.005417041482401727,-0.040614439794733434,0.028233403812456037
Egypt,EGY,-0.06575547424225539,0.005475097290566602,-0.11599811381596825,-0.06553258117970685,-0.0711325769473384,-0.060434394118982,-0.07814127180631195,-0.05364238776229279
Eritrea,ERI,-0.0005795169609294216,0.0005516968416897267,-1.635190374147643,-0.000376721093135778,-0.001297021366419722,-0.000203605157269396,-0.002004583542193279,-0.000118615157269396
Spain,ESP,-0.061823659805169684,0.009812666081038488,-0.6966522160863778,-0.06133798911387828,-0.06973547902127597,-0.05300827378182421,-0.10639298879346516,-0.03189589181831042
Estonia,EST,-0.0027351313189037415,0.002731230806283405,0.44957712400248645,-0.0027521455449827916,-0.005041118759246828,-0.0005586065285842256,-0.012969869656493715,0.011579741378734888
Ethiopia,ETH,-0.0063077303425756555,0.03302098241293941,0.28349546869660697,-0.0063980193834591425,-0.04361532378098634,0.022716246597477067,-0.08726572696167667,0.09935484972299297
Finland,FIN,-0.0090296783205359,0.012023493618325071,-0.8906811532321326,-0.008260815960137863,-0.01961731545820468,0.0022575323614778438,-0.08700767300248993,0.02681516726348781
Fiji,FJI,-1.2908970028824837e-05,0.0014125544192615865,-2.465121622266364,-0.0001743067680087499,-0.00040451000000000007,0.0009138760725945234,-0.009655732061342822,0.0051270516427803035
France,FRA,-0.07308509876768783,0.02076156525459918,-0.09203250664066702,-0.07237858320685933,-0.09083774737302798,-0.05529813663765553,-0.15171347109621977,0.026729395650181675
Gabon,GAB,0.010411840301678424,0.009077826164973367,0.25652555317926473,0.009786350845184692,0.002325331807115443,0.018170083264339037,-0.024591333502238716,0.04258298676880018
