iso,SLAND_dor
UGA,-0.0029793042290882765
GRC,-0.0029803227348386336
NER,-0.00310987810257389
BGR,-0.0031355683061677557
CUB,-0.0032574097987664746
UZB,-0.0033644848499449855
BEN,-0.0034299928518196727
LBR,-0.003795497864544397
SAU,-0.0037974715482720976
PAN,-0.0040605292594134935
KOR,-0.004122154580908897
BGD,-0.004176610522977935
GTM,-0.004256830380759317
NPL,-0.0042737242580018295
NIC,-0.004622578426278109
PAK,-0.0046946011256541595
GIN,-0.004821270649969545
PRK,-0.004905098283972646
DISPUTED,-0.004958301652541026
MLI,-0.004979200416208162
HND,-0.005200166318742359
TCD,-0.005595859636663055
GHA,-0.005823220028991869
GBR,-0.006191158389995044
AFG,-0.006290390561853264
KEN,-0.006349197618795785
NOR,-0.006357316957037661
SOM,-0.006445926677301355
NZL,-0.006479706569778069
SSD,-0.006526018017363418
ROU,-0.006551492661002019
SDN,-0.00664350174575557
BWA,-0.006800281325345238
ZWE,-0.006959042154365099
BLR,-0.006991096112252045
FIN,-0.007060790408389963
ITA,-0.007654023090474466
NAM,-0.007665954144649126
SWE,-0.008222969748189975
PRY,-0.008655461450615666
CIV,-0.008940491330844264
KHM,-0.009312342100537453
ESP,-0.00974768569375154
DEU,-0.010312038929172691
IRN,-0.010734879006717447
CAF,-0.011874899664331131
MDG,-0.012095553831049268
NGA,-0.012298880144481664
SUR,-0.012410071711733375
ECU,-0.012507378471322664
VNM,-0.012989936650300071
MOZ,-0.013324495652613627
CHL,-0.013435737447585928
PHL,-0.013723159293790765
UKR,-0.013906115283583676
POL,-0.013923514884243985
LAO,-0.014697935238339857
JPN,-0.016083692589647702
GUY,-0.01638715487807239
ZAF,-0.016985696091202502
GAB,-0.017191985456785245
ETH,-0.017542878230608926
TUR,-0.01785061700967857
COG,-0.019417484534367778
CMR,-0.019724434972093027
MYS,-0.020572850729389264
TZA,-0.021453045482617023
ZMB,-0.022221816362107228
THA,-0.02238890833023724
MNG,-0.02240636059563768
FRA,-0.02344271109265774
PNG,-0.03192750213482656
KAZ,-0.03470799755954193
MMR,-0.03658697331620224
AGO,-0.04479685747337227
ARG,-0.04580318762954952
BOL,-0.04768248451154068
VEN,-0.0478630731019155
MEX,-0.0497281517041665
COL,-0.056395017694222
PER,-0.06985219491081714
IND,-0.07564809439027972
AUS,-0.08420967507286996
IDN,-0.10120626240053959
COD,-0.14243108745956085
CHN,-0.16818056952485047
USA,-0.1913717525875432
CAN,-0.19552413025678142
RUS,-0.37721651952185065
BRA,-0.4058871529551394
