Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Brazil,BRA,-0.4452439875641252,0.1032525338272982,0.6638710045452443,-0.46819083951965096,-0.5364124886985131,-0.293814962052402,-0.623326496768559,-0.218329508423853
Barbados,BRB,-0.00041235832704042126,5.869849074772082e-05,0.6538279939988185,-0.00043691973951679,-0.00046023973951679,-0.000334607206956389,-0.0004973540137103389,-0.000293757206956389
Brunei,BRN,-0.002676428835503797,0.00043366451161619754,0.11905193419163042,-0.00266918277084081,-0.00313289602054567,-0.0021574382735309,-0.00357301800260679,-0.0017629282735309
Bhutan,BTN,-0.0008501633672093373,0.0011715837062772634,-0.41576308654377847,-0.0008210208307068501,-0.0021499347593769893,0.00028952916929315,-0.0037244424289554984,0.00050610916929315
Botswana,BWA,-0.0034538975905039457,0.0025674790654378376,-1.0023297264635558,-0.00222349,-0.00763835351129077,-0.00147682572923658,-0.008140865756832101,-0.00108130770292037
Central African Republic,CAF,-0.001800537462692445,0.001120264259270685,-0.659387156732384,-0.0015060418250000002,-0.003468901229465517,-0.00070331,-0.003823561229465517,-0.00037013000000000004
Canada,CAN,-0.18166509590858412,0.012983370412293086,-0.17844802123092743,-0.180534533657372,-0.195666451580535,-0.168247541197036,-0.21271127158053502,-0.15322084365737199
Switzerland,CHE,-0.009953966697555543,0.000838709112971719,-0.10732506829287868,-0.0099355308727631,-0.010637187336277202,-0.009141742920172162,-0.011856305049829199,-0.00804013025858705
Chile,CHL,-0.02415062973888512,0.003914408649574568,-0.2639117844154437,-0.0240522846069902,-0.0290122496812071,-0.019564214606990198,-0.033107459217473004,-0.0174492796812071
China,CHN,-2.8059775354828016,0.17122226676146934,-0.5602890229244467,-2.73998755576203,-3.04410760632864,-2.6442903491174197,-3.16617895116649,-2.56091607188286
Ivory Coast,CIV,-0.02590142043152466,0.012010044194625948,-1.3168256748796328,-0.020141311858582353,-0.034925186060524895,-0.015184682082295241,-0.07068043640204837,-0.01089971073610382
Cameroon,CMR,-0.009535047541234966,0.0029579855144841838,-0.3907457233584382,-0.00885227947496261,-0.01263082947496261,-0.006551916699210651,-0.01714372947496261,-0.00448836432815649
Democratic Republic of the Congo,COD,-0.15337165870716082,0.03471426621263666,-1.218447041492569,-0.14804776163011074,-0.18106289079372478,-0.12396174947863885,-0.26333726374831545,-0.09970749163011076
