,Country,iso,SLAND_mean,SLAND_std,SLAND_total_forest_mean,SLAND_total_forest_std,SLAND_managed_forest_mean,SLAND_managed_forest_std
55,Eritrea,ERI,0.0017517438,0.0014557295,0.0,0.0,0.0,0.0
56,Western Sahara,ESH,3.0331976e-05,0.00010184184,0.0,0.0,0.0,0.0
57,Spain,ESP,0.0076701753,0.007182055,0.0031428726,0.0030664408,0.0031428726,0.0030664408
58,Estonia,EST,0.0017955371,0.0013476515,0.0015723326,0.0011135776,0.0015723326,0.0011135776
59,Ethiopia,ETH,0.0509352,0.015381746,0.015382712,0.0052396124,0.015175379,0.0051962105
60,Finland,FIN,0.009680908,0.0046750163,0.008842223,0.0043651825,0.0087406915,0.004308046
61,Fiji,FJI,0.0004968752,0.00093836035,0.00024693302,0.00042087203,0.00024693302,0.00042087203
62,Falkland Islands,FLK,0.0002381323,0.0002775569,0.0,0.0,0.0,0.0
63,France,FRA,0.00860011,0.010582403,0.008022737,0.0057117036,0.0028780329,0.0047014593
64,Faroe Islands,FRO,4.3914074e-06,1.243045e-05,0.0,0.0,0.0,0.0
65,Gabon,GAB,0.01864404,0.0086921165,0.017833585,0.008605754,0.013433679,0.006540867
66,United Kingdom,GBR,0.004495315,0.004271744,0.000363578,0.00036026433,0.000363578,0.00036026433
67,Georgia,GEO,0.0017533174,0.0013162588,0.0010926975,0.00082962116,0.0009055938,0.000764101
68,Ghana,GHA,0.0073309653,0.0035210815,0.004030581,0.0022567243,0.004030581,0.0022567243
69,Guinea,GIN,0.0076468256,0.0032451137,0.0059601595,0.0026018142,0.0059601595,0.0026018142
70,Gambia,GMB,0.00018033772,0.00020425333,0.0,0.0,0.0,0.0
71,Guinea-Bissau,GNB,0.000836969,0.0005175509,0.00058661023,0.00032679184,0.00058661023,0.00032679184
72,Equatorial Guinea,GNQ,0.0017893118,0.0010171437,0.0016782486,0.00097615976,0.0014450585,0.00096758705
73,Greece,GRC,0.0044967355,0.0021512306,0.0017662486,0.00084283703,0.0017662486,0.00084283703
74,Greenland,GRL,0.0005596766,0.0015857909,0.0,0.0,0.0,0.0
75,Guatemala,GTM,0.00835971,0.0046119965,0.0076367348,0.004181674,0.0071887914,0.0037706583
76,Guyana,GUY,0.014588399,0.00796219,0.01407348,0.008109121,0.00413697,0.0026524055
77,Hong Kong S.A.R.,HKG,0.00013916842,0.00031457003,0.0,0.0,0.0,0.0
78,Honduras,HND,0.0064527113,0.0033108743,0.0059169424,0.0029880202,0.0057222587,0.0029559107
79,Croatia,HRV,0.0017552172,0.0014614743,0.0011842214,0.0010726614,0.0011842214,0.0010726614
80,Haiti,HTI,0.0009813666,0.001448658,0.00031915787,0.0006480637,0.00031915787,0.0006480637
81,Hungary,HUN,0.0010978765,0.002329394,0.0005118324,0.00056875916,0.0005118324,0.00056875916
82,Indonesia,IDN,0.15241717,0.068144456,0.12372271,0.05580091,0.0994789,0.04542745
83,India,IND,0.13594015,0.046824306,0.026258135,0.010318428,0.024829531,0.009656981
84,Ireland,IRL,0.0015615701,0.0025185784,4.491179e-05,9.096206e-05,4.491179e-05,9.096206e-05
85,Iran,IRN,0.0026517222,0.0046365196,-0.00025127464,0.00040917096,-0.00025127464,0.00040917096
86,Iraq,IRQ,0.0014016506,0.0016709163,0.0,0.0,0.0,0.0
87,Iceland,ISL,0.0011376475,0.0023543604,0.0,0.0,0.0,0.0
88,Israel,ISR,0.00021858007,0.00021155382,0.0,0.0,0.0,0.0
89,Italy,ITA,0.0031300092,0.004319293,0.0016071175,0.0025000246,0.0016071175,0.0025000246
90,Jamaica,JAM,0.0003405303,0.0005828268,0.00028853051,0.00045655968,0.00028853051,0.00045655968
91,Jordan,JOR,0.00011776086,0.00017784485,0.0,0.0,0.0,0.0
92,Japan,JPN,0.020361856,0.011492284,0.013478047,0.00738003,0.013383239,0.0073270923
93,Kazakhstan,KAZ,0.022469783,0.017031653,0.00062733784,0.00037806007,0.00062733784,0.00037806007
94,Kenya,KEN,0.035783634,0.015456805,0.0059679775,0.0043322784,0.0059679775,0.0043322784
95,Kyrgyzstan,KGZ,0.0032734885,0.0022361588,0.0,0.0,0.0,0.0
96,Cambodia,KHM,0.012854007,0.006269247,0.0081895385,0.0044746674,0.007910972,0.004467289
97,Kiribati,KIR,4.1670196e-06,1.1887152e-05,0.0,0.0,0.0,0.0
98,South Korea,KOR,0.005725138,0.004387452,0.0028635531,0.002227658,0.0028635531,0.002227658
99,Kuwait,KWT,2.7228934e-06,6.133047e-05,0.0,0.0,0.0,0.0
100,Laos,LAO,0.015797501,0.007356566,0.015336295,0.007165301,0.015336295,0.007165301
101,Lebanon,LBN,0.0001512412,0.00015354913,0.0,0.0,0.0,0.0
102,Liberia,LBR,0.006905881,0.003903319,0.006348223,0.0035206338,0.006348223,0.0035206338
103,Libya,LBY,0.00013732964,0.0013468883,0.0,0.0,0.0,0.0
104,Sri Lanka,LKA,0.005356877,0.0029550258,0.0045983326,0.0025332589,0.0045983326,0.0025332589
105,Lesotho,LSO,0.00060147804,0.0011079954,0.0,0.0,0.0,0.0
106,Lithuania,LTU,0.002565484,0.0015341395,0.0019148109,0.0012242073,0.0019148109,0.0012242073
107,Luxembourg,LUX,9.848006e-06,7.486437e-05,9.848006e-06,7.486437e-05,9.848006e-06,7.486437e-05
108,Latvia,LVA,0.0025467006,0.0015682443,0.0025413872,0.0015715166,0.0025413872,0.0015715166
109,Morocco,MAR,-0.0028541756,0.005479219,0.0,0.0,0.0,0.0
110,Moldova,MDA,0.0003638059,0.0006650388,0.0,0.0,0.0,0.0
111,Madagascar,MDG,0.018404344,0.013300618,0.0089034755,0.0064023547,0.007961533,0.0060646893
112,Mexico,MEX,0.062826015,0.015941704,0.03422366,0.011159358,0.03365173,0.010983365
113,North Macedonia,MKD,0.0011164584,0.000705244,0.00075137225,0.00068154995,0.00075137225,0.00068154995
114,Mali,MLI,0.005499562,0.004965939,6.57088e-05,9.05808e-05,6.57088e-05,9.05808e-05
115,Myanmar,MMR,0.042913318,0.014300794,0.030847238,0.010818619,0.029331299,0.010298998
116,Montenegro,MNE,0.00061810703,0.0004369632,0.00044059704,0.00036945092,0.00044059704,0.00036945092
117,Mongolia,MNG,0.014856403,0.008642349,0.0012294006,0.00077105657,0.0009612401,0.0007064207
118,Mozambique,MOZ,0.023993894,0.015663551,0.019033583,0.012357258,0.019033583,0.012357258
119,Mauritania,MRT,0.0009666996,0.0019489581,0.0,0.0,0.0,0.0
120,Mauritius,MUS,9.451467e-06,3.5611567e-05,9.747706e-06,3.542265e-05,9.747706e-06,3.542265e-05
121,Malawi,MWI,0.0037320843,0.0020890522,0.0010245775,0.0006439077,0.0010245775,0.0006439077
122,Malaysia,MYS,0.025435429,0.012939205,0.021941192,0.0117640095,0.02070934,0.010880333
123,Namibia,NAM,0.0030943833,0.0075627402,0.0,0.0,0.0,0.0
124,New Caledonia,NCL,0.00033135124,0.0005342735,0.00018862536,0.00031595785,0.00018862536,0.00031595785
125,Niger,NER,0.0033637576,0.0033332596,0.0,0.0,0.0,0.0
126,Nigeria,NGA,0.022984678,0.005634083,0.00971116,0.0046492023,0.0095897,0.004638361
127,Nicaragua,NIC,0.009230071,0.0039527686,0.007966852,0.0036172383,0.007686483,0.003634544
128,Netherlands,NLD,0.000504956,0.0007989739,3.0513482e-05,7.270829e-05,3.0513482e-05,7.270829e-05
129,Norway,NOR,0.008423434,0.0061912276,0.004814028,0.0027672914,0.0047845505,0.002742464
130,Nepal,NPL,0.0067161457,0.0031604257,0.005304672,0.0022450557,0.0052737575,0.0022486902
131,New Zealand,NZL,0.010642802,0.008261156,0.005245477,0.0037735377,0.0038255816,0.0029385057
132,Oman,OMN,-6.644683e-05,0.00029025972,0.0,0.0,0.0,0.0
133,Pakistan,PAK,0.0076698055,0.0047549894,0.00037184282,0.00031691455,0.00037184282,0.00031691455
134,Panama,PAN,0.0063224933,0.0037085097,0.004042559,0.0026143799,0.0032412023,0.0021126675
135,Peru,PER,0.06491123,0.034110367,0.05458004,0.03190385,0.017862864,0.013137105
136,Philippines,PHL,0.018838106,0.0123236915,0.0112501085,0.00782752,0.010916449,0.007899254
137,Papua New Guinea,PNG,0.038835164,0.01990075,0.03417829,0.017134419,0.02415891,0.012461336
138,Poland,POL,0.0051976577,0.008049651,0.0025389323,0.004559297,0.0025389323,0.004559297
139,Puerto Rico,PRI,0.0005146953,0.0005748662,0.00037421248,0.0004291643,0.00037421248,0.0004291643
140,North Korea,PRK,0.0062477626,0.0030205443,0.004147583,0.002072161,0.004147583,0.002072161
141,Portugal,PRT,0.0016855388,0.0017135169,0.00087671104,0.00085436925,0.00087671104,0.00085436925
142,Paraguay,PRY,0.011330253,0.009503868,0.009751537,0.0078366315,0.009752723,0.007678671
143,Palestine,PSE,0.000114933355,0.0002875244,0.0,0.0,0.0,0.0
144,French Polynesia,PYF,6.4110795e-06,3.310878e-05,0.0,0.0,0.0,0.0
145,Qatar,QAT,2.0581505e-05,4.7590936e-05,0.0,0.0,0.0,0.0
146,Romania,ROU,0.004548078,0.004840088,0.0032541275,0.0030403682,0.0032541275,0.0030403682
147,Russia,RUS,0.39878735,0.16317874,0.28859955,0.12335082,0.2261288,0.0976392
148,Rwanda,RWA,0.0015519856,0.00086383783,0.00057119736,0.00045217827,0.00057119736,0.00045217827
149,Saudi Arabia,SAU,0.0008478254,0.0018153476,0.0,0.0,0.0,0.0
150,Sudan,SDN,0.016659299,0.011645175,7.6148724e-05,0.00016005487,7.6148724e-05,0.00016005487
151,Senegal,SEN,0.001734193,0.0018790395,0.0,0.0,0.0,0.0
152,Siachen Glacier,SGR,2.380214e-05,7.017568e-05,0.0,0.0,0.0,0.0
153,South Georgia and the Islands,SGS,6.048541e-06,2.3169041e-05,0.0,0.0,0.0,0.0
154,Solomon Islands,SLB,0.0010383497,0.0011385678,0.00022123802,0.00029263156,0.00017978372,0.00022895954
155,Sierra Leone,SLE,0.0047191787,0.002448685,0.0041454975,0.0021856572,0.0041454975,0.0021856572
156,El Salvador,SLV,0.0013124974,0.00093694136,0.0010811724,0.0009557417,0.0010811724,0.0009557417
157,Somalia,SOM,0.007381181,0.005632875,0.0,0.0,0.0,0.0
158,Republic of Serbia,SRB,0.0018645936,0.0015848374,0.0014286549,0.0010232237,0.0014286549,0.0010232237
159,South Sudan,SSD,0.01767272,0.012183901,0.008237331,0.005266605,0.008237331,0.005266605
160,São Tomé and Principe,STP,-3.1235348e-07,1.1006962e-05,0.0,0.0,0.0,0.0
161,Suriname,SUR,0.011746294,0.0054195295,0.011459941,0.005442731,0.0032432664,0.0021589997
162,Slovakia,SVK,0.0015250153,0.0010646797,0.0013581328,0.00091891614,0.0013581328,0.00091891614
163,Slovenia,SVN,0.0007813193,0.0006298641,0.0007813193,0.0006298641,0.0007813193,0.0006298641
164,Sweden,SWE,0.014514475,0.0071002673,0.012127871,0.005927805,0.0118533475,0.0058152466
165,eSwatini,SWZ,0.00054370705,0.00049624476,0.0003914032,0.00041053892,0.0003914032,0.00041053892
166,Syria,SYR,0.0011980899,0.0010850086,2.187362e-05,3.4496847e-05,2.187362e-05,3.4496847e-05
167,Chad,TCD,0.0066787847,0.004114086,0.0010156807,0.0010711333,0.0010156807,0.0010711333
168,Togo,TGO,0.0014788923,0.0013277114,0.00049712096,0.00065500074,0.00049712096,0.00065500074
169,Thailand,THA,0.029014599,0.009763179,0.015183112,0.0055951034,0.013793238,0.0053113424
170,Tajikistan,TJK,0.0016825625,0.0012402282,0.0,0.0,0.0,0.0
171,Turkmenistan,TKM,0.0014455218,0.001436288,0.0,0.0,0.0,0.0
172,East Timor,TLS,-7.804951e-06,0.00088056445,0.00012774463,0.00050960976,0.00012774463,0.00050960976
173,Trinidad and Tobago,TTO,0.00031712226,0.00033317186,0.00028702588,0.0003465449,0.00028702588,0.0003465449
174,Tunisia,TUN,-0.00033393162,0.0011047416,0.0,0.0,0.0,0.0
175,Turkey,TUR,0.017203327,0.006677673,0.003837776,0.002155683,0.003837776,0.002155683
176,Taiwan,TWN,0.0019062567,0.0018605517,0.0008801782,0.00083788374,0.0008801782,0.00083788374
177,United Republic of Tanzania,TZA,0.046553746,0.016588323,0.021976706,0.006825363,0.021807872,0.0068153134
178,Uganda,UGA,0.02151629,0.0074648196,0.011001263,0.0048524356,0.010856297,0.0048794313
179,Ukraine,UKR,0.00714275,0.014142604,0.0018360366,0.003700247,0.0018360366,0.003700247
180,Uruguay,URY,0.009472949,0.0071928618,0.00035126889,0.00058309466,0.00035126889,0.00058309466
181,United States of America,USA,0.29736248,0.122969076,0.18793823,0.09380549,0.17880553,0.09157839
182,Uzbekistan,UZB,0.0017979819,0.0014896936,0.0,0.0,0.0,0.0
183,Saint Vincent and the Grenadines,VCT,1.8003191e-05,4.6465942e-05,0.0,0.0,0.0,0.0
184,Venezuela,VEN,0.025330773,0.033892713,0.023901857,0.028025534,0.002296472,0.018640729
185,United States Virgin Islands,VIR,-2.8061656e-06,1.06950365e-05,0.0,0.0,0.0,0.0
186,Vietnam,VNM,0.022088993,0.010694537,0.015746877,0.0074258647,0.015354086,0.0072691897
187,Vanuatu,VUT,0.0003252042,0.0004994514,4.6984493e-05,0.000107961794,4.6984493e-05,0.000107961794
188,Samoa,WSM,4.1591957e-05,9.0753645e-05,7.11368e-06,1.7127812e-05,0.0,0.0
189,Kosovo,XKX,0.0004108366,0.00028444914,0.00032691154,0.00022147968,0.00032691154,0.00022147968
190,Yemen,YEM,0.0013272517,0.0016535635,0.0,0.0,0.0,0.0
191,South Africa,ZAF,0.010879048,0.0143408105,0.0028806345,0.0022791037,0.0028806345,0.0022791037
192,Zambia,ZMB,0.032306552,0.015865328,0.02344846,0.011333171,0.02344846,0.011333171
193,Zimbabwe,ZWE,0.008885837,0.005616947,0.0006792737,0.001091278,0.0006792737,0.001091278
