Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Pakistan,PAK,0.054166659781819164,0.006829781244568698,-0.5226439721287098,0.0563040067001999,0.0449431952103128,0.0605656424244795,0.0378512238649488,0.0683990716677845
Panama,PAN,0.00451034372348855,0.00039233915414660435,0.40998137883446717,0.00453931582541684,0.00408268329850002,0.00483508468299033,0.00368549982084721,0.00581137802992133
Peru,PER,0.025114892223923258,0.007400564426714614,0.26114794722077567,0.025290230388370902,0.017050826870296,0.0347553895505336,0.012820788876715,0.0397089537707208
Philippines,PHL,0.04366150342298351,0.006690057594622018,-0.029549687735038962,0.0439836317248693,0.036952388867011,0.049812888867011004,0.0280878492044945,0.0605520881604214
Palau,PLW,5.891533002750553e-05,1.6370104028108553e-06,0.14887519953900918,5.9e-05,5.76889875e-05,6.0509235990682196e-05,5.6e-05,6.2e-05
Papua New Guinea,PNG,0.0116027805818296,0.002631982046713744,1.9940751197036106,0.01096486688816967,0.00955929592484688,0.012991617675591292,0.0075895668881696705,0.021034177675591292
Poland,POL,0.079729956790201,0.006627317125266686,-0.29265491094704543,0.0806329367504582,0.072735110892609,0.086694622102409,0.06275015862368599,0.09155671355851791
North Korea,PRK,0.010856154146955536,0.0031931771293650605,-0.2991323610989343,0.011713523468156,0.00695579566502241,0.014148343468156,0.005048346231449631,0.015725415064430003
Portugal,PRT,0.012839342329056947,0.0016803717009257492,0.07681093291901019,0.0129306757721673,0.011072135294382201,0.014405293041372499,0.0096396117265091,0.017431573041372498
Paraguay,PRY,0.01663816705691881,0.008070628429350723,-0.059441161921200567,0.01677262103885122,0.00653894799689563,0.02553373170306293,0.00483509217248908,0.030349664034646333
Palestine,PSE,0.0008847528509651393,0.00010153317742696513,-0.30466246761830246,0.000892,0.0007981300000000001,0.00099261,0.00064697,0.001140150505
Qatar,QAT,0.02579627034608593,0.0020249980965347933,-0.31223171987640824,0.026811141620701497,0.0234010351023475,0.0279807197853155,0.022181016351999202,0.02857371933623
Romania,ROU,0.018736922462623467,0.0020150791136446344,-0.8379211899562086,0.019320380076618602,0.0168714065290985,0.0203815266420651,0.013033226642065101,0.022195500947776798
Russia,RUS,0.5166958235189463,0.0780584654879728,0.2444332011373062,0.505918611056281,0.43056541213887,0.6110693638818679,0.384369830317428,0.68915126213887
Rwanda,RWA,0.0006790721719779171,0.00034802820982269623,0.4206634689329249,0.000702194986757167,0.000296544986757167,0.0009950746819728721,0.00013481299269861002,0.001686400587802602
Saudi Arabia,SAU,0.17684382361179735,0.01299008487779553,-0.9013167808669933,0.18313347338564498,0.16566740215947498,0.189281567455284,0.14655663342421502,0.19354744976194801
Sudan,SDN,0.01645362308617044,0.003537464325547467,0.1764084791716736,0.01660262118964283,0.01263404688455062,0.020197213050428976,0.00925376249205144,0.025349423991359817
Senegal,SEN,0.0037577462827683428,0.0011745167824418173,0.9518236237454548,0.0037211909306845404,0.0026794456743961803,0.00458957778068691,0.00114601567439618,0.008041540930684541
Singapore,SGP,0.013599318674570959,0.002289467727704815,-0.5775349530078209,0.01431307,0.0109604,0.015360040941717,0.00919944,0.016992069999999998
Solomon Islands,SLB,0.0008651605085682793,0.0006647560294981648,0.6826956820539966,0.0008777699999999999,0.00013444,0.0015913500000000003,8.045e-05,0.0025304200000000002
Sierra Leone,SLE,0.003017844707960981,0.000832208846426991,0.31778170064748074,0.00301714,0.002128692257053292,0.0038113947631535777,0.00159514,0.0051062847631535785
El Salvador,SLV,0.0014189574478535054,0.000589950980270605,-0.32837540722369063,0.00154426878096447,0.0007582087809644701,0.00198807878096447,5.3395028175150065e-05,0.0024876328312107296
Somaliland,SOM,0.00338255819891509,0.0019646674455318426,-0.7885489452833757,0.00395892,0.00011556,0.00510474,6.0960375885825e-05,0.0061820600000000005
