Country,iso,Fab_mf_mean,Fab_mf_std,Fab_mf_skew,Fab_mf_median,Fab_mf_q17,Fab_mf_q83,Fab_mf_min,Fab_mf_max
Bangladesh,BGD,0.0002565174614842051,0.003546313757228824,0.297718234654471,-0.00040962777092575994,-0.0028065346168638767,0.004241895011660012,-0.014246816071283818,0.012350832930793762
Bulgaria,BGR,0.003241060406448335,0.005069775751664761,1.2521086071491951,0.0029194838163942097,-0.0004369879812710732,0.006530188996121883,-0.011956578768427373,0.03329505365682602
Bahamas,BHS,4.852449214223134e-06,1.0004526603715972e-05,0.9720105703474737,2.5e-06,1e-08,1.243e-05,-7.646193312898279e-05,8.22494722052291e-05
Bosnia and Herzegovina,BIH,0.0011539308848321655,0.0036047604681369904,-0.8430479395605754,0.0015739567300945521,-0.0020257416984519362,0.004126798250103359,-0.012825669715356827,0.011137214323000908
Belarus,BLR,0.0038173847019876547,0.011173289475691225,-0.9687096901602182,0.0045340812105166915,-0.004252792334994078,0.012598804365277291,-0.053564237405786516,0.027198380287995337
Belize,BLZ,-0.0010593427254160384,0.0013071993285374622,0.6908974128367057,-0.0010977601380741599,-0.0021784300000000003,-1.2730651799142297e-05,-0.005615667328890562,0.005912725250399113
Bolivia,BOL,0.001090267973552704,0.04887307061805774,-0.1586579802962401,0.004015204324817657,-0.04415692896622181,0.04510898752677917,-0.17301360094028473,0.1435195687277603
Brazil,BRA,-0.18487553661590955,0.20958890233691774,-0.13946599977011548,-0.17837916481611252,-0.38844702122798924,0.017371334483489986,-0.8343070232595826,0.4179705598335266
Brunei,BRN,0.00012187670971312247,0.0006045001826236029,1.699432843676594,-7.981000000000001e-05,-0.0002854113372428529,0.0004823643121674657,-0.0009882582800412178,0.0024857256578582525
Bhutan,BTN,0.0009106349909117738,0.0022158766705974446,-0.03722569587834813,0.0007630087109500542,-0.0011200147268588842,0.0027998761508560887,-0.010908493943457604,0.008297227486631871
Botswana,BWA,-0.0016974207889,0.0025473666952699125,-1.0284909247353369,-0.0006209599999999999,-0.00601996,0.00020077999999999999,-0.00609276,0.00039828000000000004
Central African Republic,CAF,0.026097316014648004,0.025242992370566326,-1.0102819431638808,0.027400141262583732,0.005249980796352006,0.045178898666114804,-0.1337381510174942,0.09937299012863159
Canada,CAN,0.07694706028076538,0.06271198609878621,-0.2132240334778666,0.08033322704553604,0.015418725282335281,0.1376167938179779,-0.12239162349334717,0.26390895842132567
Switzerland,CHE,0.0008858835566420642,0.0020809951762253732,-1.2119361545845622,0.0007674810909105092,-7.759213753901422e-05,0.0020429515905231238,-0.012197887999794483,0.010780260446658134
Chile,CHL,0.0033780636852622655,0.010017420841149965,-0.7599756222685207,0.004437323130652904,-0.0046399572752577065,0.012288750688080788,-0.035944738765187265,0.028146419809336663
China,CHN,0.15148867335423874,0.07836919796700652,-0.26349189286782,0.15758923977750777,0.0763753438493602,0.2228138500322342,-0.1278240908831787,0.3989912767772675
Ivory Coast,CIV,-0.01378261306259676,0.024613063475585353,-0.8176857002089063,-0.01104036686220795,-0.034900524541478156,0.007924951185503007,-0.15078920559431075,0.054247557851867675
Cameroon,CMR,0.01257590760176557,0.01342283647010053,-0.32780924652118565,0.01377491115773201,9.37797809839238e-05,0.024912003307623862,-0.03616771839262009,0.04898354613975525
Democratic Republic of the Congo,COD,-0.024397734073715052,0.06445900632613996,-0.20617314514076626,-0.023920927505788808,-0.08329140632844925,0.03707873154541015,-0.2944005382154465,0.15049374755916595
Congo,COG,0.011418830735177042,0.010138963641250805,0.4800223189925012,0.010946332194614411,0.0019976828096294396,0.02006749718615532,-0.0208878605854702,0.05269562491329193
Cook Islands,COK,3.9630646000000006e-06,4.513717537095879e-06,0.6218608569262658,0.0,0.0,1.047e-05,0.0,1.3180000000000001e-05
Colombia,COL,0.006349895993702487,0.03932130724714259,-0.25441071904629614,0.00751032531754494,-0.028133738363921645,0.04231565026502223,-0.15268035814344405,0.1283149751374817
Comoros,COM,-2.2564384e-06,2.946235421013908e-06,-1.3564400756274282,-1.8e-06,-4.54e-06,0.0,-1.072e-05,0.0
Cape Verde,CPV,-1.3693963e-06,3.0698958678027996e-06,-2.527580746437041,0.0,-2.25e-06,0.0,-1.2760000000000001e-05,3.7e-07
