Country,iso,Fab_mf_mean,Fab_mf_std,Fab_mf_skew,Fab_mf_median,Fab_mf_q17,Fab_mf_q83,Fab_mf_min,Fab_mf_max
Belarus,BLR,0.003898422347091081,0.011211655452379303,-0.9359454193871608,0.004755838585319519,-0.004460073077998459,0.012693526286663127,-0.053564237405786516,0.0270788588905859
Belize,BLZ,-0.0010437801251488583,0.0013101994304190454,0.6865381840295376,-0.00108598,-0.0021609907425845414,1.0877935897111828e-05,-0.005615667328890562,0.005912725250399113
Bolivia,BOL,0.0010728778157552547,0.04869641520580969,-0.1482415069284629,0.0035267712377381323,-0.044027825309152606,0.045169357526779176,-0.17301360094028473,0.1435195687277603
Brazil,BRA,-0.1812347450703367,0.21083533864848356,-0.1731888817544747,-0.17525688507858278,-0.3884759079865307,0.02105577887928009,-0.8343070232595826,0.4179705598335266
Brunei,BRN,0.00012440221811534622,0.0006080438327131687,1.6828767221528813,-7.981000000000001e-05,-0.0002869113372428529,0.000486150147075057,-0.0009882582800412178,0.0024857256578582525
Bhutan,BTN,0.0009164322376674823,0.002217394554332663,-0.015471600535501607,0.0007705888097310625,-0.0011201301793916298,0.0027851933691209556,-0.010908493943457604,0.008297227486631871
Botswana,BWA,-0.0017133704120000002,0.0025610848773508013,-1.0100981225777752,-0.0006209599999999999,-0.00601996,0.00020077999999999999,-0.00609276,0.00039828000000000004
Central African Republic,CAF,0.026138202113778767,0.025514144707949413,-1.0731399846902365,0.02724802857910633,0.005519148949594497,0.0455112988628006,-0.1337087010174942,0.09937299012863159
Canada,CAN,0.0756741345151915,0.06290203472343436,-0.21810623147366712,0.07855904566098212,0.01423528211588841,0.13601158067447397,-0.12239162349334717,0.26390895842132567
Switzerland,CHE,0.0009031895653673082,0.0020734030071966046,-1.2952651560445005,0.0007916554694434627,-7.371e-05,0.002042273455116749,-0.012197887999794483,0.010780020446658134
Chile,CHL,0.003426472140151039,0.01005251081347829,-0.7197719283304613,0.004410632457138896,-0.00473281606302917,0.012411634233609463,-0.035781018765187265,0.028146419809336663
China,CHN,0.15132710907799024,0.0780809418482897,-0.27687175004066295,0.15763626761689187,0.07765327519851878,0.22132775094064294,-0.1278240908831787,0.3989912767772675
Ivory Coast,CIV,-0.01355172149034303,0.02465429419345275,-0.8142339797145906,-0.010865282857190964,-0.0343371032571888,0.008194703397054482,-0.15078920559431075,0.052499267851867676
Cameroon,CMR,0.0127180581689823,0.013269442529527846,-0.309028297572882,0.013787459660840034,0.0003967981959629042,0.024782955986091804,-0.03379702839262009,0.04898354613975525
Democratic Republic of the Congo,COD,-0.024757385212928206,0.06473662182071414,-0.18343674303386467,-0.024459990544872273,-0.08442439479657307,0.036905419254221736,-0.2944005382154465,0.15049374755916595
Republic of the Congo,COG,0.011367324897954062,0.010022081207765546,0.4382823707179082,0.011035478868473768,0.0020536109057175756,0.01998409060281682,-0.0208878605854702,0.05269562491329193
Cook Islands,COK,3.9143020000000004e-06,4.480794421155747e-06,0.6389137013125724,0.0,0.0,1.047e-05,0.0,1.3180000000000001e-05
Colombia,COL,0.006250742085950916,0.03868005660650231,-0.2691066088647234,0.007275262420201302,-0.027073668623163433,0.041851947154829504,-0.14417621814344406,0.1283149751374817
Comoros,COM,-2.230088e-06,2.929752077732807e-06,-1.362079983194048,0.0,-4.54e-06,0.0,-1.072e-05,0.0
Cabo Verde,CPV,-1.370154e-06,3.054561007833869e-06,-2.5060271749771794,0.0,-2.25e-06,0.0,-1.2760000000000001e-05,3.7e-07
Costa Rica,CRI,0.0019611147262767643,0.0028294863588475883,0.2506503231966623,0.0016839911212819816,-0.00032877845766025025,0.004369798212917435,-0.010187569409954548,0.010669628978874683
Cuba,CUB,0.0016645538942193752,0.003059573016416001,-1.4642529657723768,0.001629851551080942,-0.0003015820011473168,0.003982251598904729,-0.019468383880901337,0.012722728429429531
Cyprus,CYP,0.0001071488007180899,0.00016263233990040926,-0.4238757818466696,0.00011826000000000001,-6.08e-06,0.00022239000000000002,-0.0007911078620897233,0.0008317063966624439
Czechia,CZE,0.0030869064564397,0.006071128177798575,-0.3451774620815202,0.003080831107550338,-0.0020416619377514257,0.008482463295282745,-0.030894088397698402,0.028764714306373597
Germany,DEU,0.007064370526269787,0.021981079074928633,-0.6187172860454822,0.007036720786315799,-0.0076686114095272035,0.024510451995413303,-0.10962292524232864,0.11980259670740127
Djibouti,DJI,-1.0096326999999999e-05,8.08707799283012e-06,-0.3541896105122057,-6.92e-06,-2.1850000000000003e-05,-5.4400000000000004e-06,-2.623e-05,7.9e-06
Denmark,DNK,-0.0005087600117217071,0.0005469696996678149,0.7852086280983919,-0.00040497,-0.00109941,-0.00016517000000000002,-0.003469018147034049,0.003119564993700385
Dominican Republic,DOM,0.0010013150357430912,0.0029118467439982745,0.07795603410204203,0.0009190643484434485,-0.0012844368979290127,0.003683878719267845,-0.010553395911159516,0.010897312772197723
Algeria,DZA,-0.00011614819388787188,0.0006814064346434162,0.31180305099065286,-0.00021679000000000002,-0.0006801000000000001,0.00063438,-0.003056683473157287,0.0020545692751482133
Ecuador,ECU,0.0063730419039863245,0.00975367645243412,-0.21064505347878484,0.006762780195859671,-0.0025694666612404585,0.015628214468178747,-0.027845751167769432,0.036684032353515625
Egypt,EGY,-0.0006792187874440855,0.0008282631012634326,-0.7925587778750449,-0.00035647,-0.0014367383526012157,-0.00014050563699657612,-0.003780577086708844,0.002846581904909015
Eritrea,ERI,-0.00041388900099999996,0.0005528107716847431,-1.6407346534538354,-0.00020181,-0.00114487,-3.032e-05,-0.0018137399999999999,3.268e-05
Spain,ESP,0.006626483759034413,0.00820602340728124,-1.330436411706028,0.007194406386744678,0.0010575699758142605,0.013669688392925263,-0.03172600194304466,0.025921413710126878
Estonia,EST,0.0014298977665343998,0.0025715194038231667,0.525720776615325,0.0015832086081796885,-0.0007434502112799321,0.00322427907926665,-0.0076112932349514965,0.014090181043009757
Ethiopia,ETH,-0.0022056075347712707,0.03291343477690946,0.2848195495093825,-0.0024958305849790575,-0.038973920832693194,0.02731320877937317,-0.08054263802963496,0.102024344532938
Finland,FIN,0.002827815157102083,0.011833931331524756,-0.8674530048079043,0.003587481092535853,-0.007746181631729603,0.014239282758178711,-0.07224712226013183,0.036692358529863356
Fiji,FJI,0.00028192304703321077,0.0014450872500347527,-2.6286258087535037,0.0001473,-6.551e-05,0.0012077904091027378,-0.009284771022381783,0.005427471642780304
France,FRA,0.014501763373129962,0.019925053641754436,-0.15705359043967274,0.015163941302527191,-0.002120057831914408,0.031239468905070105,-0.05553084162055969,0.10328231472873688
Gabon,GAB,0.011230831459768345,0.009077840438281977,0.2113463512153083,0.010639054966435434,0.0032400834329771996,0.018965631162714956,-0.023521716983742714,0.043316843250875474
United Kingdom,GBR,-0.0026691888158513377,0.002035308081167269,-0.19103237224696568,-0.0030497000000000002,-0.004253312943107296,-0.0005058954819634765,-0.015400418104319573,0.005206244435471297
Georgia,GEO,0.00240123768447677,0.0018157691189549879,-0.49409438245347004,0.0024941500960734488,0.000910475227620192,0.004038804058996297,-0.004545380334537029,0.008537497756015063
Ghana,GHA,0.0014529652126179873,0.008404434128521519,-0.6355804134682717,0.0016182049613976475,-0.0053236849345503524,0.008678416531360627,-0.039895903166484836,0.030506880751008988
Guinea,GIN,0.0013040332381945,0.007233746151503391,0.011740269044817902,0.001787599131652713,-0.004806181216302515,0.007672680617969036,-0.02355169709269047,0.03187256820947647
Gambia,GMB,-0.00027703897800000006,0.00025416449897987264,-0.6813611028730723,-0.00029408,-0.00055346,-1.317e-05,-0.0009385099999999999,2.146e-05
Guinea-Bissau,GNB,0.00012119134601367756,0.001618193009767528,0.2902314018693052,3.3002380696330214e-05,-0.000977795000367668,0.0012843282874044775,-0.006022616104428768,0.007763818700780869
Equatorial Guinea,GNQ,0.0006676729624874117,0.0012376393680040734,0.13890330509610876,0.00047856557075858126,-0.00047005494209635565,0.001934313755115378,-0.005150947543338537,0.004805515007383823
Greece,GRC,0.003339473615577895,0.004109583002698767,0.1353594657468074,0.0029836250671863556,3.715016446698165e-05,0.007153534816366434,-0.010217874061803817,0.020494750144093035
Guatemala,GTM,0.0005671076736340542,0.00752167873499231,0.1861898801020924,0.0005656774161112311,-0.006178937202188074,0.007314339804737591,-0.023468544919422865,0.03184126758657455
Guyana,GUY,0.003022865684410712,0.004741100542317918,0.300433241404913,0.002906132879571915,-0.00119811,0.007089804292824268,-0.009677125426416397,0.02354972283466816
Honduras,HND,0.0031227981383473,0.007539056521216562,-0.3322429124967086,0.0029910784945702553,-0.0032066278875890653,0.00982951567332728,-0.030179146696891784,0.027060339675030708
Croatia,HRV,0.001715971329583281,0.004261408449598511,-1.4832954563448502,0.00215072962973088,-0.0008841458033439517,0.004635820420507461,-0.02198610266798973,0.01351084634258747
Haiti,HTI,-8.004890798444921e-06,0.001866942268361827,-1.375916529469193,-0.00012685,-0.0011062522087652176,0.0013607382864670456,-0.012760830462391376,0.00637535895824194
Hungary,HUN,0.0021913546441933046,0.0026699829220139318,-0.4894536029660242,0.0022881955112856256,0.00017467709878943855,0.004359284208488339,-0.01234160092797041,0.012020450775353908
Indonesia,IDN,-0.13399290740431213,0.11130333653765091,-0.5104231972325656,-0.12069120936101913,-0.240046228466165,-0.032687897954507834,-0.5664931637675477,0.17807495169769288
India,IND,0.03919193792064308,0.043345223116486226,0.7270040801110409,0.030242274514355662,0.0026779330456599615,0.09004717707139796,-0.0870911060436344,0.18708608255895615
Ireland,IRL,0.0007091784378954596,0.0020288428017144655,0.8001194684036536,0.0001221907096034288,-0.0010811873523652767,0.00384354,-0.0024866797788256406,0.0053717667378053065
Iran,IRN,0.00028362540919998035,0.004592359122628884,-0.39877917872130675,-0.00016288885110792706,-0.003286132454515323,0.006218993750727363,-0.017818173040417433,0.01115358907687068
Iraq,IRQ,-0.001065018505,0.0012554545194440436,-2.041868985523136,-0.00075859,-0.00196167,0.00014787,-0.00645943,0.00018475
Iceland,ISL,-7.8545285e-05,4.798623659893604e-05,0.2994847920126957,-7.392999999999999e-05,-0.00013919,-3.252e-05,-0.00014899000000000002,1.731e-05
Israel,ISR,-0.00027346197,0.00032696253534680565,-0.9147099964311909,-0.00019331,-0.0006833900000000001,1.374e-05,-0.00107402,5.0600000000000003e-05
Italy,ITA,0.00686983001277989,0.009386781342849789,-0.2303148009659145,0.00685035982645154,-0.00020021209283828736,0.015042381127638477,-0.02972163862432003,0.04690877761530876
Jamaica,JAM,0.0003865063372351994,0.001340815457286891,-1.0314203972532725,0.00036288,-0.00011489,0.0010237218263284861,-0.009570781117100715,0.007623957920612097
Jordan,JOR,-5.4043478e-05,0.00012776418437756524,-0.693204780538282,-2.373e-05,-0.00017968999999999998,5.8450000000000005e-05,-0.00040092000000000003,0.00020407000000000002
Japan,JPN,0.016537115432874862,0.009270452342794522,0.0657504415782526,0.015969875617526767,0.008078012977529764,0.025762585315010595,-0.016611720212287902,0.04708493532450676
Kazakhstan,KAZ,-0.004634775070792267,0.009768472347371347,-0.9748399514631588,-0.001807036240504384,-0.01821111065276478,0.0035035009441330986,-0.03037583063469112,0.009086889557520152
Kenya,KEN,0.003929654646203852,0.006608501387627339,1.0715103825908707,0.003422164878618121,-0.0013414477283491435,0.00851230124101162,-0.023213618815188408,0.036011159327611925
Kyrgyzstan,KGZ,-0.000309522558,0.0006058792374907222,-1.2623854421536969,3.103e-05,-0.0012271,6.754000000000001e-05,-0.0016733,0.00013537
Cambodia,KHM,-0.0035836422146410677,0.01183584233342081,0.6174623604387236,-0.003967978081546426,-0.013870437656846046,0.005876589875323772,-0.043944167931880954,0.05592151674369812
Kiribati,KIR,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
South Korea,KOR,0.006018607213978365,0.0041808028747892505,-1.4678270419802146,0.006624046692333222,0.00315691704211188,0.009472734810211658,-0.015968877697367666,0.015130223290421962
Kuwait,KWT,-1.549385e-06,2.171486349731839e-06,-1.8768460432854839,-9.600000000000001e-07,-2.93e-06,2.6e-07,-9.849999999999999e-06,5.699999999999999e-07
Laos,LAO,0.00849982156789021,0.02105746471784995,-0.07591142934389751,0.010134188286659719,-0.008584298970323135,0.02335396443779826,-0.07903174318954467,0.09177117779317856
Lebanon,LBN,-5.3657438e-05,0.0002474573012379909,-2.239204777798859,-1.8400000000000002e-06,-0.00011222,2.268e-05,-0.0012053100000000002,0.00045190000000000003
Liberia,LBR,0.0009553113529367394,0.005304306885883808,-0.3032768861383625,0.0011324276901280876,-0.0035885696482211354,0.0058229852681065085,-0.01749608086079359,0.016044825067043304
Libya,LBY,0.00017482976,0.00010047912005287,-0.021191019017601186,0.00013900000000000002,6.395000000000001e-05,0.00028505,3.755e-05,0.00031671
