country,iso,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,Fa_tf_mean,Fa_tf_std,Fa_tf_skew,Fa_tf_median,Fa_tf_q17,Fa_tf_q83,Fa_tf_min,Fa_tf_max,Fa_mf_mean,Fa_mf_std,Fa_mf_skew,Fa_mf_median,Fa_mf_q17,Fa_mf_q83,Fa_mf_min,Fa_mf_max
Kazakhstan,KAZ,0.022469783,0.06446181,0.7387663125991821,0.014633835,-0.02060901,0.059748285,-0.20451885,0.31429136,0.00062733784,0.0010987016,0.006908556446433067,0.00060479005,-0.00013238502,0.0015682532,-0.0031181506,0.0046156296,0.00062733784,0.0010987016,0.006908556446433067,0.00060479005,-0.00013238502,0.0015682532,-0.0031181506,0.0046156296
Kenya,KEN,0.035783634,0.031417016,0.46874478459358215,0.031932417,0.009009988,0.062899075,-0.041766625,0.13475554,0.005967977,0.00591762,1.4734346866607666,0.005160312,0.0018868544,0.009351172,-0.013368739,0.03412005,0.005967977,0.00591762,1.4734346866607666,0.005160312,0.0018868544,0.009351172,-0.013368739,0.03412005
Kyrgyzstan,KGZ,0.0032734885,0.008210682,0.628628134727478,0.0028440405,-0.0016400313,0.00815638,-0.027250502,0.03639367,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Cambodia,KHM,0.012854007,0.016629988,0.6928750276565552,0.012578098,-0.00091560907,0.026665097,-0.027523588,0.07300929,0.0081895385,0.0109684765,0.812124490737915,0.0076169358,-0.0013420093,0.017104536,-0.020845078,0.053498477,0.0079109715,0.01080407,0.8949414491653442,0.007615665,-0.0011425917,0.016063238,-0.020845078,0.053498477
Kiribati,KIR,4.1670196e-06,1.2952144e-05,3.729623794555664,0.0,0.0,0.0,0.0,8.586994e-05,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
South Korea,KOR,0.0057251384,0.0071575474,-0.7790428996086121,0.005594628,0.0015708802,0.010788627,-0.027740002,0.02746352,0.0028635531,0.0039854785,-1.7236396074295044,0.0033029695,0.00047981116,0.0061481595,-0.017018108,0.010273433,0.0028635531,0.0039854785,-1.7236396074295044,0.0033029695,0.00047981116,0.0061481595,-0.017018108,0.010273433
Kuwait,KWT,2.7228923e-06,0.00022694757,1.7650232315063477,-3.1479885e-07,-6.157398e-05,5.5232016e-05,-0.0010311112,0.001734399,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Laos,LAO,0.015797501,0.021565054,-0.057574231177568436,0.018110791,-0.0010438921,0.029151125,-0.06630593,0.09278544,0.015336297,0.020844856,-0.07932126522064209,0.017538972,-0.0013324791,0.028078167,-0.06507152,0.09049877,0.015336297,0.020844856,-0.07932126522064209,0.017538972,-0.0013324791,0.028078167,-0.06507152,0.09049877
Lebanon,LBN,0.0001512412,0.00046291293,1.4581305980682373,8.2111044e-05,-0.00012405898,0.000492518,-0.0015563874,0.003290142,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Liberia,LBR,0.006905881,0.005642706,-0.2253454327583313,0.0070154434,0.0021905794,0.012384393,-0.009883092,0.02094859,0.006348223,0.005225704,-0.2926190197467804,0.006336787,0.0021970493,0.011004391,-0.009847331,0.020017825,0.006348223,0.005225704,-0.2926190197467804,0.006336787,0.0021970493,0.011004391,-0.009847331,0.020017825
