Country,iso,CSCC_mean,CSCC_std,CSCC_skew,CSCC_median,CSCC_q17,CSCC_q83,CSCC_min,CSCC_max,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,Fa_tf_mean,Fa_tf_std,Fa_tf_skew,Fa_tf_median,Fa_tf_q17,Fa_tf_q83,Fa_tf_min,Fa_tf_max,Fa_mf_mean,Fa_mf_std,Fa_mf_skew,Fa_mf_median,Fa_mf_q17,Fa_mf_q83,Fa_mf_min,Fa_mf_max,Fb_mean,Fb_std,Fb_skew,Fb_median,Fb_q17,Fb_q83,Fb_min,Fb_max,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Antarctica,ATA,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
French Southern and Antarctic Lands,ATF,,,,,,,,,,,,,,,,,3.0001209e-05,0.00056291604,-4.049779415130615,0.0,0.0,1.5184698e-05,-0.0054439073,0.0028662153,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61025e-06,4.011948492332399e-06,1.2572876416606362,5.1e-07,-0.0,8.4472e-06,-2e-08,1.153e-05,-0.0001653468121192552,8.06966656705326e-06,0.3541620116741765,-0.0001665,-0.00017369829073205257,-0.00015712000000000001,-0.000175,-0.000152
Australia,AUS,0.9053053607988489,0.960933359741534,0.4102888459920718,0.8623027488985404,-0.03342768220243968,1.7744882205496273,-2.5385724334460082,6.95152888435947,3.3170388419669825,3.520859830092981,0.41028884599207166,3.159477271964252,-0.12247902758973901,6.501724840093835,-9.301329396146174,25.4704018322931,0.031349715,0.26778752,0.10489600151777267,0.022062361,-0.22279608,0.24182416,-0.67274386,0.8233858,0.012442941,0.037258346,0.2240179181098938,0.010952506,-0.016179617,0.044808783,-0.09058289,0.12596262,0.011929596,0.0360807,0.18112219870090485,0.009963507,-0.0146894045,0.042481363,-0.089089654,0.12073137,-0.0100118775,0.010162322316038046,-0.8045648841954243,-0.009428795,-0.019427457300000003,-0.0004902138000000031,-0.04324443,0.00541179,-0.10975505897688512,0.0031071278979337394,0.1314067305013442,-0.109263173058857,-0.11316900274324238,-0.10671001456574326,-0.113474291053437,-0.104902332638081
Austria,AUT,-0.25427674842478415,0.2464254587194083,-0.4766478621620728,-0.2420747074218501,-0.4737957112400349,-0.023499859683486626,-2.3295074824234017,0.7126077371372829,-0.9316700062284091,0.9029028807479121,-0.4766478621620728,-0.8869617279936589,-1.735987485983488,-0.086103485880295,-8.535315415599344,2.6109947488710046,0.0026434965,0.0046033785,-0.36464354395866394,0.0027544857,-0.0005388457,0.0065176436,-0.018500283,0.022478117,0.002294601,0.0037560577,-0.3006759583950043,0.0024301894,-0.0004968321,0.0053009796,-0.014004944,0.016122427,0.002294601,0.0037560577,-0.3006759583950043,0.0024301894,-0.0004968321,0.0053009796,-0.014004944,0.016122427,0.00118526125,0.0016061183912523106,0.9168794440796783,0.000551005,-0.0002456688,0.0036380629,-0.00064848,0.00405165,-0.017986785492697898,0.0007051948078400464,0.5092613389611352,-0.0181385307401714,-0.018518288901786317,-0.01725722665695953,-0.0189952184428831,-0.016781962703010203
Azerbaijan,AZE,0.035167111071067195,0.08584685056551263,0.29970457172786513,0.03234794297609796,-0.048501212472273014,0.11356111091262941,-0.3490327322033318,0.58101578176695,0.12885229496439024,0.3145428604720382,0.2997045717278651,0.11852286306442295,-0.17770844249840834,0.4160879103838742,-1.2788559307930079,2.128841824394105,0.0006638768,0.0039033287,-0.132733553647995,0.0007509503,-0.0029726576,0.003984672,-0.009626833,0.010445928,0.00018589904,0.0010010636,0.951448917388916,0.00012672794,-0.00067642657,0.0009825077,-0.002693372,0.005207682,0.00018589904,0.0010010636,0.951448917388916,0.00012672794,-0.00067642657,0.0009825077,-0.002693372,0.005207682,-0.000818989,0.00052484698951609,-0.9422695927805872,-0.00080356,-0.0012097699,-0.0003420175,-0.00249253,-9.635000000000001e-05,-0.009707946937085637,0.0006541109507407749,-0.8505958815912831,-0.009374943859645109,-0.010326930704474246,-0.00927918127357917,-0.0110083232043441,-0.00893421099771828
Baykonur Cosmodrome,BAY,,,,,,,,,,,,,,,,,1.7914026e-05,0.00020472685,2.5809688568115234,7.684274e-08,-5.5656e-05,9.6949174e-05,-0.0005041156,0.0013770751,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Burundi,BDI,0.17555841921244095,0.11364687940234083,0.4043476815308055,0.16855659852398247,0.07013458858671094,0.27912999413787043,-0.21126979794647247,0.8348487660946778,0.6432460479943837,0.4164021661301769,0.40434768153080536,0.6175913769918717,0.2569731325817089,1.0227322985211573,-0.7740925396758752,3.0588858789708997,0.0015295871,0.0019094521,-0.6975874900817871,0.0015976587,0.0,0.003218032,-0.0071737664,0.0060388804,0.00096892426,0.0014227594,-0.9351636171340942,0.0010118443,0.0,0.002075586,-0.00707784,0.0049283067,0.00096892426,0.0014227594,-0.9351636171340942,0.0010118443,0.0,0.002075586,-0.00707784,0.0049283067,-0.0006733195,0.000520749687893108,-0.7117029862943317,-0.000411265,-0.0013082913000000002,-0.00020905400000000002,-0.00180493,-0.00011597,-0.00015280523171050302,4.866084755590624e-05,0.04085703784524911,-0.000158029255319149,-0.00019925722625908565,-9.753000000000001e-05,-0.00021830363340627303,-9.5e-05
Belgium,BEL,-0.11915493618629437,0.27078585689188306,-0.10267525248392965,-0.1159519049843929,-0.36350911021312593,0.12882061921876514,-1.8259729444792963,1.2360417392810543,-0.4365836861865827,0.9921593796518595,-0.10267525248392913,-0.42484777986281563,-1.3318973798208935,0.4719987488175555,-6.690364868572142,4.528856932725784,0.0002905615,0.002246865,-0.3374598026275635,0.000276633,-0.0014583691,0.0019347835,-0.0084555,0.008613711,0.000109339606,0.0012116713,-0.8619442582130432,0.00013419564,-0.00057690963,0.0008811044,-0.00609707,0.0055704797,0.000109339606,0.0012116713,-0.8619442582130432,0.00013419564,-0.00057690963,0.0008811044,-0.00609707,0.0055704797,-0.00044618225,0.00041336125815194817,0.7806272770043512,-0.000635345,-0.0007252034,0.00013940129999999993,-0.0010137100000000001,0.00034677000000000004,-0.026609250746868714,0.0012214439066874424,0.8252042722338322,-0.0271392223754304,-0.027479067888336036,-0.02542765264003275,-0.028046275365976002,-0.0242909545847085
Benin,BEN,0.3436365713045683,0.20094855211024137,0.5454876106478952,0.32447107125357755,0.16224863990472305,0.5258343481171159,-0.35834482607939727,1.530913217866253,1.2590843972599386,0.7362754949319245,0.5454876106478942,1.1888620050731082,0.5944790166109053,1.9266570515011128,-1.3129754427549116,5.609266030261952,0.0014305541,0.007706095,-0.741223156452179,0.0017548827,-0.002817426,0.006302587,-0.04260723,0.03922812,0.0002168439,0.0015542622,1.484413981437683,0.0,-0.00028447193,0.00080569077,-0.008023972,0.011396819,0.0002168439,0.0015542622,1.484413981437683,0.0,-0.00028447193,0.00080569077,-0.008023972,0.011396819,-0.00308360075,0.0020986854822683744,-0.17180718665743114,-0.0030344150000000004,-0.005172835299999999,-0.0007444838000000004,-0.00701984,6.756e-05,-0.0018500087716997863,0.0004094842698740455,0.17829643018451216,-0.0018996034590383951,-0.0022411240608739167,-0.0013860328461409764,-0.00239142174168883,-0.00124617217716781
"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.776293646447545e-05,3.0540758108750145e-06,0.4685580346403992,-2.8e-05,-3.059650678964036e-05,-2.459e-05,-3.13906725888293e-05,-2.3e-05
Burkina Faso,BFA,1.102244468212849,0.5641720561667122,0.23985959288823208,1.0748505573506093,0.5889137930842222,1.624575612258013,-1.0142275421772435,4.035423684951981,4.038623731531878,2.0671264137948335,0.23985959288823305,3.938252442132633,2.1577801378605903,5.952445043313361,-3.7161297145374204,14.78579238166406,0.0036377665,0.01190513,-0.4993498623371124,0.0028022546,-0.004371028,0.01264502,-0.053519275,0.04223476,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0048764097499999996,0.0015543385164353018,0.058801813561646106,-0.00546898,-0.0062251155,-0.0030956626,-0.00735097,-0.00276063,-0.0012476674281289878,0.00032366074902249445,0.20476189332168368,-0.0013003697433947603,-0.001569138082078967,-0.0009108464267221746,-0.00165680529307624,-0.0007816157699098881
Bangladesh,BGD,2.6401581707094275,1.7555745163098473,0.6310554686982602,2.4672712971627324,1.041946166328447,4.213538206619336,-3.1164612307796964,14.033608881089402,9.673539537479344,6.432425027759281,0.6310554686982596,9.040082032804253,3.81769075342743,15.438403989053246,-11.418713949576809,51.41914294031157,0.0069338297,0.0084896395,0.12203864753246307,0.006775667,0.00076766295,0.013777058,-0.029589733,0.043932915,0.0017850398,0.00221055,-0.19896739721298218,0.0017805778,2.2791968e-05,0.0033652056,-0.009273366,0.009055093,0.0017850398,0.00221055,-0.19896739721298218,0.0017805778,2.2791968e-05,0.0033652056,-0.009273366,0.009055093,-0.0015290295,0.002810665886454074,0.768029917720852,-0.0026409800000000002,-0.0035943264,0.0028043924,-0.00497345,0.00329574,-0.023399082531410938,0.004872290363344276,-0.2967307995960653,-0.02227979863826845,-0.02846504352125609,-0.019037420888018394,-0.0312252069599095,-0.0168618129892153
Bulgaria,BGR,-0.03850330115780805,0.10486782078785652,-0.06468694136156931,-0.0377024100751482,-0.13433285325887195,0.05803633662990534,-0.7077305110097487,0.5012952518958493,-0.14107609544220867,0.3842356953667063,-0.06468694136156938,-0.138141630515343,-0.49219557434050687,0.21264513741197316,-2.5931245923397195,1.8367458029463921,0.0037478432,0.008335815,1.3265256881713867,0.0032002395,-0.0017436919,0.007954424,-0.029593911,0.050989047,0.0023606052,0.00507163,1.3270982503890991,0.0020289836,-0.0011260329,0.00562091,-0.011448459,0.031441294,0.0023606052,0.00507163,1.3270982503890991,0.0020289836,-0.0011260329,0.00562091,-0.011448459,0.031441294,0.0008913600000000001,0.0007164757109379931,-0.21143183787793374,0.00090503,3.9721200000000015e-05,0.0016440295,-0.00050812,0.00185376,-0.01203644662468674,0.0009269507978435415,0.8719462833295272,-0.012121785713700851,-0.012891426245474043,-0.011558680061408288,-0.0131560691157205,-0.010001157789301302
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64e-07,3.811843890580233e-07,1.273716272596117,-0.0,-1.2000000000000002e-07,6.406999999999997e-07,-1.6e-07,9.600000000000001e-07,-0.009262178056829377,0.0007795614829062493,-0.2802910095389024,-0.0088813320340622,-0.010142473488863404,-0.008514109192105107,-0.0102145798291861,-0.008410941538066392
The Bahamas,BHS,0.020951220264942203,0.012165822046252897,0.49482156247371295,0.019991120403381447,0.009824998883112248,0.032003345471482855,-0.018650027006363225,0.09636489812904302,0.07676527105074825,0.04457557197747061,0.49482156247371234,0.07324746515798963,0.03599879590772328,0.11726025780751317,-0.06833369895131486,0.35308098674481364,0.0001848252,0.0005987735,1.1551296710968018,2.3192712e-10,-2.3123106e-05,0.00058861374,-0.0017642324,0.002799029,2.6771642e-07,8.6595455e-06,1.569949746131897,0.0,0.0,0.0,-7.194193e-05,6.942947e-05,2.6771642e-07,8.6595455e-06,1.569949746131897,0.0,0.0,0.0,-7.194193e-05,6.942947e-05,4.626e-06,5.414650970118493e-06,0.32297347973513024,1.95e-06,1e-08,1.2367e-05,-4.52e-06,1.282e-05,-0.0006323467940397797,4.778256492692487e-05,0.2695413168825805,-0.000637,-0.0006790953950159145,-0.0005898899999999999,-0.0006850000000000001,-0.000554
Bosnia and Herzegovina,BIH,-0.019711772450885234,0.0313488413249427,-0.23007102819958264,-0.019245851655814262,-0.04801605033074374,0.009379765210772087,-0.2320624120774835,0.12619522721510734,-0.07222393426004352,0.11486215461459004,-0.2300710281995823,-0.07051680046690345,-0.1759308084118451,0.03436745973226893,-0.8502766778518995,0.46237931251615333,0.0017871088,0.005228386,-0.5391796231269836,0.0025929743,-0.002837674,0.0061552096,-0.015796605,0.018418998,0.0012239988,0.0035897044,-0.8451200127601624,0.0016931584,-0.001947958,0.0040413267,-0.01213697,0.010149134,0.0012239988,0.0035897044,-0.8451200127601624,0.0016931584,-0.001947958,0.0040413267,-0.01213697,0.010149134,-6.7666e-05,0.00038705772071902277,0.4675041761252374,-5.3589999999999993e-05,-0.0004641042,0.0002781199,-0.0006887,0.00098808,-0.005664257168264172,0.00033818087140826834,0.5158642035212606,-0.005682613112804956,-0.005985213657446919,-0.0053734062049164725,-0.006046990805048061,-0.00503834348404267
Bir Tawil,BIR,,,,,,,,,,,,,,,,,-1.047287e-06,2.0738338e-05,-1.896138310432434,0.0,-1.4829896e-10,0.0,-0.00015210631,0.00013826802,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Belarus,BLR,-0.21607765169916165,0.1699908195436552,-0.6388451538946203,-0.20442975246630996,-0.36570956296714086,-0.060326777347923036,-1.8652218296538492,0.3962185564192726,-0.7917085158257283,0.6228463628079527,-0.6388451538946202,-0.7490306130365598,-1.3399598387116043,-0.22103731220279002,-6.834172783851704,1.451744790720215,0.006612721,0.01393989,-0.8863121271133423,0.0076368004,-0.003020968,0.017229244,-0.05717759,0.037634183,0.005500083,0.011187444,-1.016233205795288,0.006237442,-0.0022495536,0.0139268255,-0.049747977,0.02665689,0.005500083,0.011187444,-1.016233205795288,0.006237442,-0.0022495536,0.0139268255,-0.049747977,0.02665689,-0.0016868745,0.0013024396446431616,0.13587532741609096,-0.0019287049999999997,-0.0028548263,-0.0003214580000000008,-0.00381626,0.00054149,-0.01658627358677454,0.0005816450337572793,-0.3636301040631373,-0.016419563324351003,-0.017155607213466005,-0.016084860912821464,-0.017501516411098098,-0.0158663982241854
Belize,BLZ,0.012153739515692636,0.006763827110075522,0.38188847317015395,0.011710008453503751,0.005957703149531767,0.018354426917375752,-0.01057414574011889,0.05046177057282816,0.04453130158549782,0.02478266253131671,0.38188847317015434,0.04290547097363775,0.021829024339884397,0.06725062022526476,-0.03874366999179561,0.1848919273788424,0.0011134244,0.0017875573,1.1188833713531494,0.00080845493,-0.00011346219,0.0024745504,-0.0028028558,0.009811913,0.0007092984,0.001261403,0.7729188799858093,0.0005594926,-0.00011632657,0.0016537264,-0.002505642,0.0066796253,0.00060504954,0.0011577939,1.0561717748641968,0.00035982655,-6.617267e-05,0.0014299557,-0.0025953273,0.0066796253,-0.001662854,0.0006134039738770894,-0.47650094483412414,-0.001597375,-0.0023182058,-0.0010701837,-0.0030203400000000003,-0.0007669,-0.00016299665724354412,2.2146197962305234e-05,0.976737630726793,-0.00016750019701643903,-0.00017553035526869805,-0.00014761,-0.000193,-0.00012
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001577855836550312,2.085473324036258e-05,-0.09760861154352145,-0.00015450000000000001,-0.0001777,-0.00014145703667264663,-0.00019,-0.000125
Bolivia,BOL,0.3248976442973221,0.256233696359002,0.5375866100035085,0.30426531860635475,0.08725792360956841,0.5572402062819716,-0.5394158354054123,1.8908460427910938,1.190424968705388,0.9388402634593833,0.5375866100035094,1.1148281273736838,0.3197130321054587,2.0417281158171443,-1.9764196209254308,6.928059900786568,0.029639699,0.06819044,-0.04039837419986725,0.032753233,-0.03078883,0.0886342,-0.1911623,0.20937468,0.025496826,0.06123368,-0.17575232684612274,0.029308727,-0.03023469,0.08076799,-0.17855012,0.18630119,0.016910939,0.0486435,-0.1675315499305725,0.019546207,-0.025610153,0.059293278,-0.14980854,0.14875354,-0.015615539500000001,0.0049097685291963535,0.21148248931078342,-0.016439305,-0.021430518699999998,-0.0108950516,-0.02320506,-0.00523397,-0.005684400592175886,0.0005028459372668808,0.5943678927891055,-0.005862116915006885,-0.006140179350463424,-0.005201401802000974,-0.00619440571307793,-0.00482624809844107
Brazil,BRA,6.0491164260022545,3.8942896357365946,0.5337725015150225,5.747861931129059,2.4732605275556705,9.566971969131442,-6.831485277059651,31.13699008890825,22.16396258487226,14.268677225338886,0.5337725015150228,21.060166115656873,9.062026572963978,35.05338529489761,-25.03056205514656,114.08593168575983,0.2816678,0.35790527,-0.24043254554271698,0.29566443,-0.07620463,0.68225425,-0.648637,1.0670364,0.24154212,0.3013373,-0.3583092987537384,0.2642057,-0.04419575,0.5529848,-0.6398238,0.8783964,0.1254366,0.1834862,-0.33126792311668396,0.13679396,-0.046995576,0.308363,-0.36324608,0.5147913,-0.30940928925,0.1040720474895843,0.6734197370262343,-0.33350923,-0.40094191020000003,-0.16967822870000007,-0.47106094000000004,-0.09682075000000001,-0.13617688005776302,0.008984212809436423,-0.28266250918194974,-0.135202629544037,-0.14486723526200904,-0.12992198194506557,-0.15226555676855902,-0.121508758423853
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.327325e-05,1.3203843532792318e-05,0.5611943655136148,1.047e-05,2e-08,2.53337e-05,-6.000000000000001e-08,4.291e-05,-0.0004259960812013312,6.0150247567549325e-05,0.7064277430520646,-0.00045337134443500254,-0.00046172973951679,-0.0003436618389809159,-0.000497294013710339,-0.000336667206956389
Brunei,BRN,0.06381578923948492,0.03528520799829458,0.4462964183278166,0.06130427917535465,0.031655615120018625,0.09587009453087438,-0.052420731270146986,0.2782944726712776,0.2338210517734727,0.1292850021057513,0.44629641832781797,0.22461887889849946,0.11598617379974825,0.35126802636112375,-0.19206955937381856,1.0196709478675612,0.00075915456,0.0010975824,1.9052525758743286,0.0002857988,0.0,0.0015225204,-0.00057790446,0.005452615,0.00035711098,0.0005896586,1.8511707782745361,0.000105676634,0.0,0.0006696859,-0.00036731828,0.0024645457,0.00035711098,0.0005896586,1.8511707782745361,0.000105676634,0.0,0.0006696859,-0.00036731828,0.0024645457,-0.00023519399999999998,0.00014059969079004554,-0.8309395899241369,-0.000212815,-0.0003628582,-0.00011071550000000008,-0.0006209400000000001,2.118e-05,-0.002438104751850587,0.0004336438577106168,0.1695311126819811,-0.0024130925823656352,-0.002898741265572712,-0.0019696647430858913,-0.00295207800260679,-0.0017841082735309
Bhutan,BTN,0.035674115222899774,0.03498312189578641,0.5965200963669232,0.03305678159658987,0.0028890053685907977,0.06665921290756002,-0.0972998725996726,0.27543220794871637,0.13070995817670475,0.1281781586261614,0.5965200963669242,0.12112004776990529,0.010585315670516683,0.24423935609329994,-0.35650673320520043,1.009183609924097,0.0016420425,0.0019748278,-0.06007998809218407,0.0016091866,0.0,0.0032581764,-0.007587364,0.0075405175,0.0016140155,0.0019697796,-0.0524609349668026,0.0015538703,0.0,0.0032427062,-0.007587364,0.0075405175,0.0014503293,0.0018831028,0.07600078731775284,0.0013986765,0.0,0.0029457118,-0.007587364,0.0075405175,-0.000527634,0.001180590923293533,-0.4176313504826677,-0.00016870500000000006,-0.0018048069,0.0005872153999999999,-0.0033211300000000003,0.00075671,-0.0003152614183841355,5.7829523306266394e-05,-0.4581789753485016,-0.000288502580774664,-0.00038115569971711833,-0.000266877324330055,-0.00040331242895549804,-0.00025060083070685
