Country,iso,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Honduras,HND,-0.0027502339641826993,0.0001560773528046547,-0.577620576431276,-0.00269139163189869,-0.0029421673017357903,-0.00258767412663755,-0.00306189802209093,-0.00255592194323144
Croatia,HRV,-0.0048599152780624995,0.00013217806717318053,-0.08144942373476842,-0.00483148646834061,-0.00502349281113537,-0.00475182031932314,-0.00510892464792576,-0.00460742446779476
Haiti,HTI,-0.0007697619468546432,8.235517438710601e-05,-0.5679557121211259,-0.000738605309089318,-0.000856767427677772,-0.000685742634289342,-0.0009307208477969679,-0.0006696814925014421
Hungary,HUN,-0.012801039783903134,0.0005855081106292882,0.3764758815943644,-0.0128568304994542,-0.0134760417003275,-0.0119101758242358,-0.013488955,-0.0118685913537118
Indonesia,IDN,-0.157904811548314,0.020215018670612848,-0.5886690927704781,-0.161069563685065,-0.17661735935928,-0.131867285490124,-0.200915556994602,-0.131586309746428
India,IND,-0.662456975229692,0.06645543778417569,0.15516687502557125,-0.66013893983055,-0.7291083876805889,-0.5853760250620491,-0.7719010857701399,-0.54362329102799
Ireland,IRL,-0.010316614187375577,0.0003916706576666935,-0.002982050415419814,-0.010186514534769101,-0.0106647508515713,-0.0100194832225367,-0.0110171613914259,-0.0095863729302425
Iran,IRN,-0.18138376946049642,0.014201646900556643,-0.35469214087127904,-0.182600461753978,-0.201425252984685,-0.167829588511129,-0.2067624288805,-0.160785867578286
Iraq,IRQ,-0.03568512025808945,0.004164095267591448,-0.22043805539219657,-0.0347189418029393,-0.0410438540162956,-0.030391138201675598,-0.0425658966957698,-0.0301681373079384
Iceland,ISL,-0.0009623526972898472,2.444313916811887e-05,0.4147945585190322,-0.0009575075491266381,-0.000986147191593886,-0.000940260756004367,-0.00100084670032751,-0.000911726462882096
Israel,ISR,-0.01621089123832233,0.0006730538148268255,0.008993368209556549,-0.0163715363343255,-0.017177479531728,-0.015255347365637,-0.0172202637510914,-0.015201283234786
Italy,ITA,-0.09437274525264638,0.004786729868589031,1.1866013946677771,-0.09526804666945181,-0.0985956153690714,-0.0916969982156859,-0.100839161467365,-0.08258799773809611
Jamaica,JAM,-0.0021088590189239963,0.00014607385443190339,1.0060873193507536,-0.0021352114496836602,-0.00222801081182183,-0.00200218814976641,-0.00231775128581235,-0.00176386628122392
Jordan,JOR,-0.006496005097256619,0.0005561304775322266,0.6383448154504656,-0.00674081048914353,-0.00704517466712096,-0.00565560151013504,-0.00706741961721976,-0.0056338768024391
Japan,JPN,-0.3157805484498547,0.02512929190058281,-0.13013683810918833,-0.311812483403944,-0.344925139896909,-0.28397473152071,-0.358978657007964,-0.28184682838949404
Kazakhstan,KAZ,-0.07441222812688134,0.004681860481822447,-0.5742318788437443,-0.07486072044860831,-0.0800972914949333,-0.0696350802916253,-0.0838357226408296,-0.0694361869379771
Kenya,KEN,-0.005066242101741678,0.0007835654301713357,0.3224704404025747,-0.0051413721441553204,-0.0059994089977399405,-0.00396603195526514,-0.00608376285640482,-0.0036730282509194103
Kyrgyzstan,KGZ,-0.002677016119302876,0.0002027002458896419,0.21148213390539447,-0.00265660835152838,-0.00280152319868996,-0.0024689709081467002,-0.00304899536026201,-0.00227851874055199
Cambodia,KHM,-0.0036890538298392883,0.0014191386381277175,0.12670265809516237,-0.00380290538573508,-0.00529576796294106,-0.00186524391487389,-0.005466030409066579,-0.00153840884279476
Kiribati,KIR,-1.6909308512321643e-05,1.633308643940535e-06,0.5757539657423617,-1.8e-05,-1.83783848055795e-05,-1.5e-05,-1.86973057062245e-05,-1.4e-05
Saint Kitts and Nevis,KNA,-6.439417090525137e-05,2.2550611967028045e-06,-0.6071204602053648,-6.316312500000001e-05,-6.7e-05,-6.27311218088958e-05,-6.900000000000001e-05,-6.1e-05
South Korea,KOR,-0.1725442007191521,0.005837365892599082,0.045045498563550807,-0.173193423220486,-0.178640084235156,-0.16432487221237302,-0.182906304182362,-0.163109700210739
Kuwait,KWT,-0.02620659023125302,0.0028732974262313453,0.8013710149524588,-0.0265964699179419,-0.0294282508175857,-0.0223466871423589,-0.029503018179529602,-0.0201400410578427
Laos,LAO,-0.00432062458474924,0.0018257068423725333,0.8431424908044574,-0.00536878364096711,-0.00592315100402094,-0.0012144359225962301,-0.00610691304565927,-0.00116298016842796
Lebanon,LBN,-0.00652384276402733,0.0007672188510010501,0.41302235915099833,-0.00654804254702505,-0.00721657599458998,-0.00530703894310869,-0.007593909345772001,-0.005293023842055941
Liberia,LBR,-0.00020545261986116198,5.493579371656391e-05,0.5895679213762057,-0.00022419826546909,-0.000243477502896546,-0.000127515535965386,-0.000278274593409824,-0.000115111268256739
Libya,LBY,-0.013278231091275922,0.0018208765462562283,0.0868545280319083,-0.012901943864520099,-0.0150527864073325,-0.0115790058045366,-0.016622226481954,-0.00973642645484631
Saint Lucia,LCA,-0.00013450639717409616,3.27949438589539e-06,-0.2009296908418569,-0.000133,-0.000138996772875,-0.000131,-0.00013900000000000002,-0.00013000000000000002
Liechtenstein,LIE,-4.23373312344021e-05,3.791975386224745e-06,-1.751514263211198,-4.08947205010553e-05,-4.40117821513374e-05,-3.90148479411555e-05,-5.25504603328591e-05,-3.87361839778703e-05
Sri Lanka,LKA,-0.00553710676617983,0.00069335731117096,0.9442800336775219,-0.0056290522441448995,-0.00627373596578789,-0.00475436985259555,-0.0063043806618489195,-0.00396029255329199
Lesotho,LSO,-0.0006672950565302877,6.809057031652107e-05,-1.1983704618760296,-0.000647,-0.000740121593938501,-0.000604,-0.000829465041281813,-0.000593
Lithuania,LTU,-0.0036333752008497443,8.559819280133516e-05,-0.22590023338099072,-0.00363537207423581,-0.00374105753002183,-0.0035193651821233698,-0.0037803207314410503,-0.00351660162936681
Luxembourg,LUX,-0.0024812048366466203,0.00023832183532282303,0.6970132153626791,-0.00252806658901944,-0.0026790602140148397,-0.00220385520854175,-0.00282032296360399,-0.00198600537415597
Latvia,LVA,-0.001981318828146656,8.709989188186619e-05,0.013886790420833987,-0.0019692498864214703,-0.0020874679853788497,-0.0019099311758009401,-0.0021444698166145,-0.00180669119903043
Macao,MAC,-0.00036544910441708994,9.039002145201693e-05,-0.7015185927468828,-0.000331,-0.000486,-0.00028199999999999997,-0.000526,-0.00027
Morocco,MAR,-0.017159626826785436,0.0014152389635071988,-0.3661271987733522,-0.0170057967087794,-0.0192310194078721,-0.0156045076624255,-0.019278490335716603,-0.0154493496569409
Moldova,MDA,-0.001432884876360616,0.00010828312092803418,-0.320025038114196,-0.00143036400013576,-0.00160075963352905,-0.0013050653840270302,-0.00160440329201417,-0.00129880354803493
Madagascar,MDG,-0.001040504523172174,0.00014646109051567183,-0.0779548364810364,-0.00103474838817282,-0.00123618307337725,-0.000875433839791852,-0.00125593983484573,-0.000861863524814792
Maldives,MDV,-0.00043803083827598346,8.593090049500419e-05,-0.014766942666655637,-0.00045000000000000004,-0.0005402552625,-0.00034899999999999997,-0.000566666786686462,-0.000298
Mexico,MEX,-0.1257277462886653,0.004353980496524753,0.40158475709494845,-0.125940212399121,-0.129618056242537,-0.11971229230154601,-0.133003105242186,-0.11739767554692401
Marshall Islands,MHL,-3.9680746086175553e-05,9.72856431732166e-07,-0.5441475279958317,-4e-05,-4e-05,-3.9e-05,-4.1870624612530505e-05,-3.8e-05
North Macedonia,MKD,-0.0019476236379248797,0.00010770664664343116,-0.4345160362540073,-0.00190978281060711,-0.0020870000000000003,-0.0018209489051094901,-0.00214317514593967,-0.0018160000000000001
Mali,MLI,-0.0013480407732418974,0.0004161452182833331,-0.05076056765066042,-0.00133970021388897,-0.0018881870977775,-0.0008557995091850839,-0.00195835213759353,-0.0007487429978626739
Malta,MLT,-0.0004808501141370087,9.386174129856233e-05,-1.189959580319023,-0.000439643777292576,-0.000659688810043668,-0.000419451037117904,-0.000663059825327511,-0.000375437819323144
Myanmar,MMR,-0.007055250307868732,0.0020624590106567914,0.38352558274215387,-0.008303178868970409,-0.00927169567116693,-0.00428920450082852,-0.00943285461235203,-0.0034290203911657804
Montenegro,MNE,-0.0006177586479892568,4.1628719360504956e-05,0.20832024313338046,-0.000641212941870843,-0.000657,-0.000574,-0.0006760000000000001,-0.00055
Mongolia,MNG,-0.009719099928142568,0.00209202312708814,0.024209756153173854,-0.00977229793295893,-0.0123671236058787,-0.00699032690925136,-0.0128969768861399,-0.0063446603964129
Mozambique,MOZ,-0.0019186829680009957,0.0003629249709679719,1.4759207778865073,-0.0019375439762047899,-0.0022109101535191197,-0.00174011921663326,-0.0023315709388509,-0.0009758530001957671
Mauritania,MRT,-0.0009327292800677398,0.00023249740619072577,0.03493685445723269,-0.0010000883424408,-0.0012529453099897,-0.000682018439285933,-0.00126549939663577,-0.000563028936512202
Montserrat,MSR,-8.866396942494187e-06,3.2647177055768396e-06,-0.769858597492819,-8e-06,-1.3e-05,-6e-06,-1.5e-05,-5.85265007534036e-06
Mauritius,MUS,-0.001157064622188698,5.959106382316304e-05,0.30611081450226474,-0.001148,-0.001234,-0.00111,-0.001238,-0.001039
Malawi,MWI,-0.00040859297474154995,0.00010164993948602454,-0.16346298184790906,-0.00044664502135604304,-0.000535551187688389,-0.000295547235844389,-0.0005588716439214911,-0.000284050023728936
Malaysia,MYS,-0.06876189115633306,0.005153958279828939,-0.3673064323411543,-0.0704569064226592,-0.0742456247842269,-0.06304425683430111,-0.0783446425124084,-0.0623359175908047
Namibia,NAM,-0.001041833958203752,0.00012321931644195046,1.950755856182579,-0.00109327121794317,-0.001133984668157,-0.0010038200149918499,-0.0011506968184542602,-0.000700799126637554
New Caledonia,NCL,-0.0013999186797909178,0.00014972138755769051,0.5968595156776921,-0.00139607402202959,-0.0015482715367925,-0.0012382042375754401,-0.00161381223292003,-0.0010835505255756299
Niger,NER,-0.0006181962027128481,9.241865142105213e-05,-0.15056309724733924,-0.000575100142266072,-0.00074053882050277,-0.000518265077007358,-0.0007497332672533351,-0.000475448748175984
Nigeria,NGA,-0.02870925423789514,0.0023751563556663725,0.04689655640206846,-0.029249232418431904,-0.0318022060201344,-0.025882822757386202,-0.0321152336463597,-0.024956518506630002
Nicaragua,NIC,-0.00141758652977861,9.441511441720009e-05,0.5589579232459806,-0.0014253690929594,-0.00150082990189837,-0.00129506614667513,-0.00153547350257683,-0.00125693450908057
Niue,NIU,-2.212367612480184e-06,3.950871510189193e-07,-1.4829102150191997,-2e-06,-3e-06,-2e-06,-3e-06,-2e-06
Netherlands,NLD,-0.041649927582955666,0.0034799818446285273,0.8016020505318008,-0.0429427607826001,-0.044925725635072,-0.037300784664955504,-0.0449665886339616,-0.0347273457844803
Norway,NOR,-0.011844886408296939,0.0004626347252422572,0.48494908093924277,-0.012119268558952,-0.0122701965065502,-0.0111975982532751,-0.0124164847161572,-0.0111375545851528
Nepal,NPL,-0.0032271825672644397,0.0009804642367587928,0.4018518560765574,-0.0037049371470197602,-0.004226857252577411,-0.0018844586569031802,-0.004377024184402021,-0.00169700867513896
Nauru,NRU,-1.4661882921730562e-05,8.654998866930873e-07,0.18326557770926055,-1.5e-05,-1.5441278625e-05,-1.4e-05,-1.6196158275754098e-05,-1.3e-05
New Zealand,NZL,-0.009514790417656167,0.0003697340520579635,1.0796830838940037,-0.00961733464560927,-0.0097713428416857,-0.00928568683845343,-0.010025059976347001,-0.00862720767893821
Oman,OMN,-0.017681092712601213,0.001094944357892843,-0.8293135132869651,-0.017444800835860502,-0.019281433979581902,-0.0166595172221294,-0.019878010465100602,-0.0166071202947515
Pakistan,PAK,-0.052314250812020825,0.006528388916474294,0.6024418959611579,-0.054625896700199905,-0.0588093124244795,-0.0424853452103128,-0.060983011667784505,-0.0410439238649488
Panama,PAN,-0.0029977328502322903,0.0002287387599010183,-2.2482095485756504,-0.0029355846829903303,-0.00306308839610101,-0.0028490366838325,-0.00365195802992133,-0.00281777982084721
Peru,PER,-0.01408751263803681,0.0012261356792792532,0.4314886493618905,-0.0143295022392408,-0.015193136870296,-0.0127755388024225,-0.0158987937707208,-0.011671938876715
Philippines,PHL,-0.034919265019564376,0.004972083412976623,0.5471445529880361,-0.0362188148974542,-0.039540713443462105,-0.027615781979431802,-0.0410098581604214,-0.026144739204494498
Palau,PLW,-5.891652419626636e-05,1.6357290774698282e-06,-0.16227235656045652,-5.800000000000001e-05,-6.0509235990682196e-05,-5.76889875e-05,-6.2e-05,-5.6e-05
