Country,iso,Fabc_mean,Fabc_std,Fabc_skew,Fabc_median,Fabc_q17,Fabc_q83,Fabc_min,Fabc_max
Belize,BLZ,-0.0006968319579893736,0.0019099462552876092,0.9927664787032291,-0.0009295438284294311,-0.002299000729270173,0.0008246543139725623,-0.005994195800837278,0.008805572663280964
Bolivia,BOL,0.007712288511169403,0.06849350024988093,-0.03360489904760488,0.010295851083201591,-0.05775898719638542,0.06776531796260782,-0.2197695081897285,0.1987404374077225
Brazil,BRA,-0.1632028121315288,0.37113474731029955,-0.1873490619727136,-0.14596516262885983,-0.5364953918650296,0.2087377138225643,-1.2363093713799893,0.8410153658436004
Brunei,BRN,-0.0019172916066572078,0.0011654300219636302,1.5261628125972841,-0.00219168434683198,-0.002895556389337082,-0.0010445854854854817,-0.004108149511141479,0.0035886969353929174
Bhutan,BTN,0.0008114831393556745,0.0022748453317848454,-0.07672524644929181,0.0007068663853038276,-0.0013172760442505898,0.0028521231923715118,-0.010246176736238432,0.007944016655925019
Botswana,BWA,0.002693867348743972,0.022447318510280315,1.0657348319473403,-0.0012999625691686731,-0.013294692340272772,0.021188203107061387,-0.06744344909366225,0.11061511470964432
Central African Republic,CAF,0.027643718144754678,0.025773124486778577,-0.9860927730907855,0.02918064428138256,0.006069828255649806,0.04798622853129575,-0.12813613024074555,0.10423511189186095
Canada,CAN,0.031515503575915434,0.13145236085987988,-0.012408083600951287,0.03860274722570256,-0.09534940207185155,0.14611626054651455,-0.3381514906493914,0.5014717672000922
Switzerland,CHE,-0.00897598220160452,0.0024541110099895974,-1.0131846191432141,-0.009043749872303684,-0.0105670422365295,-0.007254376181116321,-0.023980483049623684,0.0018005601880710844
Chile,CHL,-0.01344284700342273,0.017102242973364393,-0.07174887494146784,-0.013398704808297059,-0.028048243872559473,0.0016592241684785505,-0.06235408617300603,0.036228516035431466
China,CHN,-2.5612120400208314,0.21502121553654666,-0.2683104952169985,-2.5344761129605886,-2.7845431957741154,-2.360452427118291,-3.2847956066354307,-1.8554004240982835
Ivory Coast,CIV,-0.014848695516087375,0.033656633408386594,-1.224591983807976,-0.010290376806046685,-0.040551428466993236,0.012875798651616597,-0.21730537952363732,0.08889092943923874
Cameroon,CMR,0.01446709852802814,0.016594632473824318,-0.1003025377682125,0.015693019217296753,-0.00056721588235953,0.02891178189000832,-0.044304856543662806,0.07600328279613398
Democratic Republic of the Congo,COD,0.03394690972777798,0.0856946634542071,-0.16706687920368377,0.033662545119821266,-0.0408116332753148,0.11256628826792417,-0.32010390576949466,0.28603779531141754
Republic of the Congo,COG,0.01861020329038551,0.015745622479002835,0.414462967818204,0.01819293136701617,0.005039460866957111,0.03187258878299489,-0.02154481099594492,0.0853997605096353
Cook Islands,COK,-1.6508770704671484e-05,5.346944276251409e-06,0.775711674195335,-1.8e-05,-2.2e-05,-1.088e-05,-2.3550108268271288e-05,1.1224171156361697e-05
Colombia,COL,0.014724433611585536,0.0662652960978647,-0.04430972780074832,0.016432624396117954,-0.04577288579705816,0.07857185094738087,-0.20190062514839965,0.24322409600890216
Comoros,COM,-8.232573316397469e-05,7.433215004018773e-05,0.09025076607698453,-8e-05,-0.000131128160983047,-4.9000000000000005e-05,-0.00045656673656763256,0.0003288549636434764
Cabo Verde,CPV,-0.00013169176934177136,4.3321565427754125e-05,3.8726525675593466,-0.0001406523344586362,-0.000153,-0.000133,-0.00018898143326169135,0.0001577678426709026
Costa Rica,CRI,0.0013687180481466283,0.0038559655727852912,0.41115240939893943,0.0009611533715283263,-0.0019152789140102814,0.004362051057857371,-0.012653320287977872,0.013393334751256977
Cuba,CUB,-0.001880334656285504,0.013145867276995552,-2.0216442455428356,-0.00164554165010111,-0.008023632958522391,0.00506406106492662,-0.09737691245563869,0.05585738112833117
Cyprus,CYP,-0.0017870845082215714,0.00035675074555201127,0.07130976207387159,-0.001803674114634058,-0.0020371460948395734,-0.001532866938517252,-0.0034608245277781987,-0.00026488827846344156
Czechia,CZE,-0.02458530496783272,0.008202656335549579,-0.5532753400472902,-0.024475905992889697,-0.03083602546933968,-0.018107842275563096,-0.06946919379912578,0.013992588222248269
Germany,DEU,-0.19711495160926812,0.03292042459528181,-0.5057016708188949,-0.19591268956861588,-0.22336912428044492,-0.16845079811050945,-0.3568564498030242,-0.03261201667327793
Djibouti,DJI,-0.00010873035871988633,0.0003421739935609089,-0.2564771593819388,-0.0001256419753529865,-0.0002895760441480247,4.1067221949159916e-05,-0.0021535221704839097,0.0013121206498961093
Denmark,DNK,-0.00876718149931126,0.005272597298137915,-0.9106256833846329,-0.008594833464249243,-0.011456796631822506,-0.005748727926620572,-0.03758131179659996,0.013303990766560674
Dominican Republic,DOM,-0.004528562919064267,0.006749538863091494,1.3822112622434723,-0.004878546006353721,-0.008699968379899394,-0.0007098865049759434,-0.04355094169583333,0.04401392709812032
Algeria,DZA,-0.04331624332943975,0.021973617369695265,0.29798060013885497,-0.04313804181472091,-0.05772483453955381,-0.028897385446187213,-0.15131149590393272,0.09111768641857199
Ecuador,ECU,0.0005062159485972542,0.012568143897164031,-0.0834909286389434,0.00042722976666638435,-0.011088725900441071,0.012593958998082027,-0.04571061656236223,0.04077752020290324
Egypt,EGY,-0.06528671025507177,0.00911007508568175,3.401067465254298,-0.06513640634834289,-0.07141622702523823,-0.05966940595395794,-0.11466259020877127,0.031391268458770945
Eritrea,ERI,0.0011538240248902061,0.0025841502058031604,0.9050847704309593,0.0005030841995389702,-0.0009116061320810963,0.003420482888605004,-0.006423037675167427,0.011306158741008336
Spain,ESP,-0.05733413070982917,0.025230281119920313,-0.6776351214802747,-0.05543984525848177,-0.07801269653414544,-0.035005638098849066,-0.16609541021219876,0.012048827943795519
Estonia,EST,-0.0025724544363548967,0.0031817821412710567,0.41654755976810454,-0.0025731735811670656,-0.005111696948159131,-9.190446183566478e-05,-0.015245050652205995,0.014528924735358537
Ethiopia,ETH,0.029285980869933302,0.0453352738805323,0.20642736579802304,0.027093537320252475,-0.013205324305970037,0.07233278901437865,-0.147546428671031,0.21037649029213432
Finland,FIN,-0.008330719441655502,0.013102944003260921,-0.9660734461971611,-0.0073087091489500485,-0.01983141245015714,0.0036385004156303533,-0.09043372983882797,0.03282492105696582
Fiji,FJI,0.00023518206145817588,0.002203824926797943,-0.7419957031934209,2.048533971352496e-05,-0.000377426361802629,0.0014345555332626939,-0.010560844842495918,0.010160114413743019
France,FRA,-0.06801957807886,0.03965748641222525,-0.1150029160410361,-0.06534568442103532,-0.09889884382082598,-0.03775179737021945,-0.19777178626757597,0.11406072087433329
Gabon,GAB,0.015881082732639756,0.012370204450892017,0.47785126335381145,0.014951784078256163,0.005488091612027444,0.025924931137802244,-0.022915246715975238,0.06319918901610509
United Kingdom,GBR,-0.10366993048310362,0.016890724327980392,-0.33178857485656205,-0.10281763701786878,-0.11972065146523807,-0.08729817576043263,-0.18651408950227968,-0.04561845443927216
Georgia,GEO,0.00048212128091240983,0.0035465837535668186,-0.10469273865341468,0.0007046899509049701,-0.0025763878362892235,0.003542434436627019,-0.010427016010727319,0.015143701724224523
Ghana,GHA,0.0003936402985244932,0.016515433099832035,-1.3624129329722177,0.0010322672507212304,-0.011494061870813933,0.01416853666573563,-0.09044058137071423,0.048219901805987994
Guinea,GIN,0.002208859502993985,0.009552024771054818,0.19573302367064407,0.0024238629832326656,-0.006011534986104325,0.010256880598688557,-0.031026494219470024,0.03956279926425933
Gambia,GMB,-0.00026566755804857635,0.0006277889337020978,0.35840474882494405,-0.0002690533344710991,-0.00072763,0.00015353652965560409,-0.0035924253155982496,0.00275769947220087
Guinea-Bissau,GNB,0.0002859651365282721,0.00226624084885971,-0.37930098804417683,8.714088978125567e-05,-0.0011470859587766795,0.0017114332730150403,-0.014191293233757018,0.010115287078490257
Equatorial Guinea,GNQ,-0.0005546298863786076,0.0014746111151410768,-1.0859936651086317,-0.0005349622516302029,-0.0018299622137984437,0.0008041658196256744,-0.010234727278227083,0.0038185196879196026
Greece,GRC,-0.012795295003292153,0.009112977451897368,0.11418218007112434,-0.013168141176130356,-0.020251853657375748,-0.004802865781786986,-0.0434315726699248,0.024041221296871054
Guatemala,GTM,-0.0028132364360262444,0.008811573044236165,0.5596099087030012,-0.0031039418361508294,-0.010665740167543377,0.0043392579040603405,-0.03402943245550989,0.038382353375564914
Guyana,GUY,0.012810030319356739,0.016637388834076127,-0.02436534859270699,0.013142720448793502,-0.0026617271761891614,0.026021205527625085,-0.05003699948256255,0.06531609114578538
Honduras,HND,0.001094581539891752,0.008273480704178186,-0.06613861972416453,0.0007851630374894408,-0.006142953707438152,0.008609696688873694,-0.03324104471898272,0.033078162506291295
Croatia,HRV,-0.00253033960985239,0.007209876298871638,-1.3817180536601292,-0.001770272595955379,-0.006720705798692619,0.0023714455153188768,-0.03907443612372311,0.018432361404745714
Haiti,HTI,-3.8428292427295815e-06,0.005394658463983849,1.3009144671827462,-0.00013219048385875403,-0.002411698992580508,0.002682306541925832,-0.028870951642460396,0.0404046032431377
Hungary,HUN,-0.01002701468606864,0.009236901201410857,-0.7946947379029222,-0.0092187379647737,-0.01673224372537839,-0.003506650297330465,-0.05147316293953987,0.021185303818131565
Indonesia,IDN,-0.23777043979117088,0.14112952503801535,-0.05790620603497666,-0.23019277903551538,-0.37053098703295134,-0.11975453949769611,-0.7688268829540843,0.25079738764891407
India,IND,-0.5130516559008474,0.12642140333463328,0.440952160648906,-0.5213530387777445,-0.6301151107012527,-0.3954731369814785,-0.9665283996983245,0.069280615826258
Ireland,IRL,-0.008088945249193846,0.004554360908647618,0.755021279930551,-0.008748784096899411,-0.011117156666029535,-0.004986712184225921,-0.03272325771055775,0.01450045130625759
Iran,IRN,-0.1784817580481245,0.027974854490929117,-0.6037603760110679,-0.17722366439961423,-0.20118875684469373,-0.15610517818295264,-0.33234120514415666,-0.07450720090826876
Iraq,IRQ,-0.035378141929903316,0.0068267972243845655,-0.18494119385939262,-0.03511721402908703,-0.04146743225628081,-0.02963103943744958,-0.06671637307001016,-0.008397180344642464
Iceland,ISL,8.399851096306623e-05,0.0037200590212627506,0.516401325656194,-0.00034261477499389716,-0.0019312548250933533,0.001830110708970384,-0.01831045200734865,0.015308851036922401
Israel,ISR,-0.016258910628803653,0.0011198339058666553,0.14007274468053293,-0.01628302718364552,-0.017299148298907496,-0.015231596361257042,-0.020187693108162024,-0.011876275589180198
