Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
Colombia,COL,0.007757423276100775,0.05464233635750963,-0.07122905988567818,0.00774576632135103,-0.04033828975443106,0.059090730743199794,-0.17314317125214737,0.19457678932612477
Comoros,COM,-8.31017807305013e-05,3.1172425347192966e-05,-0.5369154671028674,-8e-05,-0.00012677816098304701,-5e-05,-0.00014748922,-4.4e-05
Cabo Verde,CPV,-0.00014368599464462017,8.658358537628881e-06,-0.4287919021804935,-0.00014099999999999998,-0.000153,-0.00013486,-0.000169011363968265,-0.00013263
Costa Rica,CRI,0.0004695020388673247,0.0031001771999416426,0.2675070190787031,0.0001343564467587181,-0.0021299214518779447,0.003180546166081958,-0.012320943172631358,0.010772886968580246
Cuba,CUB,-0.0051289496947892815,0.0031137342715484616,-1.2604353744961452,-0.0051044898305182985,-0.007323552600098635,-0.0026561072303594746,-0.02654714232629667,0.006557878484151911
Cyprus,CYP,-0.0018414176281530306,0.00017955836122072674,-0.33529342851705957,-0.0018445796102565298,-0.00198297238783462,-0.00169217282335177,-0.002783108320341853,-0.001032034274011064
Czechia,CZE,-0.024722593149569042,0.0062874397538853636,-0.3022444285142169,-0.024579043884431023,-0.030185170177722046,-0.01921692551338349,-0.057171634072466206,0.0037445818183156968
Germany,DEU,-0.19694139216134784,0.028081688711997326,-0.18914755488477766,-0.19703308374594333,-0.22042480794825864,-0.1712816873302455,-0.33535242356792067,-0.057968522445658754
Djibouti,DJI,-0.00012715269680601141,1.5930717373874955e-05,-0.964162828606382,-0.000125479530390089,-0.00014086375649380596,-0.00011203866145676401,-0.00017816511290773003,-9.584838817282e-05
Denmark,DNK,-0.009722152714380086,0.0012647730811209618,-0.1296766801038104,-0.0098074746676177,-0.010837962677710008,-0.008294118786213747,-0.01484019648574445,-0.004640133062222955
Dominican Republic,DOM,-0.005533404745876588,0.0029630191886310733,0.17034518161807558,-0.005649471667779162,-0.007985091859325022,-0.002882589791039596,-0.017582937591796615,0.005058581348265274
Algeria,DZA,-0.041007071087944484,0.003638155701799889,0.21490134454324486,-0.0411360426610341,-0.044971668585694305,-0.03739825367294271,-0.049200593646365684,-0.03217255888624348
Ecuador,ECU,-0.0008417131562140487,0.011592054976247507,-0.12355798838372621,-0.0007548921859808731,-0.011250427997624008,0.010048388175465935,-0.045035001237555036,0.03584905054500529
Egypt,EGY,-0.06573515050440418,0.005474564151897712,-0.13045609566300315,-0.06548948400452015,-0.07114352281097096,-0.060436891330622536,-0.07814127180631195,-0.05375133776229279
Eritrea,ERI,-0.0005815879869073181,0.0005543878505847357,-1.6269540548515162,-0.000376731093135778,-0.001297021366419722,-0.00020035622977774997,-0.002004583542193279,-0.000118615157269396
Spain,ESP,-0.06182957387590271,0.009808021781674595,-0.679513422787198,-0.061280201949148,-0.06981552730515246,-0.05314255394075674,-0.10561798918279007,-0.03244812181831042
Estonia,EST,-0.0027188397017227483,0.0027631671272278667,0.5504308416324063,-0.0027476182606714166,-0.005087050529223284,-0.0005161584054010261,-0.012901659656493716,0.011365851378734887
Ethiopia,ETH,-0.005922939876040438,0.033155996035392675,0.2530862459878391,-0.00600729114933727,-0.0432904945843135,0.023917488043444006,-0.08583503089900393,0.09188410522140357
Finland,FIN,-0.008953331319749831,0.012081201707717423,-0.925214637242479,-0.007958424963572273,-0.019822813658333677,0.0023112293183123675,-0.08649238915969513,0.026385667219819657
Fiji,FJI,-9.449946004120556e-06,0.0014041584455662386,-2.4589594796737884,-0.0001737,-0.00040882014471149415,0.0009212418892006194,-0.009567771022381783,0.005109984690280304
France,FRA,-0.06781845498788401,0.022289210139296356,-0.01736646399275889,-0.06708581353045731,-0.08721646854967946,-0.04898686889108947,-0.14978144912266705,0.03271613832548609
Gabon,GAB,0.014929044713859708,0.011886594673988754,0.4911902330594024,0.013953834957228467,0.005310929575968854,0.02406693415702845,-0.024309948889937233,0.06139327761204855
United Kingdom,GBR,-0.1078008715024009,0.013439251862019132,-0.2758156224357993,-0.10731136968419247,-0.12172146341394774,-0.09262464671443806,-0.1444132483227896,-0.08051051247053671
Georgia,GEO,-0.00019742111770500417,0.0020375078140388064,-0.48256618160657977,-0.00011194965647118565,-0.0018786497509150429,0.0016779983853691595,-0.00846316298018876,0.006351553041853143
Ghana,GHA,-0.002793775380132844,0.008410731591312226,-0.49353232995453483,-0.0025719076397426994,-0.00987712174513134,0.004402552517177373,-0.04484628369782306,0.02659096440943055
Guinea,GIN,0.00048024351717146683,0.0072933979916310855,0.0534664299044957,0.0009550048132648255,-0.005566961781762233,0.006793598224731508,-0.024299839131636632,0.03118378820947647
Gambia,GMB,-0.0004475535671928955,0.00025727025138799417,-0.6760491149440011,-0.00045308,-0.00072763,-0.00019017,-0.001145827856216522,-9.454000000000001e-05
Guinea-Bissau,GNB,3.861782831756215e-05,0.001623002745547487,0.46160036225882967,-7.164819320908893e-05,-0.0010797150696879364,0.0011728132060563386,-0.006103616104428769,0.007687818700780869
Equatorial Guinea,GNQ,-0.0006629014480226511,0.0014460597145855413,-1.2207076843624542,-0.0006551403079919166,-0.0018864569032011663,0.0006840951626384942,-0.010459047344420373,0.0035950318748083398
Greece,GRC,-0.015557814162124532,0.004698082720708647,0.14309956968435422,-0.015677700875921824,-0.01985223209801085,-0.011162366501265047,-0.03030739795645222,0.0025755032174264343
Guatemala,GTM,-0.0035188307560215073,0.008232205452058236,0.28954810993680274,-0.0036897851414009943,-0.010914964071036369,0.003593312157766714,-0.033232000889035364,0.02738376430039148
Guyana,GUY,0.012325376236965136,0.01614818652139241,-0.18364422985649378,0.013017164044496654,-0.002594653010097109,0.025608573085880947,-0.0541742792543378,0.06397792474143266
Honduras,HND,0.000610048569730952,0.00755318767175181,-0.3240114253550595,0.0005642686558871449,-0.0059910758676464185,0.007381189742886298,-0.03283261497944318,0.02411786337112463
