Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
China,CHN,2.6952815332545343,0.05526757920841352,0.18934039735543085,2.6946242423525892,2.6428203969008446,2.7482333118207527,2.5591578715769736,2.8694621280043133
Colombia,COL,-0.007127976474061789,0.0041671230975600555,-0.029171853235396,-0.0071483344220068246,-0.011153810843093049,-0.0030622196543824936,-0.01996265820732325,0.005223148592296733
Comoros,COM,8.28190592265962e-05,1.0010054893861611e-05,0.2772998816651408,8.272068514745706e-05,7.309595276e-05,9.17500520950165e-05,5.1692750000000004e-05,0.00012264791419660943
Cook Islands,COK,1.689439959131107e-05,9.371412197676815e-07,-0.011683192632744454,1.6904542246427128e-05,1.6026581645354465e-05,1.7811928641244895e-05,1.39634222824898e-05,1.999479962180285e-05
Costa Rica,CRI,-0.0004245924551310363,0.0002464962998476556,0.0642357839629124,-0.0004295830286030818,-0.0006490951801314535,-0.00017599285871059772,-0.001107422600436521,0.0003709923825407149
Croatia,HRV,0.0031581904753764174,0.0003350714061908125,0.19981118025002048,0.003155003133271832,0.002836035210067133,0.0034674515198049754,0.0021525281602953264,0.004219101189305622
Cuba,CUB,0.005102570033311485,0.00036575095480541927,0.07649203638482004,0.005094539279152481,0.004763175222277863,0.005450597569968785,0.003872068905520815,0.006321791078991137
Cyprus,CYP,0.001841778273728733,3.098875856566213e-05,-0.09556245252622757,0.001841899634296893,0.0018121237300803422,0.0018712917339475537,0.0017390113168953571,0.0019306395744474766
Czechia,CZE,0.024786809143184086,0.0008637927486979275,0.06722791310581595,0.024774787861171783,0.023931700848637452,0.02562103687481444,0.022053113975039895,0.02746971493476556
Democratic Republic of the Congo,COD,-0.03191896175911349,0.007904309614896703,0.0662090471313795,-0.03198182200401695,-0.039389534842861854,-0.024249578632484833,-0.058808837917541094,-0.005967158950150868
Denmark,DNK,0.009756228042781962,0.00036743627475572133,0.05124415887419807,0.009742126204956684,0.009395897005071392,0.010115219862678246,0.00865363771332165,0.010820703633934914
