Country,iso,Fab_tf_mean,Fab_tf_std,Fab_tf_skew,Fab_tf_median,Fab_tf_q17,Fab_tf_q83,Fab_tf_min,Fab_tf_max
Bosnia and Herzegovina,BIH,0.001151773172956332,0.0036027124889867475,-0.8716568612261106,0.0015964413551335036,-0.0020271691913998783,0.004093413967889548,-0.012825669715356827,0.011137214323000908
Belarus,BLR,0.0038447536261521755,0.011313847681322693,-1.0256528407885352,0.004612493466018438,-0.004261455674901008,0.012708547645382881,-0.053564237405786516,0.027176918890585898
Belize,BLZ,-0.0009522591186735284,0.0014126247005385919,0.5183089034771123,-0.0010263371661833162,-0.002190360480162534,0.0002483685423773528,-0.005525981896277666,0.005912725250399113
Bolivia,BOL,0.009622359936852337,0.0618446436325954,-0.14698931818574162,0.013867880133807658,-0.04719398636336165,0.06415774537916183,-0.201755184168396,0.18106721668079376
Brazil,BRA,-0.06632476448736506,0.3197732722518081,-0.2927415469075374,-0.048564394098434466,-0.3726616585747011,0.24192488501449583,-1.1108847343649293,0.7815756418685913
Brunei,BRN,0.00013420166126167486,0.0006153861415072033,1.6685885552130735,-7.653e-05,-0.00028103,0.0005100571393577755,-0.0009882582800412178,0.002440200514935255
Bhutan,BTN,0.0010965065218599727,0.0022861946550628083,-0.1459905357701644,0.0009576404902423174,-0.0009665283577065824,0.0031686355032599987,-0.010908493943457604,0.00828890748663187
Botswana,BWA,-0.001713254036,0.002560582971787521,-1.012747608993134,-0.0006209599999999999,-0.00601996,0.00020077999999999999,-0.00609276,0.00039828000000000004
Central African Republic,CAF,0.026492486017680728,0.025824669537667377,-0.9914171225639072,0.027894833394875525,0.004761684349594504,0.04636810073635101,-0.1337381510174942,0.0992844901286316
Canada,CAN,0.14429012161745178,0.09849755931189352,-0.016201920122819426,0.14914806352609633,0.04771102385902826,0.2371689306040245,-0.10953650349012375,0.4398924171787262
Switzerland,CHE,0.0009017980475417787,0.002095815609143666,-1.0790954359775202,0.0007627702602331339,-8.336300032946688e-05,0.002086995898018438,-0.012145077999794484,0.010780260446658134
Chile,CHL,0.00615939147723094,0.012356016799998195,-0.38011192932152726,0.006745009316706061,-0.004113847905061842,0.017298646153459357,-0.03920938387972832,0.044460447640295025
China,CHN,0.15363344235139065,0.07991747078404682,-0.29365750270426777,0.16126650134910583,0.07648923515463352,0.22686693189804077,-0.1288607125133705,0.4001746077899933
Ivory Coast,CIV,-0.01339234957433401,0.024878683556601652,-0.8999414767099748,-0.010291308384969234,-0.03441923175243174,0.008153913491134644,-0.15312504456783294,0.054247557851867675
Cameroon,CMR,0.015314322017508541,0.01594708221696709,-0.1912710869608209,0.016724043780088425,0.000603550662181377,0.028883607281301977,-0.04103508211375237,0.07720766419366837
Democratic Republic of the Congo,COD,0.034447960995308266,0.08392933117506039,-0.24486794416813915,0.03471819363836287,-0.03777397217262268,0.11202410111596449,-0.3287455988023758,0.28536131140289306
Congo,COG,0.019553973127731734,0.015738923798561694,0.3585676807629004,0.01914215312452793,0.006141041808074045,0.03323122639960289,-0.020247289817211626,0.08633447476776122
Cook Islands,COK,3.986553000000001e-06,4.51306598053313e-06,0.6166745447334765,4.59e-06,0.0,1.047e-05,0.0,1.3180000000000001e-05
Colombia,COL,0.03316944607870266,0.054784555497235744,-0.07740126218033157,0.03280539606125832,-0.014852396492120027,0.08476981350086613,-0.14748117163955687,0.21948583745456696
Comoros,COM,-2.228707e-06,2.9102242144977187e-06,-1.3630687097811722,0.0,-4.54e-06,0.0,-1.072e-05,0.0
Cape Verde,CPV,-1.329849e-06,3.020534921221742e-06,-2.5878989937032713,0.0,-1.46e-06,0.0,-1.2760000000000001e-05,3.7e-07
Costa Rica,CRI,0.002572167383482931,0.0031007754541488275,0.28044930110576644,0.0022637597956705093,-9.012437713628836e-06,0.005281310774646998,-0.010187569409954548,0.012916973681356907
Cuba,CUB,0.0016783145071500105,0.0030023849671693675,-1.3632503480309985,0.0016234743278339505,-0.000258971732987836,0.004002552039275765,-0.019462383880901338,0.012823808429429531
Cyprus,CYP,0.00010768908419733933,0.00016644593367329472,-0.451458483486497,0.00011826000000000001,-6.08e-06,0.00022239000000000002,-0.0007911078620897233,0.0008317063966624439
Czechia,CZE,0.003115915697114358,0.006109928782712441,-0.3264599422851397,0.0031035690353627505,-0.0021090440670830006,0.008603294886155723,-0.030894088397698402,0.028798224306373597
Germany,DEU,0.006992580907547005,0.02233189511394915,-0.5233980383320845,0.006948083790291548,-0.008151910508215428,0.02477169085011482,-0.10962292524232864,0.11980259670740127
Djibouti,DJI,-1.00968e-05,8.131976922302872e-06,-0.34635272668046874,-7.24e-06,-2.1850000000000003e-05,-5.4400000000000004e-06,-2.623e-05,7.9e-06
Denmark,DNK,-0.000499672381004857,0.0005335806314718095,0.6553287909894772,-0.00040497,-0.0010961,-0.00016305236952943947,-0.003469018147034049,0.003119564993700385
Dominican Republic,DOM,0.0010566613775461879,0.0029455166362703632,0.14822123025918005,0.0009552856045018137,-0.0012902864499894527,0.0037308608900835875,-0.010553395911159516,0.011011612772197723
Algeria,DZA,-0.00010907157786025814,0.0006877902351864937,0.3303510490241091,-0.00021679000000000002,-0.0007315696264148877,0.0006490418286273044,-0.0028860234731572865,0.002047579275148213
Ecuador,ECU,0.009355909660548146,0.01159832927900282,-0.12871219155857708,0.009459855988767148,-0.0011399653440222553,0.020303545660972595,-0.03257318739735603,0.04653766361152649
Egypt,EGY,-0.0006838236475390374,0.0008360407656005118,-0.7202874278432466,-0.00035647,-0.0014393510503207575,-0.00014359,-0.003780577086708844,0.0029411819049090147
Eritrea,ERI,-0.000416952906,0.0005539838296775363,-1.627941898003932,-0.00021539,-0.00114487,-3.032e-05,-0.0018137399999999999,3.268e-05
Spain,ESP,0.00650522609410707,0.00830733079869751,-1.3234028376830733,0.007218561613627672,0.0006782743650382001,0.013725859267791964,-0.03172600194304466,0.025921413710126878
Estonia,EST,0.0014144800871449725,0.0025782619806597753,0.6010894070559446,0.0015633217337319256,-0.0007945309404147788,0.003240434024710059,-0.0076112932349514965,0.014090181043009757
Ethiopia,ETH,-0.0019831876753050952,0.03300070035863876,0.28795531126164936,-0.002095481632537843,-0.038951655887728795,0.025852108946123123,-0.08097418962764741,0.09624579723484039
Finland,FIN,0.002972408512412276,0.012044301932133742,-0.9232082268185647,0.0037174660648870463,-0.0076792767354526064,0.014262371011483192,-0.07224712226013183,0.03667496852986336
Fiji,FJI,0.0003164182841765873,0.0014042026947869472,-2.479039386783603,0.00014807,-6.269e-05,0.0012458836922854722,-0.009284771022381783,0.005427471642780304
France,FRA,0.01973008277991561,0.02154636978814446,-0.007376894145345632,0.01993016118926525,0.0008677731333336233,0.03832273278737068,-0.05226096372341156,0.1059260974040413
Gabon,GAB,0.01582408104762372,0.011900479497495946,0.49274983099234715,0.014806266802911758,0.006197779482133388,0.024983393529797747,-0.02338652992410183,0.06212713409412384
United Kingdom,GBR,-0.0026717858758921673,0.0020531325195180267,-0.28274494918709897,-0.003041994197035572,-0.004250711029266491,-0.0004753295901286604,-0.015189488104319571,0.005143084435471296
Georgia,GEO,0.0025612800503879802,0.0020118040523770435,-0.5025393658366627,0.002651883489043508,0.0009247322791452648,0.004393153112709701,-0.00549193189589262,0.008537497756015063
Ghana,GHA,0.0013974843810172408,0.00842348691384485,-0.4904459830497153,0.001572911004813686,-0.005573270153923109,0.008580377619341457,-0.039895903166484836,0.030506880751008988
Guinea,GIN,0.0013825183732716292,0.007294930834035868,0.03695631155769241,0.001787599131652713,-0.004670607791090309,0.007773505719805669,-0.024647457092690468,0.03187256820947647
Gambia,GMB,-0.00027925759500000005,0.0002546483881545001,-0.6826749773628357,-0.00029408,-0.00055346,-1.317e-05,-0.0009385099999999999,2.146e-05
Guinea-Bissau,GNB,0.00011823622672550966,0.0016235573429301698,0.4639775605348824,8.389501533526925e-06,-0.0009963459787130805,0.0012539247117996216,-0.006022616104428768,0.007763818700780869
Equatorial Guinea,GNQ,0.0009184216788794528,0.0014240853547087106,-1.2964081344534393,0.0009097233934551478,-0.00028897825203567733,0.002246196086601472,-0.008933550501719713,0.004904625007383824
Greece,GRC,0.0032644934783962794,0.004044911596838507,0.12718878099968114,0.002975788410502076,6.423556463524698e-05,0.006938270181924105,-0.010217874061803817,0.020494750144093035
Guatemala,GTM,0.0011366804106908248,0.00822040952898641,0.30366862699963243,0.0009710902909204364,-0.006175332875342043,0.008222274247772622,-0.02800473359265089,0.03208455758657455
Guyana,GUY,0.013016748602161269,0.016148471001967552,-0.18366194419956788,0.013703995542373656,-0.0019289368316105764,0.026302387177243234,-0.05325938048614502,0.0646610486797905
Honduras,HND,0.0033783103529136512,0.0075364076967099685,-0.36614681687310513,0.003431597966601848,-0.0031522691450661423,0.010127963144102716,-0.030179146696891784,0.026771331653676032
Croatia,HRV,0.0016816276397983838,0.004392643239762332,-1.4634426623539087,0.002108770354909599,-0.0010382652462356977,0.0047212586953661985,-0.02198610266798973,0.01353046634258747
Haiti,HTI,5.0389936316383274e-05,0.0018461460048390466,-1.206928024454094,-0.00010549000000000001,-0.001078893990150392,0.0014328089534428716,-0.012255990462391377,0.00637535895824194
Hungary,HUN,0.0021836954731571,0.0027452923068573202,-0.5115542539668665,0.00229764343975693,0.00016434374033815415,0.004350659657418132,-0.012677420927970409,0.012370230775353909
Indonesia,IDN,-0.10828841670907319,0.11650986113271164,-0.4072696331647026,-0.09797044730995179,-0.2209867176168251,-0.0044920520202978076,-0.5860655931265069,0.22818675375679015
India,IND,0.04036486398863787,0.04350028785747241,0.7206405306838136,0.031440693406248096,0.003643179332856472,0.0895407496979037,-0.08459698693591117,0.1936137895396614
Ireland,IRL,0.0007164734338037258,0.0020303912830209802,0.7998266584389812,0.00022950490657064595,-0.001073193172350196,0.00384354,-0.0024866797788256406,0.005418406737805307
Iran,IRN,0.0002186023582706858,0.0045693855154227,-0.3650790397845616,-0.0001655,-0.0033146880706696586,0.006149199717228003,-0.017764604297248125,0.01115358907687068
Iraq,IRQ,-0.001049734838,0.0012495621488221188,-2.083529530091231,-0.0007367399999999999,-0.00196167,0.00014787,-0.00645943,0.00018475
Iceland,ISL,-7.926152e-05,4.793344863223778e-05,0.29996331980024205,-7.392999999999999e-05,-0.00013919,-3.252e-05,-0.00014899000000000002,1.731e-05
Israel,ISR,-0.000267273225,0.00032363923799256204,-0.9408036009136056,-0.00017743999999999998,-0.0006833900000000001,1.374e-05,-0.00107402,5.0600000000000003e-05
Italy,ITA,0.006779009650931569,0.009375710514333235,-0.2088565200244923,0.006757411788201332,-0.0003590194464994669,0.015117588776254654,-0.02957476862432003,0.04690877761530876
Jamaica,JAM,0.0004042082908568889,0.0012901293071934654,-0.7628283074296037,0.00036458000000000004,-0.00011230674917466007,0.0010342154019472227,-0.009570781117100715,0.007623957920612097
Jordan,JOR,-5.3684254e-05,0.00012636192135038237,-0.714527763609872,-2.373e-05,-0.0001581,5.8450000000000005e-05,-0.00040092000000000003,0.00020407000000000002
Japan,JPN,0.016503380529558728,0.009462023297647951,0.06357276720404534,0.01591480464069605,0.007882077711484432,0.02595192770301819,-0.016611720212287902,0.04677821337189674
Kazakhstan,KAZ,-0.004789198009876145,0.009851670374846381,-0.9410212641912297,-0.0019865741795631496,-0.0183138271859321,0.003514040556174864,-0.03037583063469112,0.009086889557520152
Kenya,KEN,0.004036212249854773,0.00666423167135368,1.0429490347250197,0.0035519662457382676,-0.0012555412755427652,0.00860785676058793,-0.021417938815188407,0.036011159327611925
Kyrgyzstan,KGZ,-0.000316214034,0.0006104186269971333,-1.2295858975368188,4.304e-05,-0.0012271,6.754000000000001e-05,-0.0016733,0.00013537
Cambodia,KHM,-0.0031549773136701925,0.011985351990176425,0.5632879109404362,-0.003718580342382192,-0.013707376661702395,0.006919010200028277,-0.043944167931880954,0.04978947674369812
Kiribati,KIR,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
South Korea,KOR,0.005923925797246738,0.0042691943485275875,-1.4549522118791076,0.006534970751272439,0.002997019321882416,0.009449758555644752,-0.015941067697367667,0.015130223290421962
Kuwait,KWT,-1.558291e-06,2.1992810309335873e-06,-1.8825556317076564,-9.1e-07,-2.93e-06,2.6e-07,-9.849999999999999e-06,5.699999999999999e-07
Laos,LAO,0.008801252664100428,0.021138005709944254,-0.0713730576491774,0.010273450095767973,-0.00845583000991583,0.02373206498663826,-0.08011001318954468,0.08962529779317856
Lebanon,LBN,-5.676769700000001e-05,0.00025394140181290184,-2.283899127581817,-6.39e-06,-0.00011222,2.268e-05,-0.0012053100000000002,0.00045190000000000003
Liberia,LBR,0.0009669333192887624,0.005419794886505365,-0.32880533800944767,0.001174092582480908,-0.003714963134564162,0.0059839205194711685,-0.01748620977282524,0.016044825067043304
Libya,LBY,0.00017579527100000002,0.00010043138769443537,-0.035824093386507494,0.00020641000000000002,6.395000000000001e-05,0.00028505,3.755e-05,0.00031671
Sri Lanka,LKA,0.002617930599140163,0.006499531592694206,1.0054945803155602,0.0019345505332285166,-0.0025120278202667833,0.007213448931428599,-0.021292679915885925,0.033251955992536546
Lesotho,LSO,-0.000156708895,0.0006696131749814365,0.023684513587769535,-6.966000000000001e-05,-0.00090309,0.00030083,-0.00166264,0.0016618100000000001
Lithuania,LTU,0.0013162759577081953,0.003863174273891222,-0.11958325491803108,0.0010356075836336614,-0.001319148020638838,0.004536051152124978,-0.014732301474742889,0.015277272139229775
Luxembourg,LUX,-8.172877230080635e-06,0.0001707181689321772,-1.9037730670326583,-2.3893004450901646e-05,-5.57091080628708e-05,9.497144444119874e-05,-0.0010446277735066413,0.0005830321753223241
Latvia,LVA,0.001775331967023077,0.0036362086140016695,-0.055373328243344816,0.0018698470198282601,-0.0012177087628640977,0.004656705239304663,-0.010103784501495362,0.013070729523024559
Morocco,MAR,-0.000671356558,0.0026707295506383376,-1.1694806878354633,7.326000000000001e-05,-0.00366322,0.00134054,-0.00869233,0.004627200000000001
Moldova,MDA,0.00051586961,0.0003614377711833556,0.29844012155399496,0.000508,6.758e-05,0.00098719,4.148e-05,0.0012619100000000002
Madagascar,MDG,0.003307248474507348,0.010332874054886072,-0.28789291166253556,0.0031859099652338024,-0.004909221072503328,0.01216146943617797,-0.04311928837635994,0.04423712631141662
Mexico,MEX,0.031882565106351804,0.03572996976890727,0.7543383057219875,0.026760782894568444,0.00211161121499368,0.06299650200816155,-0.06060094357496262,0.17234346307353973
North Macedonia,MKD,0.0007489348065567354,0.0016946578580137432,1.7699534052858046,0.0006250579381375015,-0.0002746463930032402,0.0017589713097680092,-0.007833176786737442,0.014268222770342827
Mali,MLI,-0.0039259588631170555,0.004799116113290205,0.18796580693064138,-0.0032103112011063217,-0.008800534915058951,0.0021547100000000002,-0.010145030586693287,0.005276696134107113
Myanmar,MMR,0.003380731730247142,0.02955053646289755,0.06871448088106007,0.004051630350379944,-0.024011997891230576,0.02966311933641176,-0.0879424980448246,0.10672711125713348
Montenegro,MNE,0.0009133219931335941,0.0014663049989711177,-0.39343340420620637,0.0009151837826904283,-9.216812141276895e-05,0.0020077129443934203,-0.0055773121424365045,0.006182446838120222
Mongolia,MNG,0.000975187575499622,0.0025349816080219244,-0.07879110696894356,0.0009679072354559601,-0.0013608726366508006,0.0033569726824686464,-0.007334570333786011,0.00854664649712205
Mozambique,MOZ,0.010808260916823954,0.03712189721937238,-0.2878434650802179,0.011942660388965607,-0.02062572869794874,0.042234685556596464,-0.1173957839394188,0.1503755534836197
Mauritania,MRT,-0.000233017761,0.0002678127109185631,-2.3439264871168306,-0.00016797,-0.00042496,-4.2970000000000004e-05,-0.0013185500000000001,6.740000000000001e-06
Mauritius,MUS,-1.750491925386038e-05,0.00010085826409159708,-1.1822175077146795,-2.14e-06,-5.18370162480542e-05,7.61e-06,-0.0008133691485515982,0.00044303480598926543
Malawi,MWI,-0.0021497873123795725,0.0024849133490059635,-0.20623089377984954,-0.0019785601847073435,-0.004438146297013715,0.0001383370109096019,-0.013037750918482542,0.00896444752177477
Malaysia,MYS,-0.008954229999681058,0.022738985804953427,-0.5276378570569276,-0.006241365526442531,-0.029302590899405484,0.011375390965265133,-0.11069559081245423,0.056229689436321256
Namibia,NAM,-0.0013413173299999998,0.0009193123989636819,0.42308740027709246,-0.00194294,-0.00221715,4.9100000000000004e-06,-0.00252015,6.266e-05
Niger,NER,-0.005531208866,0.006664291416608225,0.4225247075242057,-0.007952790000000001,-0.01165546,0.00393441,-0.01659058,0.00653965
Nigeria,NGA,0.009859081150784708,0.01636820966620709,0.8960850462366018,0.004843487040288448,-0.003899435062936974,0.02989365653263152,-0.021396916812279225,0.07653802086606026
Nicaragua,NIC,0.002867844499845134,0.007418330613619699,0.03415388733046531,0.0028180057127326725,-0.0037654080980840266,0.009559286233263017,-0.025081343542559146,0.023725817791666985
Netherlands,NLD,-0.001443644798238733,0.0007533854488896512,0.9870846492583535,-0.00160984,-0.0020313174353956466,-0.0009328800000000001,-0.004901951656198502,0.0012033235104121267
Norway,NOR,0.0038222849489302816,0.005559565298688067,-0.18852053552733183,0.0037465290468606353,-0.00074990824855492,0.008696193680033493,-0.02201506153878689,0.020679345648298264
Nepal,NPL,0.0033289975227407233,0.006340095834996854,-1.654852424912499,0.0037253690163922305,-0.0009657629380714896,0.008444512428046464,-0.033788684808940886,0.019748079243073462
New Zealand,NZL,0.005797863719761901,0.006616376990983295,0.07987131607012318,0.005842720460525024,-0.0010152339003020525,0.012179469546345387,-0.013569899796981812,0.026364167779045104
Oman,OMN,-5.2033811e-05,4.957077431181469e-05,-0.04859744821120503,-5.473e-05,-0.00010475,1.0800000000000002e-05,-0.00014171,1.2810000000000001e-05
Pakistan,PAK,-0.0014609752511891678,0.0023174697338139583,-0.14187504596366587,-0.0015458113063533604,-0.0031276788802532787,0.00042178869364663956,-0.011920741564867497,0.00723886491869092
Panama,PAN,0.0025469581499129056,0.0041391509543811785,-0.3149081191976648,0.0020603981170928477,-0.0008328352940371068,0.006261847018138349,-0.017826987029595374,0.015106589295415878
Peru,PER,0.04400624359674959,0.04511012056002023,-0.25834677798972494,0.042331022454032904,0.009321856087436674,0.08149763995865861,-0.16886688454833984,0.18136091502895355
Philippines,PHL,0.0025272416326565447,0.012673214804379709,0.013576593764296785,0.0020228482915389534,-0.007343019790431357,0.013120964423847723,-0.050466552083592416,0.04990896875216484
Papua New Guinea,PNG,0.024865607249557872,0.018921002747293043,0.2595659609325241,0.022988348171310423,0.00776152201347351,0.04737396576393127,-0.052178075874729155,0.07601567342039109
Poland,POL,0.010310442720627856,0.012799320667811667,-0.2446271302311594,0.010993373288370073,-0.001041299705483061,0.02201911581211567,-0.031231178397045135,0.06176944336344719
North Korea,PRK,0.004324415303123569,0.003718208251103888,0.16410275716195438,0.004303236766138673,0.0011659334621290686,0.0070503847358405584,-0.007244203048062324,0.019606415198016168
Portugal,PRT,0.0009629598448332191,0.002780620152873456,-0.29656057854499845,0.0010467601789637283,-0.0011799949147558212,0.003085560519973907,-0.014214397037642003,0.014427338933429719
Paraguay,PRY,-0.0050242938408631465,0.029800720238770832,-0.2303130415080623,-0.00473243229746342,-0.030498412545723916,0.022745401003360605,-0.09899884278285981,0.08651454656661987
Palestine,PSE,-2.1393701e-05,3.659682793158534e-05,-1.8924833169936237,-4.63e-06,-4.757e-05,2.6e-06,-0.00014251,1.8030000000000002e-05
Qatar,QAT,-4.105814e-06,3.1717017808461535e-06,-0.38565003221467153,-3.75e-06,-7.080000000000001e-06,-2.5e-07,-1.12e-05,4.7e-07
Romania,ROU,0.005563518913598789,0.009900713901082311,-0.7821202933625117,0.006603784312218428,-0.0024733546137762075,0.013952829590651989,-0.035998213421268466,0.030785755911474227
Russia,RUS,0.22809308646937979,0.18243925382501894,-0.007564201681145737,0.227639031796875,0.04513421057751694,0.40785735473022533,-0.2679630424639702,0.7519143039916992
Rwanda,RWA,0.0002101892606413406,0.0008963142963775929,0.44507782626533665,0.0001258428353508003,-0.0005073523217853929,0.0009260765768023789,-0.003694623699210286,0.004211932648094893
Saudi Arabia,SAU,-5.0671286000000006e-05,0.0005537047563591519,0.016925640107835437,-0.00011524,-0.00043606,0.0005873300000000001,-0.0016314200000000002,0.0011092
Sudan,SDN,-0.011010437631236861,0.003921070261524733,-0.7502682109599697,-0.011033117084374721,-0.015147612101967205,-0.007036945246233131,-0.03841846350161553,0.002559705963147879
Senegal,SEN,-0.000850072727,0.0011032865401312377,-1.1842415568837483,-0.00078647,-0.00154655,0.00041232000000000004,-0.004571830000000001,0.00099718
Solomon Islands,SLB,-0.0005520131520667059,0.0007646527695462979,-0.6396538863596285,-0.0003907107904374227,-0.0013969,8.807962601862845e-05,-0.005060225371493102,0.0010781021160364151
Sierra Leone,SLE,0.0014857297990922944,0.0031973516720020393,-0.25729335161108,0.0014442897444987297,-0.0012103357365531556,0.004357185808460617,-0.012601864771595,0.011235740853466987
El Salvador,SLV,0.0015145352441061305,0.0026305194683195207,-0.9848841776696183,0.0012518475587188081,-7.706493771635646e-05,0.0031632787769931554,-0.01918042713585377,0.015361662956907749
Somaliland,SOM,-0.003219923431,0.0019580067404594316,0.7981736117338317,-0.0038274100000000003,-0.00494174,5.844e-05,-0.006008060000000001,9.667000000000001e-05
Serbia,SRB,0.0038477721112821113,0.005331222910586044,-0.8146441643938862,0.003795263475035429,0.0003767441101874359,0.007891976645876474,-0.03004968607362747,0.02803180394478321
South Sudan,SSD,0.006442554845835896,0.010382273846682827,-0.22896272033629142,0.005400106795694828,-0.00036837314411826384,0.014735900042266846,-0.04978450698293686,0.05210761494968414
Sao Tome and Principe,STP,-1.0715989e-05,1.9932050536403365e-05,-3.1845663444907117,-5.28e-06,-1.5810000000000003e-05,-6.5e-07,-0.00010329000000000001,8.12e-06
