Country,iso,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max
Belize,BLZ,0.0011242188766071195,0.0018124306901103934,1.2012644556857104,0.0008190549560822546,-0.00015012345102149993,0.0024683279916644096,-0.0028028558008372784,0.009811912663280964
Bolivia,BOL,0.028966796319646528,0.06826189559860409,-0.03400453002935908,0.032648492604494095,-0.03916356340050697,0.0889895111322403,-0.19116230309009552,0.20937468111515045
Brazil,BRA,0.2820411754325964,0.35667750382700575,-0.23361095690678232,0.295474648475647,-0.07538195699453354,0.682237446308136,-0.6486369967460632,1.0670363903045654
Brunei,BRN,0.0007591372288465891,0.0010911512773912563,1.9066352946221556,0.0002839885128196329,0.0,0.0015399440890178084,-0.0005779044586233795,0.005452615208923817
Bhutan,BTN,0.0016616465065650119,0.001953419891849893,-0.023637069645119198,0.0016535044414922595,0.0,0.0032270036172121763,-0.0075873639434576035,0.00754051748663187
Botswana,BWA,0.006147764939247918,0.022273916062997723,1.091258054205622,0.0018219659104943275,-0.00960045401006937,0.023863771930336952,-0.05930258333683014,0.11173183470964432
Central African Republic,CAF,0.029444255607447123,0.025758396830437527,-0.9882534707925124,0.031387846916913986,0.007657052017748356,0.0496232844889164,-0.12432681024074554,0.10463324189186096
Canada,CAN,0.21318059948449955,0.130666585075437,-0.007211992369437086,0.22171242535114288,0.08352728933095932,0.32442817091941833,-0.13124990463256836,0.6627655625343323
Switzerland,CHE,0.0009779844959510228,0.0023054264973521223,-1.2044616027205326,0.0008544003940187395,-0.00016931349819060415,0.0024773855693638325,-0.012124177999794483,0.009863270446658134
Chile,CHL,0.010707782735462388,0.016610969719318965,-0.07226098404440023,0.010533451102674007,-0.0034806665498763323,0.02550598233938217,-0.031312908977270126,0.053791675716638565
China,CHN,0.24476549546197057,0.1317819026902707,0.150813925371624,0.24754291772842407,0.13432166770100606,0.3607288897037506,-0.1258019655942917,0.7135987877845764
Ivory Coast,CIV,0.011052724915437283,0.03133396797190241,-1.4238666032149028,0.016201915219426155,-0.011398389004170895,0.03490753844380379,-0.14720657467842102,0.09979064017534256
Cameroon,CMR,0.024002146069263108,0.016318833603124486,-0.09912808741104061,0.024559907615184784,0.009119830094277859,0.037919554859399796,-0.0273785050958395,0.08049164712429047
Democratic Republic of the Congo,COD,0.1873185684349388,0.07828125791855337,-0.1584314148539562,0.18559999763965607,0.12005441635847092,0.25777655839920044,-0.0666426420211792,0.3857452869415283
Republic of the Congo,COG,0.02380369744096679,0.015669492043372833,0.410992627972669,0.023184677585959435,0.010587593540549278,0.03688046336174011,-0.012064729817211628,0.08788764476776123
Cook Islands,COK,4.7073580765015774e-07,2.2174647867966213e-06,5.501031259285456,0.0,0.0,0.0,-5.501082682712877e-07,1.80441711563617e-05
Colombia,COL,0.05824282778818742,0.06555498357612996,-0.04019081900718063,0.06103164330124855,-0.00023972641793079674,0.12305902689695358,-0.13009871542453766,0.26944318413734436
Comoros,COM,7.869485665266183e-07,6.757468343948712e-05,0.07205447794631925,0.0,0.0,0.0,-0.00031979751656763256,0.00037285496364347637
Cabo Verde,CPV,1.2039803302848813e-05,4.2252994601177765e-05,4.106396519640663,0.0,0.0,6.197891480042017e-07,-2.200006929342635e-05,0.0002907678426709026
Costa Rica,CRI,0.004512727534762235,0.003778018341303625,0.46132513210736853,0.004203657153993845,0.001438090461306274,0.007149054668843746,-0.0072419471107423306,0.015261340886354446
Cuba,CUB,0.004076814797653787,0.013063757386631866,-2.064151503529504,0.0042428080923855305,-0.0018904574681073427,0.010678612627089024,-0.08838199824094772,0.05834364518523216
Cayman Islands,CYM,6.661715556532499e-07,3.195427214606615e-06,5.165766125406577,0.0,0.0,0.0,-9.745026545715518e-07,2.0785419110325165e-05
Northern Cyprus,CYN,4.3083355667641356e-05,0.00027991375421203453,0.733432161144039,1.126250845118193e-05,-0.00014580326387658715,0.00019568046263884753,-0.001384907285682857,0.0014369559939950705
Cyprus,CYP,6.144164443563796e-05,0.0003301799635958831,0.059896733197036825,0.0,-8.832463208818808e-05,0.00024464918533340096,-0.0013285971945151687,0.0013511227443814278
Czechia,CZE,0.001003977688850682,0.006924826232750845,-0.7802146006203715,0.0013220296241343021,-0.0032340502366423607,0.005565706640481949,-0.034221548587083817,0.029219690710306168
Germany,DEU,0.0012278829956267146,0.026579376256183757,-1.036890130907296,0.004918512422591448,-0.014459975063800812,0.02026590332388878,-0.12846580147743225,0.1228015124797821
Djibouti,DJI,1.8441638086125067e-05,0.0003418179897097987,-0.25726757182439847,0.0,-0.0001618809619685635,0.00016802737081889063,-0.0019787270575761795,0.0014182922895997763
Denmark,DNK,0.00099439121806397,0.005124123367218624,-0.9841554606946705,0.0010654544457793236,-0.0011238190345466137,0.0034435507841408253,-0.024779893457889557,0.020991088822484016
Dominican Republic,DOM,0.0022319130863585088,0.0066125100894486736,1.4560708266926568,0.0017351560527458787,-0.0017925631254911423,0.005670277867466211,-0.03193080052733421,0.049029238522052765
Algeria,DZA,-0.0022801875003555325,0.021675211335393216,0.29321251027619166,-0.0018851604545488954,-0.015934422612190247,0.012107432819902897,-0.10421090573072433,0.12430806457996368
Ecuador,ECU,0.01660951432035945,0.01197087997807774,-0.06056046464678474,0.01702849194407463,0.006026404444128275,0.028745103627443314,-0.017732223495841026,0.05097976326942444
Egypt,EGY,0.00047752223579336717,0.00726933236819289,6.706259489282556,0.00012102509936084971,-0.0003566874365787953,0.0012787693412974477,-0.03806494548916817,0.08804430812597275
Eritrea,ERI,0.0017330322027975242,0.002521729405049351,0.9748432850576734,0.0009765229769982398,-4.391414768178947e-05,0.0038764511700719595,-0.004418454132974148,0.011452349834144115
Western Sahara,ESH,2.746321235610818e-05,0.0002666631572876766,6.404573113106794,0.0,-2.765224053291604e-06,3.3358383006998338e-06,-0.0011005642591044307,0.002818875713273883
Spain,ESP,0.007604741356180602,0.024621923485967402,-0.7218189749465759,0.008067685179412365,-0.010862475261092186,0.030575290322303772,-0.09259842336177826,0.06457660347223282
Estonia,EST,0.0017373214405128237,0.0029987696367093047,0.43145012716893366,0.0017656837590038776,-0.0007591470493935049,0.003990414552390575,-0.009508644230663776,0.016737904399633408
Ethiopia,ETH,0.05081600559066864,0.0328176034705764,0.19861996676223084,0.04923952743411064,0.022944863885641098,0.07952447235584259,-0.0736779123544693,0.16841928660869598
Finland,FIN,0.009486460689955857,0.012431076528365712,-1.0770676118967806,0.010311893187463284,-0.0010400249157100916,0.02063455991446972,-0.06178966909646988,0.04532255232334137
Fiji,FJI,0.0005029881766388836,0.0022020272388461313,-0.7403327504338361,0.0003081488248426467,0.0,0.001727640745230019,-0.010007904842495918,0.010183984413743019
Falkland Islands,FLK,0.0002381576142014481,0.0004802685092473333,1.8581059548551229,0.00014697143342345953,0.0,0.0004417949530761689,-0.0019217570079490542,0.003397266613319516
France,FRA,0.007775656742008505,0.038117519555680816,-0.12846120094046384,0.011317404918372631,-0.02143234573304653,0.03415367703884841,-0.10037700086832047,0.1687881499528885
Faroe Islands,FRO,4.247474583675626e-06,2.0310724488998616e-05,1.8645963698091206,0.0,0.0,1.9649464775284287e-06,-8.254957356257364e-05,0.00010773655958473682
Gabon,GAB,0.01890682154140377,0.01234052263976423,0.48085892613852355,0.0180632546544075,0.008518409915268421,0.028734730556607246,-0.017744094133377075,0.06471424549818039
United Kingdom,GBR,0.004491029193405121,0.010369709658339572,-0.7789480054031522,0.004766826517879963,-0.0037671637255698442,0.011672163382172585,-0.05206622928380966,0.03991544246673584
Georgia,GEO,0.0017711397750053948,0.0034781196376935243,-0.11927698452151667,0.002087988890707493,-0.0009532643016427755,0.004831959959119558,-0.008298954926431179,0.01464355643838644
Ghana,GHA,0.0072575216276745775,0.01614216965033172,-1.482802539104947,0.007929650135338306,-0.0036738829221576452,0.020523676648736,-0.07766396552324295,0.04820749908685684
Guinea,GIN,0.007705113728094148,0.009486133756082735,0.20894967398011,0.008108872920274734,-0.00010332096280762926,0.01571889966726303,-0.022074444219470024,0.04348672926425934
Gambia,GMB,0.00018197078614431915,0.0005725442336287303,0.5118670674287586,6.944702909095213e-05,-2.024908462772146e-05,0.00048363374662585557,-0.0025159153155982494,0.0028737494722008705
Guinea-Bissau,GNB,0.0008413574639362196,0.002252175232457482,-0.36728067989063673,0.0006650644354522228,-0.0005579335265792906,0.0022820699959993362,-0.013280913233757019,0.010287797078490257
Equatorial Guinea,GNQ,0.0018090947715234962,0.0013998213451222954,-1.3364562960920245,0.0018976025748997927,0.0006390069611370564,0.003037313697859645,-0.007245440501719713,0.004834311548620462
Greece,GRC,0.0044324198042286584,0.0086279369451293,0.09973790362433019,0.003836666699498892,-0.0021157076116651297,0.012525544501841068,-0.019923634827136993,0.03438228368759155
Greenland,GRL,0.0005583009957330447,0.0025411252879431637,0.647655628315661,0.0001557120558572933,-0.0006013596430420876,0.0019282250432297587,-0.007851545698940754,0.011727995239198208
Guatemala,GTM,0.00840283758868609,0.008090991698897885,0.7511587038684965,0.008108978159725666,0.0015448709018528461,0.014018028974533081,-0.012988179922103882,0.04387341067194939
Guyana,GUY,0.014633544756552874,0.01662137834435062,-0.027581406550166773,0.014887669123709202,-0.0005711797275580466,0.02807783894240856,-0.04624548554420471,0.06542432308197021
Hong Kong S.A.R.,HKG,0.00013799029383895913,0.0006195259766530588,4.891689661248843,0.0,0.0,9.043680620379746e-05,-0.002159195952117443,0.005854621529579163
Honduras,HND,0.006477982302074452,0.008119314099659426,-0.06986569126806119,0.006173376459628344,-0.00023180591233540326,0.014761531725525856,-0.023499056696891785,0.03590962663292885
Croatia,HRV,0.0017955890692101092,0.0071990215311201556,-1.3858129380200939,0.002696371404454112,-0.002420661738142371,0.006570504978299141,-0.03335150331258774,0.021988825872540474
Haiti,HTI,0.0010536866466119136,0.0053517729369858165,1.3326900918608398,0.0007878307369537652,-0.001091996906325221,0.00362968142144382,-0.02572661079466343,0.03990434855222702
