Country,iso,Fab_mean,Fab_std,Fab_skew,Fab_median,Fab_q17,Fab_q83,Fab_min,Fab_max
Gambia,GMB,-9.496756146578967e-05,0.0006365025025399253,0.15941507703743732,-9.038331845844164e-05,-0.00055346,0.00033101276519135087,-0.0032271253155982493,0.0028952094722008706
Guinea-Bissau,GNB,0.00038219461295893186,0.0021953421309923926,-0.0806617256010931,0.00019138797864440827,-0.0010842152260072744,0.0017740770487248898,-0.014103293233757018,0.010200287078490257
Equatorial Guinea,GNQ,0.0010284608906798477,0.001471226097400404,-1.2532617678244764,0.0010549059797155856,-0.00025280485310590783,0.002386661156496942,-0.008933550501719713,0.005104741548620463
Greece,GRC,0.005889540031349395,0.008887392864304186,0.09747937239547103,0.005493339444785118,-0.0010796589120966196,0.013718552035553456,-0.020112654827136995,0.04092556368759155
Guatemala,GTM,0.001835194508624179,0.008897792449860668,0.5364974555745512,0.0015934212277114394,-0.0060540166745411145,0.009096479312126303,-0.028751889922103882,0.042993060671949385
Guyana,GUY,0.013529894823789714,0.01673676466201035,-0.05430805747108094,0.013940271548962593,-0.0021199366077229993,0.027337111247296333,-0.049353875544204714,0.06619778308197022
Honduras,HND,0.003904938300654122,0.008258538563961951,-0.05941143056097995,0.0037012970918154716,-0.003310495368503197,0.011353271869567489,-0.030179146696891784,0.03566583663292885
Croatia,HRV,0.002240952401342087,0.007227914497796021,-1.2721753070970898,0.003035047313314676,-0.002043630957733593,0.00707254208456583,-0.03369048331258774,0.023213975872540475
Haiti,HTI,0.0007060219776494672,0.005333379884765656,0.7224882718568242,0.0006516824034848809,-0.0016911991762296095,0.0034686756226611137,-0.02743539079466343,0.04118015855222702
Hungary,HUN,0.002720489175584038,0.009151053879525766,-0.6598184200216456,0.0033822300447324573,-0.0040556472042024136,0.009093917761076391,-0.03851640417316437,0.03359343964236736
Indonesia,IDN,-0.0793063936887084,0.13802521269110815,-0.06722765280484189,-0.07053032778999328,-0.20983724779723356,0.03867826229473112,-0.6043991995484543,0.38266467313903807
India,IND,0.1511180240974753,0.11018299663232194,0.6302531484078651,0.1397950135938883,0.0528954989368248,0.2474204921356453,-0.1946273139281845,0.6188925649336243
Ireland,IRL,0.002215715839130369,0.004532975704484125,0.9929895386774853,0.001470453791975081,-0.0007987801773906499,0.005215368683252036,-0.021864756319131852,0.024560284528794288
Iran,IRN,0.002942101267627709,0.024628865419273907,-1.104276611894702,0.004103896459944248,-0.013279515403125285,0.019834023490741707,-0.13882764626365662,0.08614938667001724
Iraq,IRQ,0.00031337905950843304,0.005486395914653168,-0.3261963475867032,0.00013590380999840802,-0.00300884690157353,0.004096190819426096,-0.02842395021598816,0.021787836963295937
Iceland,ISL,0.0010611252375301713,0.0037332717569777602,0.7788010417134487,0.0005903911334364117,-0.0010448303484165236,0.0028230716108697653,-0.017310305307021143,0.016215407499804498
Israel,ISR,-5.667240443343968e-05,0.0009022546223684426,0.22337900831051355,-5.844609519882131e-05,-0.0008088063844916526,0.000669609316669041,-0.0030480534246307613,0.0033525776456058026
Italy,ITA,0.008199254262439837,0.01954131397930604,-0.2782873789336555,0.009003469608529806,-0.006748917885346411,0.02310496364451301,-0.07326541139627457,0.08576485555458069
Jamaica,JAM,0.00045058765886547256,0.0017133708804850246,2.122806001964049,0.00036458000000000004,-0.00012811145033474113,0.001186141972245109,-0.009570781117100715,0.014206691629977227
Jordan,JOR,4.946023792230356e-05,0.0010311669093368968,1.348635225002386,4.059042322310648e-05,-0.0003841402264073491,0.0005247554285572469,-0.004495865732504129,0.006967260496712923
Japan,JPN,0.02329964459082781,0.014276857836135637,0.29371792530801677,0.022729629831492904,0.011165855673201084,0.034922391410439735,-0.02389966208536148,0.07131245746221543
Kazakhstan,KAZ,0.01660943250601231,0.06577215010182426,0.6779328550115278,0.010961758541300297,-0.028041189887336393,0.058083923900192735,-0.2288238546180725,0.31876261799407957
Kenya,KEN,0.034326637953149504,0.0313535626732684,0.4197944308022563,0.03048606098548889,0.0068189942221672534,0.06359621577489853,-0.04981582489771843,0.13664664691387177
