iso,CSCC,SLAND,SLAND_dor,ELUC,EFOS,Country,SLAND_mike,SLAND_mike_2012,GCB_corrected
TZA,4.390307897704657,0.053858553622234503,0.021453045482617,-0.03114527775,-0.0034190335309983153,United Republic of Tanzania,0.0388543,0.040297255,0.04092028445745813
PER,1.381576782047327,0.053429735153814634,0.0698521949108171,-0.01048531325,-0.014467204835971791,Peru,0.049883172,0.066119485,0.040594479686846756
ETH,4.742725295105133,0.04741212911609562,0.0175428782306089,-0.015641059500000002,-0.004371680281746063,Ethiopia,0.042703338,0.04663461,0.036022464022565655
THA,8.432600906860602,0.04702925349315294,0.0223889083302372,-0.00846128075,-0.07524149475647451,Thailand,0.026796037,0.021581437,0.035731565393676876
ARG,2.2098598504410236,0.041411120514077256,0.0458031876295495,-0.018991978,-0.05057257136012405,Argentina,0.029954847,0.05494379,0.031463058644756396
VNM,4.968074684337993,0.03989471414242866,0.0129899366503,-0.02722712475,-0.07774993747995329,Vietnam,0.018528331,0.018855548,0.03031093375636456
KEN,2.2378810660232324,0.035018344418479105,0.0063491976187957,-0.0015842692500000002,-0.005290609390938979,Kenya,0.02588816,0.02737522,0.026605998833244476
MDG,1.0075270739085886,0.03228781224764637,0.0120955538310492,-0.00542966525,-0.0010818399680212305,Madagascar,0.014660727,0.013223647,0.024531413727702598
ZMB,1.747778224785372,0.031542078434239645,0.0222218163621072,-0.01406366725,-0.0018929784401834663,Zambia,0.028573636,0.02711769,0.023964825178218227
VEN,3.801627322861305,0.029923409092974015,0.0478630731019155,-0.00636700775,-0.025604653898253532,Venezuela,0.027058255,0.0290767,0.022735003628390874
CAF,0.2265027922804672,0.029836032819907217,0.0118748996643311,-0.0016967867499999999,-6.054408558197701e-05,Central African Republic,0.027966758,0.028880961,0.022668617479705853
MOZ,1.9265284219759051,0.02956505573101955,0.0133244956526136,-0.0076506305,-0.0020360041086162598,Mozambique,0.019015316,0.013030265,0.022462736355669137
NZL,0.024108371943700135,0.027396313219066475,0.006479706569778,0.00041406449999999975,-0.00937188358746233,New Zealand,0.009711825,0.009799159,0.02081498396471995
COG,0.6521728105629987,0.027390445951221136,0.0194174845343677,-0.003956629,-0.0010774103000201517,Republic of the Congo,0.023335533,0.021846905,0.020810526171981893
CMR,1.7516925898114524,0.02724465766845893,0.019724434972093,-0.00703361175,-0.00217296760475145,Cameroon,0.02326626,0.022738483,0.020699760145047017
GAB,0.24323438985797183,0.026625220921551375,0.0171919854567852,-0.00201487175,-0.0008805841065017097,Gabon,0.018685313,0.017377995,0.02022912871917086
NGA,32.95043615451242,0.026240356280179,0.0122988801444816,-3.574000000000055e-05,-0.029124799811456,Nigeria,0.019976912,0.018433208,0.019936718887428304
TUR,1.4370717913147453,0.025137580559824232,0.0178506170096785,0.0038030522500000006,-0.11314317508186225,Turkey,0.015471982,0.014561619,0.019098859473560454
BOL,0.7705386974186208,0.02282604161740288,0.0476824845115406,-0.016136481499999997,-0.005849936315884159,Bolivia,0.023098897,0.03697516,0.017342614184802378
SLB,0.04302100986457532,0.018591572639695235,0.0022563342015045,-0.0007373605,-8.145514350294092e-05,Solomon Islands,0.00066310575,0.00065829814,0.014125378231727225
PAN,0.6677156433661035,0.01855516677732114,0.0040605292594134,-0.0014997785000000002,-0.003062850223742342,Panama,0.005939925,0.005516997,0.014097718033967067
ECU,0.9096705069564343,0.017896095352868086,0.0125073784713226,-0.005834735749999999,-0.010330199720108808,Ecuador,0.015286214,0.016352404,0.013596973243166239
GUY,0.03752561339086382,0.017396264380110955,0.0163871548780723,-0.0011536365000000002,-0.0007318087703523019,Guyana,0.012269833,0.013713983,0.013217215076444395
NIC,0.41257964758151616,0.015408130228538904,0.0046225784262781,-0.005161151250000001,-0.0014533802194047949,Nicaragua,0.0077473978,0.0082657905,0.01170668407346682
CHL,-0.32240935636829965,0.015296647791187758,0.0134357374475859,-0.0010861305000000002,-0.022753809720215533,Chile,0.008719842,0.009002883,0.011621982707729876
ZAF,3.1391271816824737,0.015270747167251995,0.0169856960912025,0.0002590699999999998,-0.11909801104959619,South Africa,0.010514199,-0.004153017,0.011602304108365493
LAO,0.4539766290853327,0.015112829325800829,0.0146979352383398,-0.0059519952500000015,-0.004839428026506988,Laos,0.012749092,0.01269393,0.011482322368075651
SSD,,0.015058496703094048,0.0065260180173634,-0.00178216025,-0.0004622653968812919,South Sudan,0.013048595,0.015931753,0.011441041898643152
KHM,0.9991549182197385,0.01445767883795256,0.0093123421005374,-0.01118162025,-0.004090658808738276,Cambodia,0.011022363,0.010109183,0.01098455659974046
SWE,-1.3808146777152914,0.014207255786136127,0.0082229697481899,-0.0026393575,-0.011053543242798796,Sweden,0.012229418,0.013567266,0.01079429188177368
