Country,iso,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Cyprus,CYP,-0.001950179885525766,6.977534750616019e-05,0.6924432013462732,-0.0019643896102565298,-0.00201282045825213,-0.0018974056352515502,-0.00204832733326303,-0.0017969036746382301
Czechia,CZE,-0.027866770103138365,0.0014807612373383089,0.7296541260164314,-0.0284514301981731,-0.029127316580567202,-0.025957358422594598,-0.0294066156747678,-0.0250201324880579
Germany,DEU,-0.20399573270316784,0.01677917357138923,0.334836871139765,-0.21413588991384,-0.218571095412219,-0.183261879844823,-0.227004048325592,-0.17695328915306002
Djibouti,DJI,-0.00011704282695118022,1.3586993257526903e-05,-1.4159878991037858,-0.000115306839062748,-0.000123976115763265,-0.000104381639703667,-0.00015193511290773003,-0.00010374838817282
Dominica,DMA,-4.4630313962990966e-05,1.93433861147077e-06,-0.49208764034291763,-4.381836525e-05,-4.7000000000000004e-05,-4.2999999999999995e-05,-4.8e-05,-4.2000000000000004e-05
Denmark,DNK,-0.009556036119562523,0.0011210186245483626,-0.2705800162254211,-0.009798977747750464,-0.010558044176886676,-0.008143545537729635,-0.0117267554456973,-0.008075776023528632
Dominican Republic,DOM,-0.00662077490401962,0.0005196156447424957,-0.46462188687380596,-0.00655483674112189,-0.0070295416806371,-0.00594994846287973,-0.0077441847597635,-0.0058043014239324495
Algeria,DZA,-0.0408951821549709,0.003572066531872502,0.2237157132391039,-0.0405448326610341,-0.044919125659250804,-0.0368303257179005,-0.0464306801732084,-0.034227128161391694
Ecuador,ECU,-0.010236416018091787,0.0007298263572781693,1.0087585289024816,-0.010185843724328,-0.010723278626963999,-0.00984630036094971,-0.0114208029128565,-0.00845062854105959
Egypt,EGY,-0.0650796416294536,0.005415568403984836,-0.11733038826243036,-0.0654062191509653,-0.070616874622588,-0.0598178762753803,-0.0743606947196031,-0.0564829796672018
Eritrea,ERI,-0.0001652396647294216,1.309024117816679e-05,-0.47918912295631716,-0.00015543383979185199,-0.00017688031579925502,-0.00015203622977775,-0.00019084354219327902,-0.00015129515726939599
Spain,ESP,-0.06836360057905748,0.0051724959162781905,0.6496270954036197,-0.0693726000968021,-0.07389198723974541,-0.06251893479669711,-0.0746669868504205,-0.0578173055284373
Estonia,EST,-0.0041368643815127455,0.0010056620219516337,0.352013613393774,-0.00430666572931472,-0.005126624638429411,-0.0028359021507996397,-0.00535857642154222,-0.00251043966427487
Ethiopia,ETH,-0.004148543082236602,0.0007593338085140441,0.5041979116109541,-0.00425238797490938,-0.00488676631656167,-0.00327962505730287,-0.005185420413319651,-0.00266949480994503
Finland,FIN,-0.011879293264192146,0.0012878989890487227,0.07837840099912537,-0.012061135371179001,-0.0129972707423581,-0.0102893013100437,-0.0141154475982533,-0.00992549126637555
Fiji,FJI,-0.0003252447093725071,3.234861334185161e-05,0.021533887695294116,-0.000322,-0.0003699609375,-0.000283,-0.000370961038961039,-0.00027400000000000005
France,FRA,-0.0891125281558411,0.005863135359221738,0.2802257803597617,-0.09082674085381293,-0.09378746850411256,-0.08175719374959914,-0.09924684592483113,-0.07820234412838975
Micronesia (Federated States of),FSM,-3.8952083208271954e-05,1.1298111037102948e-06,0.5019926478589292,-3.9e-05,-4e-05,-3.7e-05,-4.06781068229331e-05,-3.7e-05
Gabon,GAB,-0.0008829944118774495,8.352516668215686e-05,0.06375535812167848,-0.00086568917033177,-0.000980456518496002,-0.000801116181745666,-0.00101372430554348,-0.000733856482075296
United Kingdom,GBR,-0.10549633189362903,0.013253734235096687,-0.2889867437775005,-0.10608647302601101,-0.120136757931342,-0.089362632967835,-0.13068242021847,-0.08599252803002891
Georgia,GEO,-0.0027615553735594227,0.0002708486494395492,0.6348279414550155,-0.0027763444876842402,-0.0030229511153314704,-0.0024384285484869103,-0.0031675411522611202,-0.00218594471416192
Ghana,GHA,-0.004209825176062142,0.0007589407502851984,-0.4031655909993748,-0.00390916298879499,-0.00532335982474424,-0.00339695634157844,-0.0053932158474712805,-0.00322889728086885
Guinea,GIN,-0.0008953675272089722,0.00023378717900877092,-0.03280848618703717,-0.000884,-0.00118032615347638,-0.0005909999999999999,-0.001228,-0.000576
Gambia,GMB,-0.00017055216479995502,2.732032351292537e-05,0.5012575037197591,-0.000162,-0.00019909017000000002,-0.00013800000000000002,-0.000207317856216522,-0.00011600000000000001
Guinea-Bissau,GNB,-8.039964261317915e-05,6.4973393770639176e-06,0.8936278421341373,-8.300000000000001e-05,-8.65578359076596e-05,-7.099999999999999e-05,-8.8e-05,-6.7e-05
Equatorial Guinea,GNQ,-0.0015837564127687772,0.00026674745922969655,0.09752333311459578,-0.00162329661975762,-0.00189034694956883,-0.00128622186070086,-0.0019891567765073703,-0.00112014582275364
Greece,GRC,-0.0188282130290262,0.0024079434452940716,0.27789727887658705,-0.0194758738133323,-0.0214617078427878,-0.0156984723907205,-0.0223016538946484,-0.015163256926666601
Grenada,GRD,-7.949673499530398e-05,8.048473151190206e-06,0.39026627254613255,-7.9e-05,-8.9863864446146e-05,-7.099999999999999e-05,-8.999999999999999e-05,-6.4e-05
Guatemala,GTM,-0.004640914462076118,0.000590647889394873,0.6876433830202219,-0.0046910184441864,-0.005277542533406011,-0.00376234217382792,-0.00529081910730923,-0.00348898534043
Guyana,GUY,-0.0006900553687863146,0.00013840235202097653,-0.5452093282868298,-0.000648111114136573,-0.000914898768192775,-0.000538215238723697,-0.000932588313310457,-0.0005200000000000001
Honduras,HND,-0.0027513215934742196,0.00015581008067533605,-0.5617493215052072,-0.00279243610337839,-0.0029421673017357903,-0.00258767412663755,-0.00306189802209093,-0.00255592194323144
Croatia,HRV,-0.004861267256692848,0.00013304406397128863,-0.09138735428928305,-0.004858898725436681,-0.00502349281113537,-0.00475182031932314,-0.00510892464792576,-0.00460742446779476
Haiti,HTI,-0.000769678295250457,8.212385764163196e-05,-0.5624799110743389,-0.0007381617561928951,-0.000856767427677772,-0.000685742634289342,-0.0009307208477969679,-0.0006696814925014421
Hungary,HUN,-0.01280304576590998,0.0005862544427257702,0.37837790121771164,-0.0128568304994542,-0.0134760417003275,-0.0119101758242358,-0.013488955,-0.0118685913537118
Indonesia,IDN,-0.1578771237171763,0.020209282937326507,-0.59495502833142,-0.150808299742658,-0.17661735935928,-0.131867285490124,-0.200915556994602,-0.131586309746428
India,IND,-0.6623669332708081,0.06638041325525582,0.1490593849495066,-0.661513819613569,-0.7291083876805889,-0.5853760250620491,-0.7719010857701399,-0.54362329102799
Ireland,IRL,-0.010316797825193066,0.00038955091075373204,0.006804203471308385,-0.010246799143057901,-0.0106647508515713,-0.0100194832225367,-0.0110171613914259,-0.0095863729302425
Iran,IRN,-0.18139524184228933,0.014178649203936758,-0.35782994536260954,-0.181007857359925,-0.201425252984685,-0.167829588511129,-0.2067624288805,-0.160785867578286
