Country,iso,Fabc_mf_mean,Fabc_mf_std,Fabc_mf_skew,Fabc_mf_median,Fabc_mf_q17,Fabc_mf_q83,Fabc_mf_min,Fabc_mf_max
Ecuador,ECU,-0.0037991680693950165,0.009707528995794324,-0.20304904727396447,-0.003559184542895567,-0.012664344560228745,0.0054213128496711695,-0.04131196408062593,0.028233403812456037
Egypt,EGY,-0.06575509506725538,0.005474869105128615,-0.11594953952639714,-0.06552790156455011,-0.0711325316283899,-0.060434394118982,-0.07814127180631195,-0.05364238776229279
Eritrea,ERI,-0.0005796863619294217,0.0005516047994742422,-1.6353944721258915,-0.000376731093135778,-0.001297021366419722,-0.000203605157269396,-0.002004583542193279,-0.000118615157269396
Spain,ESP,-0.061821841263669686,0.009800454126900678,-0.6947391778678353,-0.06134436242216707,-0.06972666001557987,-0.0529972732328577,-0.10622003879346517,-0.03189589181831042
Estonia,EST,-0.002735223803703741,0.002731281278069002,0.44989276842231024,-0.00275256164784811,-0.005038774096062435,-0.0005539497140005528,-0.012969869656493715,0.011579741378734888
Ethiopia,ETH,-0.006331716659175656,0.032968240381910506,0.2850660938928464,-0.006418726388772143,-0.043593051185925415,0.022328342497344163,-0.08726572696167667,0.0985591682921984
Finland,FIN,-0.009016561686266448,0.012038422440505377,-0.8859061376802828,-0.00821684143774647,-0.01967936661603216,0.0022987543133827365,-0.08812584985838513,0.02681516726348781
Fiji,FJI,-1.279070402882484e-05,0.0014127248765470818,-2.4680959338908455,-0.00017393,-0.00040451000000000007,0.0009138465065708756,-0.009655732061342822,0.005153471642780304
France,FRA,-0.07456371237587135,0.020835159443721097,-0.09362173842156019,-0.07394798041668264,-0.09216927798110992,-0.05667273527530631,-0.15306102162179538,0.021737010600347134
Gabon,GAB,0.010410772427878424,0.00908184110635222,0.2575566459237031,0.009778462554312962,0.0023151167071211996,0.018163319470431045,-0.024624601289286195,0.04258298676880018
United Kingdom,GBR,-0.10818123429479062,0.01341470954608781,-0.2792383225113453,-0.10777356581205881,-0.12207206366828474,-0.0930509212778207,-0.1460828383227896,-0.08078628359455761
Georgia,GEO,-0.00038018313519808214,0.001848713165604595,-0.47747530282411677,-0.0002944331386746737,-0.0019162296977780215,0.0012956714638743577,-0.007690971610698325,0.006351553041853143
Ghana,GHA,-0.0028748540332140253,0.008454382947152077,-0.5829648025120717,-0.00263377288548328,-0.00980725387956612,0.0043572887437906115,-0.04528911901395612,0.027277983470140137
Guinea,GIN,0.0004933847991701041,0.007324649293648953,0.04640106839652473,0.0009275375530505123,-0.005599281294500755,0.006928204027400017,-0.025827783246166847,0.03128156820947647
Gambia,GMB,-0.00044720188779995496,0.0002550772710993402,-0.6833151739462765,-0.00044840000000000006,-0.0007216900000000001,-0.00019077999999999999,-0.001145827856216522,-9.454000000000001e-05
Guinea-Bissau,GNB,3.4695824724704774e-05,0.0016197698950302954,0.3895293898269299,-6.429832631632689e-05,-0.001064977622289934,0.0011831258130693436,-0.0061091739403364275,0.0076968187007808685
Equatorial Guinea,GNQ,-0.0009262811922557091,0.0012804721367030449,0.0873730920988525,-0.001082966954025658,-0.0021054631556876244,0.00037431270260511397,-0.007140104319845907,0.003784479184630184
Greece,GRC,-0.015505363156470131,0.004716521342247801,0.11925073109398887,-0.015603002914708789,-0.019782154875247135,-0.011094056314733838,-0.032519527956452216,0.004796277753372536
Guatemala,GTM,-0.004051413217926649,0.007572091242022445,0.26700822924621465,-0.004196359003919261,-0.010895979995920669,0.002655957329293839,-0.030390756658411868,0.029212132246144554
Guyana,GUY,0.0023110612723924212,0.004788866615968404,0.35947820545529735,0.002209144772541523,-0.001877312960913757,0.0063270512221547835,-0.011061723739726853,0.02302972283466816
Honduras,HND,0.0003374886591359822,0.007517828264579633,-0.31570535218622725,0.00018534376363490567,-0.005977191764035304,0.006911693816725639,-0.03324104471898272,0.024504417731799268
Croatia,HRV,-0.003156624383995604,0.004358766331730755,-1.4907969443325313,-0.00273338088538583,-0.005854706590995951,-0.00011283143535267023,-0.02709502731591549,0.00892304187479271
Haiti,HTI,-0.0007336821567484591,0.0018230125510924717,-1.172427723568333,-0.0008536852737680476,-0.001905502618691002,0.0006381735149709108,-0.013691551310188343,0.0057056774657404975
Hungary,HUN,-0.010613987306580454,0.0027501621470507973,-0.5339160159983022,-0.010504389708565473,-0.0127614887663755,-0.008366449225827466,-0.02615346262829791,0.0005016394216421083
Indonesia,IDN,-0.2917320489920229,0.11142683595566362,-0.47449024638903814,-0.28021631324822077,-0.39809925756470305,-0.18992066984683253,-0.7674087207621496,0.0464886419512649
India,IND,-0.6235129040047553,0.07924869611344265,0.20930148055646286,-0.6261510431024014,-0.7024529734402918,-0.5425846434320174,-0.8589921918137744,-0.35653720846903386
Ireland,IRL,-0.00962100855666217,0.0020581900500960164,0.7733460504687892,-0.010276856129572035,-0.011470019647936114,-0.006504218553187849,-0.013503841170251541,-0.004167966192437193
