Country,iso,Fab_mean,Fab_std,Fab_skew,Fab_median,Fab_q17,Fab_q83,Fab_min,Fab_max
Burundi,BDI,-0.0008540750374487203,0.00015447892012122736,0.10054750483916251,-0.0008544218937892616,-0.00100806419594616,-0.0007083754425782729,-0.0013215076174370051,-0.000326235213199377
Cabo Verde,CPV,-1.0671137231381678e-05,3.0935727373289173e-06,-0.3250692945513424,-1.0492823509257753e-05,-1.359676851216514e-05,-7.647075570630003e-06,-2.13061693167286e-05,-3.726416755401995e-06
Cambodia,KHM,-0.001404885375458511,0.0014129958614858009,0.0661804745927134,-0.0014178765001430513,-0.00280287777248722,-2.737692659578836e-05,-0.006109499159898758,0.002340675751788141
Cameroon,CMR,-0.016430370916306572,0.0012124800417994367,-0.001541978991038892,-0.016455897419600008,-0.01759062064047958,-0.015219927680805054,-0.020198568808712007,-0.01264075134254265
Canada,CAN,-0.1845893346032672,0.00933580452631212,0.06990308884616135,-0.18500690922416307,-0.19338725316970687,-0.17531083930944572,-0.21248481978787231,-0.15648581566620637
Central African Republic,CAF,-0.027823226542765304,0.001854300072598753,0.05322298224669793,-0.027805986047126294,-0.02965692482491064,-0.026174343510277157,-0.03381695295664978,-0.021759044464583398
Chad,TCD,-0.00014351210341018145,0.0012253349134051517,0.1672872192133728,-0.00020039697964525146,-0.0012708940480603886,0.0010248514485203984,-0.004680403936762332,0.004068637841232539
Chile,CHL,-0.00920993093821214,0.0013555381968043468,-0.028525501711354907,-0.009226004960589649,-0.010470354211274237,-0.007853367523745236,-0.013872978195007324,-0.00497813923988223
China,CHN,-0.2901391096595154,0.011075259150576954,0.08608545340051915,-0.2902467712328949,-0.30096753342315413,-0.27920442202877865,-0.31701673644026185,-0.25746791226768495
Colombia,COL,-0.039003541161046325,0.004946074889545642,-0.05797071757168886,-0.03913923614602566,-0.04383042544187971,-0.034186599895553074,-0.05448207917589569,-0.024833397797519682
Comoros,COM,1.6000694819978112e-06,4.850599582163378e-06,-0.14270715914208054,1.6694173337418469e-06,-2.8785800606960637e-06,6.2254276516189e-06,-1.2612442270099186e-05,1.4778816415611188e-05
Cook Islands,COK,-4.4907608530519515e-06,7.250323192600128e-07,-0.08105370094315711,-4.489079292648996e-06,-5.209127028273294e-06,-3.756315304552246e-06,-6.8078044150751385e-06,-1.866282034923752e-06
Costa Rica,CRI,-0.0034435507738061737,0.00029307806012049257,0.021752404940885702,-0.0034447562278078795,-0.0037066675688954185,-0.003162297645507419,-0.004360474541693688,-0.002548588908198595
Croatia,HRV,-0.0022748156356784547,0.0005373323297323386,0.10537415686776355,-0.002276306487422019,-0.0027872342091058108,-0.0017665514049633652,-0.003914607758656382,-0.0006314689974362776
Cuba,CUB,-0.004824722502380489,0.0009391912595148475,0.14156925265212414,-0.0048232656460195185,-0.0057701223121510315,-0.003933452984498687,-0.0076150999123158454,-0.001992834143130004
Cyprus,CYP,-0.00016249567568827835,3.0183388425625315e-05,0.08203058089306338,-0.00016248884269133492,-0.00019186923402837941,-0.0001341888082767356,-0.00025514565467206767,-6.446668823272176e-05
Czechia,CZE,-0.00332156674357392,0.0008113618086967909,0.05362365795397531,-0.003322155685536057,-0.004149224929569019,-0.002547434096230464,-0.005681491567283214,-0.0009445325068042577
Democratic Republic of the Congo,COD,-0.03490796691128329,0.007932783754062415,0.06632606184035643,-0.03497419716885759,-0.04245905066985588,-0.02718585611541651,-0.06210110993576051,-0.008936672577308652
Denmark,DNK,-0.0004994609397478956,0.0003625257692317224,0.12665848358604284,-0.0005028724568126797,-0.000840320242842301,-0.00016297208481732317,-0.001432164840716064,0.0008682544076678604
Djibouti,DJI,-1.0253151882189542e-05,2.3590675652687993e-05,-0.10692202497646293,-9.701185785054229e-06,-3.233417481006976e-05,1.2607345059067485e-05,-8.748212945069745e-05,6.594690244217963e-05
Dominican Republic,DOM,-0.0020212081217124566,0.0004994109848883169,-0.1019960718439834,-0.0020278297811082008,-0.0024947502408053258,-0.001525791232111048,-0.003948803563155174,-0.00041308821701723343
East Timor,TLS,0.0005835706431950127,0.00021221736927609365,0.041960311488220804,0.0005782344987766525,0.0003807501700675894,0.0007899873720072181,2.640183176764858e-05,0.0013095809717980922
Ecuador,ECU,-0.010571413303676131,0.0010708267077425174,0.008029416986876517,-0.01056115075899601,-0.011570406735168523,-0.009555403597310276,-0.01408106760011673,-0.006555960760465144
Egypt,EGY,0.00013102413883912166,0.0005423852190634547,-0.2748126847238036,0.00017088552757042643,-0.0004005520089209677,0.0006400225190903068,-0.002041174389388084,0.0018317584059038758
