iso,Country,CSCC_mean,CSCC_gtc_mean,Fa_mean,Fa_tf_mean,Fa_mf_mean,Fb_mean,Fc_mean
KHM,Cambodia,0.32742825472591397,1.5498622978963792,0.012854007,0.0081895385,0.0079109715,-0.011413571,-0.003680477804275593
KIR,Kiribati,,,4.1670196e-06,0.0,0.0,0.0,-1.6907569051180403e-05
KNA,Saint Kitts and Nevis,,,,,,5.53025e-06,-6.438942468088959e-05
KOR,South Korea,-0.25668601934419844,-1.2150081064680585,0.0057251384,0.0028635531,0.0028635531,0.00311483925,-0.1725610251949476
KWT,Kuwait,0.6571626417462362,3.110640536752273,2.7228923e-06,0.0,0.0,-1.554e-06,-0.026186502371857462
LAO,Laos,0.1494790428573806,0.7075502175101566,0.015797501,0.015336297,0.015336297,-0.0066745605,-0.004310149824960448
LBN,Lebanon,0.03540439033073827,0.16758458978914623,0.0001512412,0.0,0.0,-5.567825000000001e-05,-0.006525625536548787
LBR,Liberia,0.1409106519366724,0.6669922453438275,0.006905881,0.006348223,0.006348223,-0.0054209537500000005,-0.00020576227251522112
LBY,Libya,0.30735731702484376,1.4548577001644116,0.00013732958,0.0,0.0,0.00017537175,-0.013278852395995031
LCA,Saint Lucia,,,,,,1.3706500000000002e-05,-0.0001345042879527656
LIE,Liechtenstein,,,,,,5.67075e-06,-4.236605654393644e-05
LKA,Sri Lanka,0.6109820951980592,2.8920476482088526,0.005356876,0.0045983326,0.0045983326,-0.001982284,-0.005534604791669781
LSO,Lesotho,0.0029820826633510118,0.014115512092891976,0.0006014781,0.0,0.0,-0.00016343424999999998,-0.0006675586635220314
LTU,Lithuania,-0.050763601922540404,-0.24028651037163773,0.002565484,0.0019148107,0.0019148107,-0.00062833475,-0.00363304701930404
LUX,Luxembourg,-0.015603799837888947,-0.07385966459403336,9.848004e-06,9.848004e-06,9.848004e-06,-1.5807749999999998e-05,-0.0024822464827758363
LVA,Latvia,-0.03709145400452978,-0.1755702060101678,0.0025467006,0.0025413877,0.0025413877,-0.0007701450000000001,-0.001981196428378263
MAC,Macao,,,,,,,-0.00036593410108896266
MAR,Morocco,0.5011442854285587,2.3721368653481503,-0.0028541752,0.0,0.0,-0.00065853575,-0.01715483333104747
MCO,Monaco,,,,,,-7.750000000000002e-09,
MDA,Moldova,-0.007093215719095172,-0.03357531750909551,0.0003638059,0.0,0.0,0.000518535,-0.001432563861794397
MDG,Madagascar,0.33401369250587676,1.5810340785322639,0.018404346,0.008903475,0.007961532,-0.005624471000000001,-0.0010404580943902668
MDV,Maldives,,,,,,-3.0000000000000004e-09,-0.00043759220491864623
MEX,Mexico,3.1857322277022746,15.079475273269475,0.062826015,0.034223665,0.033651732,-0.00238456975,-0.125745377270631
MHL,Marshall Islands,,,,,,0.0,-3.9678971961253055e-05
MKD,North Macedonia,-0.009945281944080215,-0.04707540447290429,0.0011164584,0.0007513722,0.0007513722,2.4532500000000003e-05,-0.001948094442034172
MLI,Mali,0.6156308167691181,2.9140520970992916,0.0054995613,6.5708795e-05,6.5708795e-05,-0.00401993475,-0.0013456659914899553
MLT,Malta,,,,,,1.014975e-05,-0.0004814353916484716
MMR,Myanmar,0.33838544214249544,1.6017274971357052,0.042913318,0.03084724,0.029331299,-0.027619940500000002,-0.007041040389737474
MNE,Montenegro,-0.004625538685858735,-0.021894714073086487,0.0006181071,0.000440597,0.000440597,0.00046433125,-0.0006175897054008828
MNG,Mongolia,-0.20420095148077383,-0.9665731387767481,0.014856403,0.0012294005,0.0009612401,-0.00025555500000000003,-0.009714005706178735
MOZ,Mozambique,0.6317312641119267,2.9902626133138224,0.023993894,0.01903358,0.01903358,-0.008165206,-0.0019169635759035647
MRT,Mauritania,0.1422180718316009,0.6731808401685637,0.0009666996,0.0,0.0,-0.00023091375,-0.0009320647269357412
MSR,Montserrat,,,,,,,-8.892826412479118e-06
MUS,Mauritius,0.04065727642750727,0.1924488157654331,9.451466e-06,9.747706e-06,9.747706e-06,-2.780925e-05,-0.001157262337372955
MWI,Malawi,0.5592928730264676,2.6473797690778977,0.0037320845,0.0010245774,0.0010245774,-0.00318024975,-0.000407889247320642
MYS,Malaysia,1.7452772541271115,8.261166764035066,0.025435429,0.021941192,0.020709338,-0.03121884875,-0.0687370494917164
NAM,Namibia,0.07283839817412652,0.3447762541560182,0.0030943828,0.0,0.0,-0.00133589,-0.0010415816426915404
NCL,New Caledonia,0.008107589598273662,0.0383767963326798,0.00033135124,0.00018862534,0.00018862534,,-0.001399253603541248
NER,Niger,1.0051931879360052,4.75802256402213,0.0033637576,0.0,0.0,-0.00554596475,-0.0006180060810618773
NGA,Nigeria,10.737584482207351,50.82572172453782,0.022984678,0.009711162,0.009589701,0.00011960875000000033,-0.028699805991410594
NIC,Nicaragua,0.13548305916451978,0.641301055642023,0.009230071,0.007966852,0.0076864827,-0.005145735,-0.00141768894301618
NIU,Niue,,,,,,2.6250000000000003e-07,-2.211952116797823e-06
NLD,Netherlands,-0.25144745902783155,-1.1902116907268776,0.00050495594,3.051348e-05,3.051348e-05,-0.001474142,-0.04166451644930285
NOR,Norway,-0.3376574285897518,-1.5982814879979192,0.008423434,0.0048140273,0.0047845505,-0.00098221475,-0.01184705240174672
NPL,Nepal,0.43748515467391175,2.0708101311722227,0.006716145,0.0053046723,0.0052737575,-0.002057869,-0.0032213059782421824
NRU,Nauru,,,,,,0.0,-1.466374369007541e-05
NZL,New Zealand,0.004841392566726234,0.022916445664610863,0.010642802,0.0052454774,0.0038255823,0.0005875254999999998,-0.009516786388987898
OMN,Oman,0.3421347446122417,1.6194745988515717,-6.644683e-05,0.0,0.0,-5.2029e-05,-0.01767741707790812
PAK,Pakistan,5.213799247038134,24.67921068250252,0.0076698065,0.0003718428,0.0003718428,-0.0018381587500000001,-0.0522894611901986
PAN,Panama,0.2196999508203013,1.0399367364038448,0.006322494,0.0040425584,0.0032412019,-0.001512796,-0.002998223026765185
PER,Peru,0.4480616884947184,2.1208735291065755,0.064911224,0.054580044,0.017862864,-0.0110271425,-0.014085005479724999
PHL,Philippines,2.3978115874943975,11.349899476535645,0.018838106,0.0112501085,0.010916449,-0.00871374125,-0.03489783011350956
PLW,Palau,,,,,,0.0,-5.891982234906822e-05
PNG,Papua New Guinea,0.15305006575486518,0.7244534434042351,0.038835164,0.03417829,0.02415891,-0.009692198,-0.001903252501496575
POL,Poland,-0.46094034282868557,-2.181833878470939,0.0051976577,0.0025389323,0.0025389323,0.00781907175,-0.08752320221870652
PRI,Puerto Rico,,,0.00051469525,0.00037421248,0.00037421248,,
PRK,North Korea,,,0.0062477626,0.004147583,0.004147583,0.00021418375,-0.011056880501767405
PRT,Portugal,0.1112798374988878,0.5267365359166484,0.0016855389,0.0008767111,0.0008767111,0.00013951300000000002,-0.01297572263649852
PRY,Paraguay,0.22321728111412636,1.056585811530888,0.011330254,0.009751536,0.009752722,-0.014679514000000001,-0.001971632146855539
PSE,Palestine,,,0.000114933355,0.0,0.0,-2.156875e-05,-0.0008625119303136795
PYF,French Polynesia,,,6.4110804e-06,0.0,0.0,,-0.0002372955853954513
QAT,Qatar,0.6307026248178188,2.9853936099915295,2.0581505e-05,0.0,0.0,-4.13075e-06,-0.02578031696183162
ROU,Romania,-0.1009435943150444,-0.47781053951497204,0.004548078,0.0032541272,0.0032541272,0.00231315825,-0.02104362072839799
RUS,Russia,-4.900756194794338,-23.197439890616547,0.39878738,0.28859958,0.22612879,-0.058190787,-0.45809813974502944
RWA,Rwanda,0.2333450384862726,1.1045249526611205,0.0015519854,0.0005711973,0.0005711973,-0.000349241,-0.0003293287155454178
SAU,Saudi Arabia,3.222952199411599,15.255653810241911,0.0008478255,0.0,0.0,-5.6248499999999995e-05,-0.1767313152676693
SDN,Sudan,2.2463090031622284,10.632770945013991,0.0166593,7.614872e-05,7.614872e-05,-0.01110290425,-0.005344391359920856
SEN,Senegal,0.4166638555763383,1.9722537421044382,0.0017341927,0.0,0.0,-0.0008379360000000001,-0.0029187672351476943
SGP,Singapore,,,,,,-2.93265e-05,-0.01357810146718921
SGR,Siachen Glacier,,,2.3802138e-05,0.0,0.0,,
SGS,South Georgia and the Islands,,,6.0485413e-06,0.0,0.0,,
SHN,Saint Helena,,,,,,,-3.7940220103992664e-06
SLB,Solomon Islands,0.01424596882258455,0.06743245170950002,0.0010383497,0.00022123805,0.00017978376,-0.00078097275,-8.305552819239096e-05
SLE,Sierra Leone,0.13947368964099652,0.6601904692190669,0.004719179,0.004145497,0.004145497,-0.00271217375,-0.0003037735937902455
SLV,El Salvador,0.09317910739209984,0.44105779942400253,0.0013124974,0.0010811724,0.0010811724,0.00041849249999999997,-0.001838088396151695
SMR,San Marino,,,,,,8.872500000000001e-07,
SOM,Somaliland,0.019971461593661678,0.09453373345501949,0.0073811817,0.0,0.0,-0.00321641525,-0.00017026831940608248
SPM,Saint Pierre and Miquelon,,,,,,,-1.71214619234135e-05
SRB,Republic of Serbia,-0.031980263239284434,-0.1513766865136875,0.0018645935,0.0014286548,0.0014286548,0.0024176975,-0.01200095612497798
SSD,South Sudan,,,0.01767272,0.008237331,0.008237331,-0.0019021840000000001,-0.00045690477531688085
STP,São Tomé and Principe,0.005108555650228013,0.024181046335239473,-3.123533e-07,0.0,0.0,-1.076225e-05,-3.917223143436095e-05
SUR,Suriname,0.021449552179884288,0.10153018791304912,0.011746295,0.011459942,0.0032432666,-0.00072020525,-0.0007895686387824717
SVK,Slovakia,-0.08715529034384416,-0.41254441733872077,0.0015250153,0.0013581328,0.0013581328,-0.0011098014999999998,-0.009358645737570507
SVN,Slovenia,-0.032582416323894844,-0.15422694256193506,0.0007813193,0.0007813193,0.0007813193,-0.0007686745,-0.003782328025927948
SWE,Sweden,-0.5017035275401616,-2.3747840048410285,0.014514475,0.012127871,0.011853347,-0.0026158237500000002,-0.011289499652569129
SWZ,eSwatini,0.01956423789604609,0.09260616414285773,0.000543707,0.00039140313,0.00039140313,2.5684e-05,-0.0002885403683316531
SXM,Sint Maarten (Dutch part),,,,,,,-0.00018998718357021382
SYC,Seychelles,,,,,,0.0,-0.0001496821199273724
SYR,Syria,0.5661947126294437,2.680049219048655,0.0011980899,2.1873622e-05,2.1873622e-05,0.000137831,-0.0075669555580207505
TCA,Turks and Caicos Islands,,,,,,,-9.289200639325266e-05
TCD,Chad,0.5087304255916345,2.408045411588763,0.0066787843,0.0010156807,0.0010156807,-0.006524353250000001,-0.0005555970196744378
TGO,Togo,0.13317883534251546,0.6303941483238725,0.0014788924,0.0004971209,0.0004971209,-0.00034307625,-0.0005899984253322902
THA,Thailand,2.7625134230309683,13.076194066918173,0.029014602,0.015183112,0.013793239,-0.00941411575,-0.07522054106267712
TJK,Tajikistan,0.01632590316376634,0.07727769802214961,0.0016825625,0.0,0.0,-0.0005313645,-0.0019075844872613404
TKM,Turkmenistan,0.10669229985395048,0.5050216975255011,0.0014455218,0.0,0.0,-0.0005326345,-0.01677953388921169
TLS,East Timor,,,-7.804948e-06,0.00012774463,0.00012774463,-0.00058019175,-0.0001405392542083943
TON,Tonga,,,,,,-1.008925e-05,-3.989880291994556e-05
TTO,Trinidad and Tobago,0.043425854986699555,0.20555371879601697,0.0003171223,0.00028702588,0.00028702588,6.37045e-05,-0.011013852859533938
TUN,Tunisia,0.2714143854268835,1.2847239571061697,-0.00033393165,0.0,0.0,-8.287875e-05,-0.008135873441115927
TUR,Turkey,0.4210992024303363,1.993248194378751,0.017203327,0.0038377757,0.0038377757,0.0040020665,-0.11083033965841069
TUV,Tuvalu,,,,,,0.0,-3.0179281751967333e-06
TWN,Taiwan,,,0.0019062567,0.0008801783,0.0008801783,,-0.07591432692363775
TZA,United Republic of Tanzania,1.4452898984027818,6.841194340238097,0.046553746,0.021976708,0.021807874,-0.032157945,-0.003273061910835766
UGA,Uganda,1.5151521885454389,7.171883362868229,0.02151629,0.011001264,0.010856298,-0.0032120965,-0.001401342692395351
UKR,Ukraine,-0.31256078271003535,-1.479487997542464,0.0071427505,0.0018360368,0.0018360368,-0.000925354,-0.0613443762320842
URY,Uruguay,0.044346869078205266,0.20991328458074407,0.009472949,0.0003512689,0.0003512689,-0.00072000625,-0.001884689403845433
USA,United States of America,5.731661831435739,27.130482628232716,0.29736245,0.18793823,0.17880553,0.0065474035,-1.427821524222544
UZB,Uzbekistan,0.19718183745332094,0.9333485772467998,0.0017979817,0.0,0.0,0.000230227,-0.029912321795899522
VAT,Vatican City,,,,,,2.25e-09,
VCT,Saint Vincent and the Grenadines,0.002102919260349738,0.00995404406948467,1.800319e-05,0.0,0.0,3.34075e-06,-6.417478497365641e-05
VEN,Venezuela,1.2427114164600015,5.882301065157065,0.025330773,0.023901857,0.0022964724,-0.0070949082499999995,-0.02878544600704714
VGB,British Virgin Islands,,,,,,,-5.2354038447690026e-05
VIR,United States Virgin Islands,,,-2.806166e-06,0.0,0.0,,
VNM,Vietnam,1.640269653017454,7.764119488476539,0.022088995,0.015746877,0.015354085,-0.027661609250000004,-0.07166255267051644
VUT,Vanuatu,0.005108184257605725,0.024179288370205332,0.00032520416,4.698449e-05,4.698449e-05,3.029975e-05,-4.522868321194012e-05
WLF,Wallis and Futuna Islands,,,,,,,-6.741832408792378e-06
WSM,Samoa,0.0018358188833417144,0.008689740216339276,4.159195e-05,7.11368e-06,0.0,-7.837975e-05,-6.420738238664323e-05
XKX,Kosovo,,,0.0004108366,0.00032691154,0.00032691154,,-0.0022350141809036853
YEM,Yemen,0.6172145074558913,2.9215484033939756,0.0013272517,0.0,0.0,4.222475e-05,-0.0035668965329731595
ZAF,South Africa,1.025853699080994,4.855817872816391,0.010879047,0.0028806347,0.0028806347,0.0003228455,-0.120826356495601
ZMB,Zambia,0.5708543345338896,2.7021052640231424,0.032306556,0.02344846,0.02344846,-0.014320943999999999,-0.0017976292077070092
ZWE,Zimbabwe,0.09397597785025388,0.44482973865519143,0.008885836,0.0006792737,0.0006792737,-0.0017452275,-0.002859797013872367
