Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Equatorial Guinea,GNQ,-0.002369671129902104,0.00047551450859921555,0.2630888283199096,-0.00238042694956883,-0.00282852677650737,-0.0019162479391135103,-0.0036772667765073703,-0.0008497158227536401
Greece,GRC,-0.01724594305052081,0.0030285812480083593,0.3949096027890416,-0.017595312040623902,-0.0200992860670412,-0.014439398526001498,-0.0243478838946484,-0.0086199769266666
Grenada,GRD,-6.999087024750383e-05,1.5770669094132543e-05,0.7909923891697939,-7.3e-05,-8.451386444614601e-05,-5.2869754648999965e-05,-9.002e-05,-2.3859999999999992e-05
Guatemala,GTM,-0.011184474970712332,0.003564981064583119,-0.21098061565154394,-0.011672462173827919,-0.013445037296384469,-0.007676275588790469,-0.02105452910730923,-0.00375277534043
Guyana,GUY,-0.0018313036801961356,0.0009050461380943428,0.19067281529720193,-0.0019109752387236971,-0.002713545238723697,-0.0007119387681927751,-0.004040978313310457,0.00025345999999999995
Honduras,HND,-0.005351064630182699,0.001572836766697563,-0.5889976362603561,-0.00500230412663755,-0.00715567412663755,-0.00395901412663755,-0.00974198802209093,-0.00279971194323144
Croatia,HRV,-0.004330450552062499,0.00048780364870341225,-0.5005870626212883,-0.004246880319323141,-0.00483980646834061,-0.0038635464683406096,-0.00580836464792576,-0.00336265446779476
Haiti,HTI,-0.0010465002108546433,0.0007315658061518972,0.012392984816322672,-0.001128555309089318,-0.0015166517561928951,-0.000379257427677772,-0.0031443408477969683,0.000606128507498558
Hungary,HUN,-0.011110604394903129,0.0014316327662384524,-0.0007747139015272247,-0.0111124858242358,-0.012716253168668102,-0.0095929304994542,-0.014178985,-0.0080135313537118
Indonesia,IDN,-0.390872614286314,0.08640889672849479,-0.9403659638399051,-0.37347441974642803,-0.46698782974265796,-0.31966246911389,-0.666932276994602,-0.250603199746428
India,IND,-0.648389522936692,0.0771418839949553,0.22032197807832668,-0.6483893896135691,-0.7230990071956631,-0.5700020596135691,-0.83147239577014,-0.44618345102799
Ireland,IRL,-0.009644605808375575,0.0020590333012030517,0.7675306605342394,-0.010302977868856198,-0.0114881013914259,-0.0064995608515713,-0.0125987513914259,-0.0053570829302425
Iran,IRN,-0.18091558572749644,0.01495893502698815,-0.32076614835816086,-0.180914867359925,-0.19940302888050002,-0.165812237578286,-0.2203377388805,-0.153297187578286
Iraq,IRQ,-0.03673485509608945,0.004338436233571933,-0.2408511233942261,-0.0359089969406693,-0.0416521040162956,-0.0318486782016756,-0.049025326695769804,-0.0299833873079384
Iceland,ISL,-0.001041614217289847,5.4072690444854935e-05,0.25187757938546984,-0.00104371913209607,-0.001096623921943232,-0.000985416462882096,-0.0011498367003275102,-0.000894416462882096
Israel,ISR,-0.01647816446332233,0.0007476344280273158,-0.07206097255794629,-0.016443890381140202,-0.0172121326510914,-0.015682631943063,-0.0182942837510914,-0.015150683234786001
Italy,ITA,-0.08916408861164639,0.006322519825843578,0.6780257663152441,-0.09034695059721999,-0.0954338113779494,-0.0827590982156859,-0.10122367146736501,-0.06944749773809611
Jamaica,JAM,-0.0020010380209239966,0.0002571602895460851,-0.09247458937540384,-0.0019933981950981897,-0.00224304110920969,-0.0017635711092096904,-0.0027612712858123504,-0.00135214628122392
Jordan,JOR,-0.00654968935125662,0.0005713552275453639,0.585844650684876,-0.006771813985741769,-0.00706146466712096,-0.00573149981284462,-0.00746833961721976,-0.0054298068024391
Japan,JPN,-0.3126708104518547,0.025259881171146845,-0.12787825635549374,-0.312518333403944,-0.33975124989690897,-0.28268000152071,-0.359830477007964,-0.27406499838949405
Kazakhstan,KAZ,-0.07983378566288134,0.010896839745304738,-0.7641057206684737,-0.0773299214949333,-0.09269017132953919,-0.0682204420623817,-0.11109340264082959,-0.06496492693797709
Kenya,KEN,-0.007077765908741678,0.003112762252819484,-0.5178643410111174,-0.00699808814272654,-0.01026238899773994,-0.00381001514572114,-0.015928642856404822,-0.0017819182509194102
Kyrgyzstan,KGZ,-0.0029932301533028764,0.0006430961459347384,-1.0488426490673093,-0.00273807397507891,-0.0038831235811857406,-0.00249684838427948,-0.00472229536026201,-0.00214314874055199
Cambodia,KHM,-0.015099816185839287,0.00525562963476618,-0.17645367586574792,-0.014651746593886461,-0.01980735909128717,-0.010855907582340788,-0.02856512040906658,0.00088463115720524
Kiribati,KIR,-1.6909308512321643e-05,1.633308643940535e-06,0.5757539657423617,-1.8e-05,-1.83783848055795e-05,-1.5e-05,-1.86973057062245e-05,-1.4e-05
Saint Kitts and Nevis,KNA,-5.890161990525137e-05,7.856670055102465e-06,0.9077655005894011,-6.27311218088958e-05,-6.500000000000001e-05,-4.723000000000001e-05,-6.900000000000001e-05,-4.072e-05
South Korea,KOR,-0.16943070609215208,0.005986641517158659,0.033250612463495685,-0.16968328875471902,-0.175089073924391,-0.16226676221237302,-0.181857074182362,-0.158252910210739
Kuwait,KWT,-0.026208148522253016,0.002873284212941306,0.8013723854267897,-0.026595899917941902,-0.0294284408175857,-0.0223490471423589,-0.0295128681795296,-0.020139471057842702
Laos,LAO,-0.01098111041474924,0.004494962050449853,-0.25904186501194,-0.01026444364096711,-0.01625246364096711,-0.00681315016842796,-0.021145403045659268,0.00010942983157204004
Lebanon,LBN,-0.006580610461027331,0.0008139217324846105,0.27554129440766534,-0.00677350233477296,-0.00726113599458998,-0.00540524384205594,-0.008799219345772002,-0.004841123842055941
