Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
Ecuador,ECU,-0.000947231629728847,0.011647059263242714,-0.10115996829887577,-0.0010117570290198961,-0.01144741244548605,0.010187382347353394,-0.04603940031021254,0.0380870350704669
Egypt,EGY,-0.06575509506725538,0.005474869105128615,-0.11594953952639714,-0.06552790156455011,-0.0711325316283899,-0.060434394118982,-0.07814127180631195,-0.05364238776229279
Eritrea,ERI,-0.0005796863619294217,0.0005516047994742422,-1.6353944721258915,-0.000376731093135778,-0.001297021366419722,-0.000203605157269396,-0.002004583542193279,-0.000118615157269396
Spain,ESP,-0.061821841263669686,0.009800454126900678,-0.6947391778678353,-0.06134436242216707,-0.06972666001557987,-0.0529972732328577,-0.10622003879346517,-0.03189589181831042
Estonia,EST,-0.002735223803703741,0.002731281278069002,0.44989276842231024,-0.00275256164784811,-0.005038774096062435,-0.0005539497140005528,-0.012969869656493715,0.011579741378734888
Ethiopia,ETH,-0.006125014738308165,0.033015349309453414,0.28254111351453787,-0.006239043257078961,-0.043355106437296564,0.022671869470904105,-0.08726572696167667,0.0984247709941008
Finland,FIN,-0.008914618555506402,0.012090773551757672,-0.8779444093907534,-0.00811953596757967,-0.019643996720022677,0.002443615309539902,-0.08812584985838513,0.02681516726348781
Fiji,FJI,-1.279070402882484e-05,0.0014127248765470818,-2.4680959338908455,-0.00017393,-0.00040451000000000007,0.0009138465065708756,-0.009655732061342822,0.005153471642780304
France,FRA,-0.06940811148358811,0.02213912229457825,-0.03227053755797632,-0.06875459733608483,-0.0888314150258974,-0.050338492345077146,-0.15150780964824268,0.027723753275651547
Gabon,GAB,0.01481380273350189,0.011896350644143442,0.48966963496397564,0.013833912556034039,0.005165022057633698,0.023956315231833645,-0.02448941422964531,0.06139327761204855
United Kingdom,GBR,-0.10818123429479062,0.01341470954608781,-0.2792383225113453,-0.10777356581205881,-0.12207206366828474,-0.0930509212778207,-0.1460828383227896,-0.08078628359455761
Georgia,GEO,-0.00019329518511435154,0.002020404169866547,-0.4938440653804217,-0.00010673482478582366,-0.0018588748758806388,0.001671086464858053,-0.00865947304815374,0.006351553041853143
Ghana,GHA,-0.0028748540332140253,0.008454382947152077,-0.5829648025120717,-0.00263377288548328,-0.00980725387956612,0.0043572887437906115,-0.04528911901395612,0.027277983470140137
Guinea,GIN,0.0004933847991701041,0.007324649293648953,0.04640106839652473,0.0009275375530505123,-0.005599281294500755,0.006928204027400017,-0.025827783246166847,0.03128156820947647
Gambia,GMB,-0.00044720188779995496,0.0002550772710993402,-0.6833151739462765,-0.00044840000000000006,-0.0007216900000000001,-0.00019077999999999999,-0.001145827856216522,-9.454000000000001e-05
Guinea-Bissau,GNB,3.4695824724704774e-05,0.0016197698950302954,0.3895293898269299,-6.429832631632689e-05,-0.001064977622289934,0.0011831258130693436,-0.0061091739403364275,0.0076968187007808685
Equatorial Guinea,GNQ,-0.0006906662081655748,0.0014388107199879427,-1.1679526923065238,-0.0006885839105727707,-0.00190985980906779,0.0006500611441531458,-0.010922707278227084,0.003784479184630184
Greece,GRC,-0.015505363156470131,0.004716521342247801,0.11925073109398887,-0.015603002914708789,-0.019782154875247135,-0.011094056314733838,-0.032519527956452216,0.004796277753372536
Guatemala,GTM,-0.003602846032707505,0.008192906922949073,0.32208328450069523,-0.0038459928497087464,-0.0109724785819881,0.003483456528701175,-0.033295552699960124,0.029212132246144554
Guyana,GUY,0.012264447124017997,0.016129778573936986,-0.18781958561353312,0.012877379182319251,-0.00254511360584952,0.025291687954585244,-0.05419196879945548,0.0641410486797905
Honduras,HND,0.0005322785347936071,0.007555435119892871,-0.3840471572190634,0.00048285405172155457,-0.00590823982946809,0.007212704582913363,-0.03324104471898272,0.024215409710444592
Croatia,HRV,-0.003156624383995604,0.004358766331730755,-1.4907969443325313,-0.00273338088538583,-0.005854706590995951,-0.00011283143535267023,-0.02709502731591549,0.00892304187479271
Haiti,HTI,-0.0007336821567484591,0.0018230125510924717,-1.172427723568333,-0.0008536852737680476,-0.001905502618691002,0.0006381735149709108,-0.013691551310188343,0.0057056774657404975
Hungary,HUN,-0.010613987306580454,0.0027501621470507973,-0.5339160159983022,-0.010504389708565473,-0.0127614887663755,-0.008366449225827466,-0.02615346262829791,0.0005016394216421083
Indonesia,IDN,-0.26747561242685924,0.11824876059591102,-0.3770072871084996,-0.25800748256475103,-0.3799773864465624,-0.16019935103389396,-0.7869811501211088,0.10225227401036219
India,IND,-0.6220818854161391,0.07940524638174253,0.20807211492131641,-0.6246215223860365,-0.7012083139521907,-0.5411317329340339,-0.8564980727060512,-0.3500095014883286
Ireland,IRL,-0.00962100855666217,0.0020581900500960164,0.7733460504687892,-0.010276856129572035,-0.011470019647936114,-0.006504218553187849,-0.013503841170251541,-0.004167966192437193
Iran,IRN,-0.18115936743009906,0.0149327109399432,-0.3193324276721078,-0.18107395374359303,-0.19955277146899728,-0.16584279274835814,-0.22458060192091744,-0.14950299850141532
Iraq,IRQ,-0.03674819085651202,0.0043519555183324675,-0.2414878835226159,-0.0359089969406693,-0.0416521040162956,-0.0318090032648409,-0.049025326695769804,-0.0299833873079384
Iceland,ISL,-0.0010415924878741539,5.398245400765664e-05,0.25217001410523726,-0.00104372913209607,-0.001096623921943232,-0.000985416462882096,-0.0011498367003275102,-0.000894416462882096
Israel,ISR,-0.016477998771966176,0.0007460852981605861,-0.07716494424539871,-0.016443890381140202,-0.0172119337510914,-0.015686341943063,-0.0182942837510914,-0.015150683234786001
Italy,ITA,-0.08760225918256727,0.01051163784815452,-0.04887761912219569,-0.08779423075036583,-0.09643627074588416,-0.0782136124704275,-0.13042514009168504,-0.03567922012278735
Jamaica,JAM,-0.001719050313883661,0.0013230418201045896,-0.815918686372297,-0.0017531611092096904,-0.002248682441525021,-0.0010723767027098036,-0.011888532402913064,0.0058600916393881765
Jordan,JOR,-0.006553907402697362,0.0005727022084666228,0.5871750802279534,-0.00677514048914353,-0.00706777466712096,-0.00573295981284462,-0.00746833961721976,-0.0054298068024391
Japan,JPN,-0.2992996820475322,0.026780884452588333,-0.10091165681684978,-0.29987869979648446,-0.327222687204874,-0.27007303505471464,-0.3754444072202519,-0.2343089350175973
Kazakhstan,KAZ,-0.07918061875871904,0.01090863704429997,-0.7434282427106298,-0.07652088458433225,-0.09205222212994407,-0.068398511486341,-0.11421155327552071,-0.06049008738045694
Kenya,KEN,-0.001097355411126277,0.006690688104646301,0.9557987137014459,-0.0015781972672235063,-0.006418072928088099,0.003585211663049213,-0.02929738167159323,0.03233813107669251
Kyrgyzstan,KGZ,-0.002993304959608612,0.0006428493869172086,-1.0434560202792023,-0.00273807397507891,-0.0038831235811857406,-0.00249684838427948,-0.00472229536026201,-0.00214314874055199
Cambodia,KHM,-0.006937973475878157,0.01214757184703213,0.5731129720796279,-0.007409577095364033,-0.017773322594355125,0.003177299967025085,-0.049410198340947536,0.054056272828824234
Kiribati,KIR,-1.6915461269835208e-05,1.63067911406286e-06,0.5830304838354167,-1.8e-05,-1.83783848055795e-05,-1.5e-05,-1.86973057062245e-05,-1.4e-05
South Korea,KOR,-0.16657665593712692,0.007182709631438413,-0.2595766586373332,-0.16655301913690623,-0.1732705528490279,-0.15929317781042313,-0.19887518187972966,-0.14797947692031704
Kuwait,KWT,-0.026200300319402396,0.0028671411656487657,0.8036600843596688,-0.026595899917941902,-0.0294284108175857,-0.022349017142358898,-0.0295128681795296,-0.020139471057842702
