Country,iso,Fabc_mf_mean,Fabc_mf_std,Fabc_mf_skew,Fabc_mf_median,Fabc_mf_q17,Fabc_mf_q83,Fabc_mf_min,Fabc_mf_max
Guatemala,GTM,0.0040494544260443665,0.0007644625214977666,0.033640403526461325,0.004048194349093414,0.0033046274929736013,0.004793625045025985,0.0018232763009581997,0.006397956570779829
Guinea,GIN,-0.00047603832690279967,0.0005562439556790312,-0.04739013003014168,-0.00047264054631123743,-0.0009987764374303364,6.497135909862132e-05,-0.002289583156427756,0.0011569174306791726
Guinea-Bissau,GNB,-2.4567283232226284e-05,0.0001216670905372795,-0.014246248159838808,-2.4686368701903237e-05,-0.0001413481259575797,9.59975509372328e-05,-0.0004518933405746498,0.0004308670688099481
Guyana,GUY,-0.002311586900654408,0.00034935428422253257,-0.02604627981105055,-0.002314140354659542,-0.0026556685293722005,-0.0019711097723009744,-0.0034555933936783224,-0.0012313984191892734
Haiti,HTI,0.0007368586181800725,0.0001583050281912763,0.01704734784580404,0.0007361303382896611,0.0005890940558463911,0.0008901838687326889,0.00020919388853308076,0.0012280195546335334
Honduras,HND,-0.0003414809842347761,0.0005979366309466757,0.12198466868701997,-0.0003477849454642482,-0.0009158074584894474,0.00019166167813434588,-0.0021896612712326803,0.001581164780280856
Hungary,HUN,0.010602359833811232,0.0003229468578249895,-0.003969568809689062,0.01060002808164396,0.010292353433099862,0.010908707723730432,0.009592348331599516,0.011661834979600376
Iceland,ISL,0.0010419112963356988,1.0805381637934788e-05,-0.07132272318652197,0.0010417265528111354,0.00103174199125,0.0010525140750764189,0.0010040179080240176,0.0010711291820414848
India,IND,0.622689752413136,0.022749365505449533,0.004836864540005774,0.6227966279067227,0.601116611125526,0.6443694597964968,0.5550748291636705,0.6950395761941123
Indonesia,IDN,0.29077195521603644,0.015655786863070037,0.09805190304327986,0.2908416053422317,0.2758465638160668,0.3057898949425396,0.24309728906207365,0.33658187938887435
Iran,IRN,0.18110484288353587,0.004510406760000371,-0.006692341466992174,0.1810505792202859,0.17672210868945426,0.1854601398519183,0.1667358690799522,0.1939936522761767
Iraq,IRQ,0.03672208166639494,0.0013120220852129026,0.16232665286713505,0.03672473477613539,0.035420390851853424,0.03797352745492567,0.03347965847896231,0.041583005794863785
Ireland,IRL,0.009600770172984528,0.0003369708079884231,-0.16965895532462286,0.009615617721730453,0.009282174814939896,0.009919907481407772,0.008579886693312326,0.010727518607063235
Israel,ISR,0.016481101945016344,0.0002126006707801554,-0.00022357408776884315,0.01648198884804991,0.016283555203461985,0.016680265916269584,0.015847721882587023,0.01710290069611698
Italy,ITA,0.08749636835151077,0.0016835968754568107,-0.3257997213667738,0.0875147420608991,0.08597720503024729,0.08909488976209141,0.08123941663715625,0.09297578955554865
Ivory Coast,CIV,0.016838914848564954,0.0024198191750381265,0.14488447939225838,0.01676629862205249,0.014545652186311486,0.019197258556046516,0.009625563223852818,0.025313049227158577
Jamaica,JAM,0.0017190367712487749,0.00011033726579129884,0.09865947437364836,0.0017160601828955743,0.0016152968764709663,0.001822683763729563,0.0014359287066250015,0.002084340628998043
Japan,JPN,0.29937116808377356,0.007919040258247656,0.08633205163749325,0.2992926151726803,0.2918003870047717,0.3069805284080573,0.2736527479235856,0.3253446840863855
Jordan,JOR,0.006558881558174353,0.00017677596537559126,-0.20881217633993912,0.0065584676010159194,0.006388789191858224,0.006727740218438416,0.006049554908853043,0.007021435558699769
Kazakhstan,KAZ,0.07923956692340171,0.0021703705203611414,0.13024317655376505,0.07917198230962555,0.07715423968296305,0.08129376049402298,0.07265753935555216,0.08611999191920265
Kenya,KEN,0.0010759975974569637,0.0006654699847761694,0.04263196102412513,0.0010823330812295005,0.00042821397407046945,0.0017009191632341046,-0.001125887763545966,0.003376229403504628
