,SLAND_domestic,SLAND_domestic_Std,95%_CI_Lower,95%_CI_Upper
MWI,0.009960614220574225,0.02229072153720736,-0.03310122889365567,0.05641351940856724
MYS,0.21851982076898496,0.20336722382684513,-0.05774831255391322,0.684880207905552
NAM,0.00106354435060976,0.011872191350921454,-0.02640021788855177,0.022908909695607636
NCL,1.0453714320716977e-05,0.00012270241793163326,-0.00024144470208815142,0.00024766021183105104
NER,0.01460632484916798,0.0604099118715919,-0.10427416961321347,0.1522557506488723
NGA,1.059931116198862,1.8401264828984694,-2.3867408925689593,5.468645458747721
NIC,0.005991622883928211,0.006604199085358022,-0.004359022201905516,0.02265781568478318
NLD,-0.0005312574027722826,0.004018183460986429,-0.008003434184630684,0.005950702943818928
NOR,-0.013282301044618113,0.021292184136802533,-0.06147134405313638,0.016702006653445962
NPL,0.015244094010809148,0.021172496654827316,-0.016301270236792387,0.057214980719273285
NZL,0.00016198677597621948,0.004883444884294493,-0.009738739719838272,0.011428513543641597
OMN,-0.0001946488982203448,0.004469493538985003,-0.0087255794251854,0.009878040077593296
PAK,0.19273856309057347,0.6581018276538678,-0.9269247157395878,1.5552929419277717
PAN,0.006272138433326191,0.007435113962985932,-0.003667354963754288,0.02406382222196589
PER,0.13344913856274912,0.2149192516089226,-0.18413043403475376,0.6118850445135244
PHL,0.22241904196539933,0.3013563709346365,-0.17751544464021599,1.0366288500960625
PNG,0.02696328542976204,0.025332876175529425,-0.0051900128593351915,0.09048202847841223
POL,-0.012031977617839914,0.06815054153874427,-0.17094499525939705,0.1296714266552744
PRT,0.000882998962251635,0.004636791917089334,-0.008755161930782554,0.01134556337783639
PRY,0.01463323027736191,0.04704967636843222,-0.07185872729270416,0.1214940778964939
QAT,4.235788653773136e-05,0.0007047166828727776,-0.0011757398349911134,0.0018481491476994066
ROU,-0.0023815182634646143,0.01664135812748491,-0.03675335006519593,0.030313325078471454
RUS,-8.510811424807633,7.909450468827646,-27.62933640489645,1.3416380271934978
RWA,0.0017147560616769186,0.0031763986217866152,-0.0033481097133634175,0.009242687512924475
SAU,0.01162458610886724,0.117731841462302,-0.14450165308972457,0.18892024112339906
SDN,0.15806723951706256,0.3624574212803857,-0.3914747422456541,1.0714486655591338
SEN,0.003580800979867326,0.028647269260605766,-0.028244503679288508,0.06358204295842607
SLB,6.757981207330324e-05,0.00010664217852251231,-2.0617834499653705e-06,0.00034831970017639477
SLE,0.0031182866291881127,0.0031594829763129596,-0.0018738568040443527,0.010941959418401795
SLV,0.0005623140588845851,0.00145491073408081,-0.0011008839936887838,0.003674761981517794
SOM,0.0008124478351867895,0.0015492029788618368,-0.0010406066684530923,0.004892601193817947
SRB,-0.00025573781793781727,0.0020970489408172095,-0.004812090317138018,0.004033801220394438
STP,-2.3659216246759468e-08,5.033872231342545e-07,-1.2743355527343634e-06,8.893315029338336e-07
SUR,0.0012053677078682841,0.0013023255137616836,-0.0009533361049171229,0.0042088941514084235
SVK,-0.0006507335526345574,0.002932579980568147,-0.007054190766786389,0.005552346622176504
SVN,-0.0001059914567489006,0.0003650259280737596,-0.0008692853442263668,0.000523999013018672
SWE,-0.03376862428397703,0.048023733403246914,-0.1436049002984892,0.03935314646632059
SWZ,5.147289651265366e-05,0.0001707497166484784,-0.00024865206348911645,0.00047859997246914234
SYR,0.0032795692044203266,0.01373139903880262,-0.022659252711155944,0.031570103912149594
TCD,0.016741441650723752,0.04247338845043682,-0.066962556541313,0.10029166928694072
TGO,0.0008509520849874425,0.0027757554372461607,-0.003636147982815104,0.006256708048447295
THA,0.30767701612511467,0.8591001339232456,-1.2639571697027625,2.303109418775964
TJK,0.00014145236593016047,0.0007697646173098706,-0.0012269973966543132,0.0021009177921215397
TKM,0.000645375703733164,0.005916480156923407,-0.010112923642259975,0.01351799073292369
TTO,5.9201547922602375e-05,0.00023180844658949698,-0.0003440381820524027,0.0004902894350355754
TUN,-0.0003893109691329269,0.006972986207964134,-0.016741461778527207,0.011846647859250185
TUR,0.03487328058156446,0.17186497004181434,-0.26822717138757796,0.4255765352807942
TZA,0.33483492762159195,0.4094018762139216,-0.25132549428942713,1.3833047790191662
UGA,0.15114500466639139,0.1927609088456594,-0.1440229618094978,0.5793195108090339
UKR,-0.008217209999577778,0.08051899558825648,-0.1832783040353196,0.1704393209228172
URY,0.0017622130646565211,0.005639853243547264,-0.008607523403863743,0.01258736075819952
USA,8.209401488292857,18.497763708641116,-23.066630436723074,53.20977362259491
UZB,0.0015075486785687015,0.009942315152212033,-0.016420589669554668,0.022659053672220042
VCT,1.5887395688071436e-07,1.1909893445050353e-06,-1.8767027883264094e-06,3.6790007453269673e-06
VEN,0.1183598589696194,0.4652868419582789,-0.9966050829173956,1.0778445066560451
VNM,0.16180895333388412,0.18722399487219157,-0.14156913157220707,0.6472791049736573
VUT,8.021695004719432e-06,1.6996041909405045e-05,-1.1993132695208336e-06,5.9285898477280056e-05
WSM,4.226467959466149e-07,1.3438020406809969e-06,-2.738346661867017e-07,4.0513971581435636e-06
YEM,0.0036909387990122795,0.00735102035024603,-0.005799472108987625,0.021860446966941678
ZAF,0.02905198414921004,0.3571769209656243,-0.6456070373161293,0.8904329494209178
ZMB,0.0904623765843253,0.14738776313768637,-0.2013002956777015,0.43686466508128247
ZWE,0.003715140255834448,0.018673889816555888,-0.031663189594403125,0.04526162862736272
